osmid,y,x,street_count,ref,highway,geometry
1116449019,22.5875452,113.983282,3,,,POINT (113.983282 22.5875452)
1824576228,22.5866652,113.9857812,3,,,POINT (113.9857812 22.5866652)
1824576230,22.586664,113.9834541,3,,,POINT (113.9834541 22.586664)
1824576240,22.5848151,113.9837267,3,4,motorway_junction,POINT (113.9837267 22.5848151)
1824576252,22.5844782,113.9834039,3,,,POINT (113.9834039 22.5844782)
1824576273,22.5869475,113.9892472,3,4,motorway_junction,POINT (113.9892472 22.5869475)
1943410829,22.5871259,113.9801736,3,,,POINT (113.9801736 22.5871259)
1943410903,22.5879759,113.983247,4,,,POINT (113.983247 22.5879759)
1943410909,22.5880143,113.9833442,4,,,POINT (113.9833442 22.5880143)
1943410914,22.5881848,113.9833195,5,,,POINT (113.9833195 22.5881848)
1943410930,22.588667,113.9832416,4,,,POINT (113.9832416 22.588667)
2300712922,22.5868286,113.9895039,3,,,POINT (113.9895039 22.5868286)
2561225149,22.5831294,113.9839979,1,,,POINT (113.9839979 22.5831294)
2561225173,22.5899816,113.9958599,1,,,POINT (113.9958599 22.5899816)
5189735883,22.589045,113.985554,3,,,POINT (113.985554 22.589045)
5808595801,22.5882469,113.9839558,3,,,POINT (113.9839558 22.5882469)
5808595802,22.5878147,113.9828193,3,,,POINT (113.9828193 22.5878147)
5808598578,22.5898833,113.9882718,3,,,POINT (113.9882718 22.5898833)
5808598636,22.5883723,113.991161,3,,,POINT (113.991161 22.5883723)
5808598638,22.58848,113.9914355,3,,,POINT (113.9914355 22.58848)
5808598702,22.5877454,113.9895627,3,,,POINT (113.9895627 22.5877454)
5808598712,22.5884403,113.9892451,3,,,POINT (113.9892451 22.5884403)
5808598713,22.5890637,113.9908563,4,,,POINT (113.9908563 22.5890637)
5808598714,22.5891694,113.9911295,4,,,POINT (113.9911295 22.5891694)
5808598735,22.5897636,113.9883231,3,,,POINT (113.9883231 22.5897636)
9196855390,22.5887299,113.9832418,4,,,POINT (113.9832418 22.5887299)
9204756027,22.5883183,113.9836747,3,,,POINT (113.9836747 22.5883183)
9204756032,22.5884613,113.9833083,3,,,POINT (113.9833083 22.5884613)
9722598873,22.586867,113.9834361,3,,,POINT (113.9834361 22.586867)
9722598874,22.5875423,113.9833798,3,,,POINT (113.9833798 22.5875423)
9722598882,22.5823743,113.983801,1,,,POINT (113.983801 22.5823743)
10221372041,22.5898942,113.9830027,1,,,POINT (113.9830027 22.5898942)
