osmid,y,x,street_count,geometry
653132914,22.5850894,114.1450901,3,POINT (114.1450901 22.5850894)
653132915,22.5849225,114.1449874,3,POINT (114.1449874 22.5849225)
1545766216,22.5800845,114.1424783,1,POINT (114.1424783 22.5800845)
