osmid,y,x,street_count,geometry
277183586,22.535601,113.992758,4,POINT (113.992758 22.535601)
277183713,22.5357254,113.9908385,3,POINT (113.9908385 22.5357254)
277183820,22.5359316,113.9896287,3,POINT (113.9896287 22.5359316)
496532793,22.5302468,113.9934219,3,POINT (113.9934219 22.5302468)
496532836,22.5301848,113.993588,3,POINT (113.993588 22.5301848)
1116415356,22.5384042,113.9864589,3,POINT (113.9864589 22.5384042)
1116415377,22.5369265,113.9822732,3,POINT (113.9822732 22.5369265)
1116415381,22.5309761,113.9933064,4,POINT (113.9933064 22.5309761)
1116415470,22.531011,113.9934614,4,POINT (113.9934614 22.531011)
1116415533,22.5386603,113.9862209,3,POINT (113.9862209 22.5386603)
1916783429,22.536144,113.9871198,3,POINT (113.9871198 22.536144)
1916783463,22.536496,113.9819099,4,POINT (113.9819099 22.536496)
2184437836,22.533882,113.9930214,3,POINT (113.9930214 22.533882)
2184437837,22.5341501,113.9928033,3,POINT (113.9928033 22.5341501)
2184437843,22.534339,113.9936503,3,POINT (113.9936503 22.534339)
2184437847,22.5344641,113.9929322,4,POINT (113.9929322 22.5344641)
2184437851,22.5345987,113.9956794,3,POINT (113.9956794 22.5345987)
2184437853,22.5345989,113.9923238,3,POINT (113.9923238 22.5345989)
2184437857,22.5347676,113.9971993,3,POINT (113.9971993 22.5347676)
2184437863,22.5350044,113.9979056,3,POINT (113.9979056 22.5350044)
2184437866,22.5350791,113.9953754,3,POINT (113.9953754 22.5350791)
2184437867,22.5350981,113.9955898,3,POINT (113.9955898 22.5350981)
2184437883,22.5356471,113.9893283,3,POINT (113.9893283 22.5356471)
2184437884,22.5359144,113.9888487,3,POINT (113.9888487 22.5359144)
2184437887,22.5362392,113.9889058,3,POINT (113.9889058 22.5362392)
2184437892,22.5365471,113.986625,3,POINT (113.986625 22.5365471)
2184437898,22.5391171,113.9886773,4,POINT (113.9886773 22.5391171)
2184437899,22.5391515,113.9893472,3,POINT (113.9893472 22.5391515)
2184437902,22.5390691,113.987812,3,POINT (113.987812 22.5390691)
2217490310,22.5327836,113.9930199,3,POINT (113.9930199 22.5327836)
2217490320,22.5351671,113.9911384,4,POINT (113.9911384 22.5351671)
2363414883,22.5301011,113.9885381,4,POINT (113.9885381 22.5301011)
2402263604,22.5311738,113.9934364,4,POINT (113.9934364 22.5311738)
2402263734,22.5311342,113.9932813,4,POINT (113.9932813 22.5311342)
2402263752,22.5302416,113.988473,4,POINT (113.988473 22.5302416)
2458958702,22.5365798,113.9829627,3,POINT (113.9829627 22.5365798)
2458958739,22.5365442,113.9862301,3,POINT (113.9862301 22.5365442)
2458960409,22.5350215,113.9963309,3,POINT (113.9963309 22.5350215)
2458960412,22.5360496,113.9865483,3,POINT (113.9865483 22.5360496)
2458960419,22.5361324,113.9892983,3,POINT (113.9892983 22.5361324)
2458960421,22.536618,113.9815124,3,POINT (113.9815124 22.536618)
2458960426,22.5351283,113.9970788,3,POINT (113.9970788 22.5351283)
2458960427,22.5363097,113.9880919,3,POINT (113.9880919 22.5363097)
2458960428,22.5353941,113.9978891,3,POINT (113.9978891 22.5353941)
2458960445,22.5362934,113.9886978,3,POINT (113.9886978 22.5362934)
2458960449,22.536424,113.985631,3,POINT (113.985631 22.536424)
2528898856,22.5371706,113.9919603,1,POINT (113.9919603 22.5371706)
2528898868,22.5372185,113.992317,3,POINT (113.992317 22.5372185)
2537781868,22.5369742,113.9962248,1,POINT (113.9962248 22.5369742)
2537781879,22.5351636,113.9962563,3,POINT (113.9962563 22.5351636)
3851543173,22.533359,113.9929287,3,POINT (113.9929287 22.533359)
3851543247,22.5332252,113.9919408,3,POINT (113.9919408 22.5332252)
5169911624,22.5399477,113.9868792,3,POINT (113.9868792 22.5399477)
5169911625,22.5399977,113.9877529,3,POINT (113.9877529 22.5399977)
5169912109,22.5389987,113.9876951,1,POINT (113.9876951 22.5389987)
5169912110,22.5390447,113.9877714,3,POINT (113.9877714 22.5390447)
5169912124,22.5387127,113.9876735,3,POINT (113.9876735 22.5387127)
5169912143,22.5386988,113.9865723,3,POINT (113.9865723 22.5386988)
5255299481,22.5301526,113.9888243,3,POINT (113.9888243 22.5301526)
5504300020,22.5315389,113.9933805,3,POINT (113.9933805 22.5315389)
5504300430,22.5312806,113.9938884,3,POINT (113.9938884 22.5312806)
5504300431,22.5310348,113.9928221,3,POINT (113.9928221 22.5310348)
5504300439,22.5315444,113.9932163,3,POINT (113.9932163 22.5315444)
5710824440,22.5361264,113.9818982,3,POINT (113.9818982 22.5361264)
5710824446,22.5362514,113.9819019,4,POINT (113.9819019 22.5362514)
5710824456,22.5364675,113.9833146,3,POINT (113.9833146 22.5364675)
5710824459,22.5363966,113.9819067,3,POINT (113.9819067 22.5363966)
5773763124,22.5382677,113.9824144,3,POINT (113.9824144 22.5382677)
5773763126,22.5394565,113.9825081,3,POINT (113.9825081 22.5394565)
5773763127,22.539507,113.9812394,3,POINT (113.9812394 22.539507)
5778992584,22.5367345,113.9826631,3,POINT (113.9826631 22.5367345)
5778992587,22.5365902,113.9826286,3,POINT (113.9826286 22.5365902)
6520467883,22.539528,113.9806136,3,POINT (113.9806136 22.539528)
6520467892,22.5383349,113.9806484,1,POINT (113.9806484 22.5383349)
