u,v,key,osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,bridge,access,ref,maxspeed
7884099055,9671620307,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,True,351.60100000000006,"LINESTRING (114.0994423 22.5037045, 114.0989067 22.5037465, 114.0977886 22.503834, 114.0975737 22.5038508, 114.0968158 22.5039239, 114.0965671 22.5039477, 114.0962405 22.5039779, 114.0961422 22.5039889, 114.0960348 22.5039997)",,,,
7884099177,598503118,0,"[1074799776, 1074799777, 845874657]",True,1,,motorway_link,,False,307.31100000000004,"LINESTRING (114.0922274 22.5046013, 114.0922204 22.5045061, 114.0922227 22.5044414, 114.0922637 22.5043808, 114.0923631 22.5043203, 114.0926117 22.5042763, 114.0931302 22.5041733, 114.0933288 22.5041397, 114.0949494 22.5039302)",,,,
7884099177,9858028041,0,1074799778,False,,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,41.508,"LINESTRING (114.0922274 22.5046013, 114.0922846 22.504594, 114.092624 22.5045304)",,,,
7884099177,1492216125,0,"[1074799778, 157803654]",False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,True,924.2460000000001,"LINESTRING (114.0922274 22.5046013, 114.0921817 22.5046071, 114.0919102 22.5046237, 114.0915952 22.5046308, 114.0912136 22.5046237, 114.0909575 22.5046166, 114.0905408 22.5045787, 114.0903359 22.5045763, 114.0902953 22.5045769, 114.0901234 22.5045794, 114.0900459 22.504578, 114.089987 22.5045608, 114.0897611 22.5045147, 114.0895585 22.5044879, 114.0895191 22.5044823, 114.0894253 22.5044777, 114.0893938 22.5044762, 114.089311 22.5044722, 114.0892271 22.5044697, 114.0882714 22.5044406, 114.0880181 22.5044326, 114.0878381 22.5044159, 114.0876335 22.5043854, 114.0874371 22.5043462, 114.0869701 22.504232, 114.0862417 22.5040542, 114.0857521 22.5039241, 114.0854277 22.5038472, 114.0852615 22.503815, 114.0850961 22.5037991, 114.0848027 22.5037691, 114.0845998 22.5037786, 114.0845334 22.5037819, 114.0844737 22.5037849, 114.084463 22.5037854, 114.0839412 22.5038112, 114.0837021 22.503813, 114.0834741 22.5038004, 114.0833339 22.5037859)",,,,
7891594504,513668891,0,499854776,True,2,新田交匯處 San Tin Interchange,primary,roundabout,False,4.752,"LINESTRING (114.0817531 22.5019572, 114.0817985 22.5019654)",,,,
8811521496,9671633622,0,951985950,False,,新波樓路 New Po Lau Road,residential,,True,73.619,"LINESTRING (114.0970442 22.5071817, 114.0969283 22.5070692, 114.0966715 22.5066214)",,,,
8811521496,1362226361,0,951985952,False,,新波樓路 New Po Lau Road,residential,,False,76.747,"LINESTRING (114.0970442 22.5071817, 114.097101 22.5072018, 114.0975335 22.5072234, 114.0976921 22.5072083, 114.0977857 22.5072042)",,,,
8811521496,9671633627,0,"[948664968, 951985953]",False,,波樓路 Po Lau Road,residential,,True,83.19,"LINESTRING (114.0970442 22.5071817, 114.0968563 22.5071849, 114.0967209 22.507175, 114.0966549 22.5071223, 114.0963532 22.5068813)",,no,,
8811521507,1362226361,0,951985952,False,,新波樓路 New Po Lau Road,residential,,True,143.368,"LINESTRING (114.098743 22.5077541, 114.0980656 22.5077398, 114.0980094 22.50772, 114.0979414 22.5076627, 114.0979007 22.5075712, 114.0978871 22.5074869, 114.097889 22.5074314, 114.0979045 22.5073292, 114.0979016 22.5072906, 114.0978793 22.5072556, 114.0977857 22.5072042)",,,,
8811521512,9671633627,0,948664968,False,,波樓路 Po Lau Road,residential,,False,89.216,"LINESTRING (114.095584 22.5065108, 114.0963258 22.5068594, 114.0963532 22.5068813)",,no,,
9671620307,9671633622,0,951985950,False,,新波樓路 New Po Lau Road,residential,,False,303.66900000000004,"LINESTRING (114.0960348 22.5039997, 114.0960434 22.5040577, 114.0960506 22.5041452, 114.0960621 22.5042962, 114.0961296 22.5049418, 114.0961852 22.5054741, 114.0962133 22.505771, 114.0962551 22.5058953, 114.0966715 22.5066214)",,,,
9671620307,7884099055,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,351.601,"LINESTRING (114.0960348 22.5039997, 114.0961422 22.5039889, 114.0962405 22.5039779, 114.0965671 22.5039477, 114.0968158 22.5039239, 114.0975737 22.5038508, 114.0977886 22.503834, 114.0989067 22.5037465, 114.0994423 22.5037045)",,,,
9671620307,9858028041,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,True,357.359,"LINESTRING (114.0960348 22.5039997, 114.0943294 22.5041704, 114.0940804 22.5041998, 114.0936113 22.5042436, 114.09356 22.5042498, 114.093517 22.504255, 114.0933762 22.5042722, 114.0932013 22.5043199, 114.09295 22.5044, 114.0927857 22.5044592, 114.0926358 22.5045252, 114.092624 22.5045304)",,,,
9671633622,8811521496,0,951985950,False,,新波樓路 New Po Lau Road,residential,,False,73.619,"LINESTRING (114.0966715 22.5066214, 114.0969283 22.5070692, 114.0970442 22.5071817)",,,,
9671633622,9671620307,0,951985950,False,,新波樓路 New Po Lau Road,residential,,True,303.669,"LINESTRING (114.0966715 22.5066214, 114.0962551 22.5058953, 114.0962133 22.505771, 114.0961852 22.5054741, 114.0961296 22.5049418, 114.0960621 22.5042962, 114.0960506 22.5041452, 114.0960434 22.5040577, 114.0960348 22.5039997)",,,,
9671633622,9671633627,0,1052389918,False,,,residential,,False,51.606,"LINESTRING (114.0966715 22.5066214, 114.0966772 22.5066915, 114.0966605 22.506748, 114.0965864 22.5068319, 114.0964493 22.5068867, 114.0963532 22.5068813)",,,,
9671633627,8811521496,0,"[948664968, 951985953]",False,,波樓路 Po Lau Road,residential,,False,83.19,"LINESTRING (114.0963532 22.5068813, 114.0966549 22.5071223, 114.0967209 22.507175, 114.0968563 22.5071849, 114.0970442 22.5071817)",,no,,
9671633627,8811521512,0,948664968,False,,波樓路 Po Lau Road,residential,,True,89.216,"LINESTRING (114.0963532 22.5068813, 114.0963258 22.5068594, 114.095584 22.5065108)",,no,,
9671633627,9671633622,0,1052389918,False,,,residential,,True,51.605999999999995,"LINESTRING (114.0963532 22.5068813, 114.0964493 22.5068867, 114.0965864 22.5068319, 114.0966605 22.506748, 114.0966772 22.5066915, 114.0966715 22.5066214)",,,,
9858028041,9858028048,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,True,0.895,"LINESTRING (114.092624 22.5045304, 114.0926161 22.5045338)",,,,
9858028041,7884099177,0,1074799778,False,,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,True,41.508,"LINESTRING (114.092624 22.5045304, 114.0922846 22.504594, 114.0922274 22.5046013)",,,,
9858028041,9671620307,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,357.35900000000004,"LINESTRING (114.092624 22.5045304, 114.0926358 22.5045252, 114.0927857 22.5044592, 114.09295 22.5044, 114.0932013 22.5043199, 114.0933762 22.5042722, 114.093517 22.504255, 114.09356 22.5042498, 114.0936113 22.5042436, 114.0940804 22.5041998, 114.0943294 22.5041704, 114.0960348 22.5039997)",,,,
9858028048,9858028041,0,1074799779,False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,0.895,"LINESTRING (114.0926161 22.5045338, 114.092624 22.5045304)",,,,
