u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
1491785594,1491785497,0,135906423,False,,东涌路,residential,False,91.818,"LINESTRING (114.0205823 22.5317544, 114.0205884 22.5316454, 114.0206041 22.5315697, 114.0206245 22.5315023, 114.0206746 22.531352, 114.0207472 22.5311721, 114.020835 22.5309673)",,
1491785737,1491785738,0,135906432,False,,,unclassified,False,44.978,"LINESTRING (114.022451 22.5355744, 114.0228811 22.5356506)",,
1491785737,7973259261,0,135906432,False,,,unclassified,True,21.165,"LINESTRING (114.022451 22.5355744, 114.0222486 22.5355386)",,
1491785737,1491785740,0,135906404,False,,,unclassified,False,215.81699999999998,"LINESTRING (114.022451 22.5355744, 114.0225206 22.5352124, 114.0237764 22.5354331, 114.0238129 22.5354727, 114.0238234 22.5355262, 114.0237628 22.5358068)",,
1491785738,1491785740,0,135906432,False,,,unclassified,False,92.205,"LINESTRING (114.0228811 22.5356506, 114.0237628 22.5358068)",,
1491785738,1491785737,0,135906432,False,,,unclassified,True,44.978,"LINESTRING (114.0228811 22.5356506, 114.022451 22.5355744)",,
1491785738,1491785769,0,"[636701235, 245794175]",False,,,unclassified,False,143.39,"LINESTRING (114.0228811 22.5356506, 114.0227859 22.5361165, 114.0236524 22.5362726)",,
1491785740,1491785769,0,135906426,False,,,unclassified,False,53.021,"LINESTRING (114.0237628 22.5358068, 114.0236524 22.5362726)",,
1491785740,1491785738,0,135906432,False,,,unclassified,True,92.205,"LINESTRING (114.0237628 22.5358068, 114.0228811 22.5356506)",,
1491785740,1491785737,0,135906404,False,,,unclassified,True,215.817,"LINESTRING (114.0237628 22.5358068, 114.0238234 22.5355262, 114.0238129 22.5354727, 114.0237764 22.5354331, 114.0225206 22.5352124, 114.022451 22.5355744)",,
1491785769,1491785783,0,135906426,False,,,unclassified,False,51.487,"LINESTRING (114.0236524 22.5362726, 114.0235456 22.536725)",,
1491785769,1491785740,0,135906426,False,,,unclassified,True,53.021,"LINESTRING (114.0236524 22.5362726, 114.0237628 22.5358068)",,
1491785769,1491785738,0,"[636701235, 245794175]",False,,,unclassified,True,143.39,"LINESTRING (114.0236524 22.5362726, 114.0227859 22.5361165, 114.0228811 22.5356506)",,
1491785772,7973259261,0,636701234,False,,泰然七路,tertiary,False,105.044,"LINESTRING (114.0220636 22.5364677, 114.0220806 22.5363826, 114.0222486 22.5355386)",2,
1491785772,1491785783,0,856026022,True,,泰然四路,tertiary,False,154.872,"LINESTRING (114.0220636 22.5364677, 114.0226792 22.5365745, 114.0235456 22.536725)",,
1491785783,1491785769,0,135906426,False,,,unclassified,True,51.487,"LINESTRING (114.0235456 22.536725, 114.0236524 22.5362726)",,
