u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,maxspeed
6016935484,6016935476,0,638406321,False,,,residential,True,94.049,"LINESTRING (114.0990148 22.53927, 114.0983266 22.5392648, 114.0983221 22.5394749)",,,
6016935484,6016935476,1,"[638406321, 638406325]",False,,,residential,False,107.52,"LINESTRING (114.0990148 22.53927, 114.0990131 22.539538, 114.0983209 22.5395345, 114.0983221 22.5394749)",,,
6016935484,6016935479,0,"[638406329, 638406325]",False,,,residential,True,150.178,"LINESTRING (114.0990148 22.53927, 114.0990169 22.5389372, 114.097915 22.538928)",,,
6016938890,6016938891,0,638406322,False,,,residential,False,139.762,"LINESTRING (114.0952449 22.5398437, 114.0966056 22.5398629)",,,
6016938890,1123418230,0,616351230,False,,同心南路,secondary,False,188.572,"LINESTRING (114.0952449 22.5398437, 114.0952727 22.538334, 114.0952773 22.5381481)",,,
6016938891,6016938890,0,638406322,False,,,residential,True,139.762,"LINESTRING (114.0966056 22.5398629, 114.0952449 22.5398437)",,,
6016938891,6016938893,0,638406323,False,,,residential,False,44.679,"LINESTRING (114.0966056 22.5398629, 114.0966031 22.5394611)",,,
6016938893,6016935477,0,638406319,False,,,residential,False,7.806,"LINESTRING (114.0966031 22.5394611, 114.0965271 22.5394605)",,,
6016938893,6016935478,0,638406319,False,,,residential,True,133.959,"LINESTRING (114.0966031 22.5394611, 114.0979074 22.5394716)",,,
6016938893,6016938891,0,638406323,False,,,residential,True,44.679,"LINESTRING (114.0966031 22.5394611, 114.0966056 22.5398629)",,,
6016938894,6016935477,0,638406324,False,,,residential,True,60.493,"LINESTRING (114.0965332 22.5389165, 114.0965271 22.5394605)",,,
6016938894,6016935477,1,"[638406328, 638406329, 638406319]",False,,,residential,True,222.404,"LINESTRING (114.0965332 22.5389165, 114.0957464 22.5389099, 114.0957378 22.5394542, 114.0965271 22.5394605)",,,
6016938894,6016935479,0,638406329,False,,,residential,False,141.919,"LINESTRING (114.0965332 22.5389165, 114.097915 22.538928)",,,
6052445879,8230664666,0,885068873,True,,滨河大道辅路,primary,False,63.22,"LINESTRING (114.0828836 22.5372037, 114.0834964 22.5371499)",,,
6052445879,513659014,0,582246451,True,,,trunk_link,False,124.54700000000001,"LINESTRING (114.0828836 22.5372037, 114.0833203 22.5372218, 114.0834721 22.5372347, 114.0838933 22.5373063, 114.0840868 22.5373273)",,,
7992170598,7992170611,0,924057719,False,,,residential,False,106.54699999999998,"LINESTRING (114.0810183 22.5363574, 114.0808562 22.5364456, 114.080804 22.5364693, 114.0807501 22.5364897, 114.0807023 22.5365003, 114.0806483 22.5365077, 114.0805882 22.5365044, 114.0805298 22.536493, 114.0804802 22.5364774, 114.0804224 22.5364458, 114.0802506 22.5363085, 114.0802021 22.536273, 114.0801589 22.5362445, 114.0801194 22.5362201)",,,
7992170611,513658946,0,260313741,True,,滨河大道辅路,primary,False,14.697,"LINESTRING (114.0801194 22.5362201, 114.0802131 22.53632)",,,
7992170611,7992170598,0,924057719,False,,,residential,True,106.54700000000001,"LINESTRING (114.0801194 22.5362201, 114.0801589 22.5362445, 114.0802021 22.536273, 114.0802506 22.5363085, 114.0804224 22.5364458, 114.0804802 22.5364774, 114.0805298 22.536493, 114.0805882 22.5365044, 114.0806483 22.5365077, 114.0807023 22.5365003, 114.0807501 22.5364897, 114.080804 22.5364693, 114.0808562 22.5364456, 114.0810183 22.5363574)",,,
8025306506,2880459803,0,861052681,False,,,living_street,False,20.6,"LINESTRING (114.0802853 22.5344292, 114.0802066 22.5342588)",,,
8025306506,8025306528,0,861052681,False,,,living_street,True,20.201999999999998,"LINESTRING (114.0802853 22.5344292, 114.0803522 22.5345739, 114.0803625 22.5345963)",,,
8025306528,8025306537,0,861052680,False,,,residential,False,181.137,"LINESTRING (114.0803625 22.5345963, 114.0807457 22.5344727, 114.0811748 22.534339, 114.0813572 22.5342861, 114.081477 22.5342547, 114.0815933 22.534225, 114.0817059 22.5342035, 114.0818329 22.5341936, 114.0819277 22.5341936, 114.0820589 22.5341985)",,,
8025306528,8025306506,0,861052681,False,,,living_street,False,20.201999999999998,"LINESTRING (114.0803625 22.5345963, 114.0803522 22.5345739, 114.0802853 22.5344292)",,,
8025306537,2880459807,0,41724978,True,,华强南路,secondary,False,29.057,"LINESTRING (114.0820589 22.5341985, 114.0820883 22.5339386)",,,
8025306537,8025306528,0,861052680,False,,,residential,True,181.137,"LINESTRING (114.0820589 22.5341985, 114.0819277 22.5341936, 114.0818329 22.5341936, 114.0817059 22.5342035, 114.0815933 22.534225, 114.081477 22.5342547, 114.0813572 22.5342861, 114.0811748 22.534339, 114.0807457 22.5344727, 114.0803625 22.5345963)",,,
