u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry
2766495573,2766495505,0,271702554,False,,,residential,True,145.902,"LINESTRING (114.1369603 22.5893925, 114.1374325 22.5891437, 114.1375209 22.5891275, 114.1376684 22.5891275, 114.1377542 22.589125, 114.1378 22.5891016, 114.1378536 22.5890248, 114.1380644 22.588708)"
2766495581,2766495505,0,271702538,False,,,residential,True,48.937,"LINESTRING (114.1381996 22.5891288, 114.1381379 22.5889902, 114.1380644 22.588708)"
2920173167,8549666415,0,1062239197,True,,东晓路,tertiary,False,236.317,"LINESTRING (114.1329721 22.582329, 114.1329573 22.5844542)"
3960696604,2320152527,0,390446846,False,,金洲路,tertiary,False,253.217,"LINESTRING (114.1298614 22.5892722, 114.1281347 22.5876461)"
3960696604,4472714118,0,450353126,False,,,residential,True,83.675,"LINESTRING (114.1298614 22.5892722, 114.1304832 22.5887857)"
3969579136,9196975060,0,996001657,True,2,金稻田路,tertiary,False,311.84999999999997,"LINESTRING (114.1298865 22.5843685, 114.1298778 22.584419, 114.1298582 22.5844627, 114.12792 22.5864926)"
3969579136,8549666313,0,1062239196,True,3,东昌路,tertiary,False,248.941,"LINESTRING (114.1298865 22.5843685, 114.1299472 22.5842981, 114.130284 22.5839071, 114.1303186 22.5838642, 114.1303497 22.583822, 114.1303756 22.583779, 114.1303963 22.583736, 114.1304146 22.5836883, 114.1304291 22.5836353, 114.130437 22.5835817, 114.1304425 22.5835259, 114.1304777 22.5822933)"
4472714118,3960696604,0,450353126,False,,,residential,False,83.675,"LINESTRING (114.1304832 22.5887857, 114.1298614 22.5892722)"
4472714118,4472714256,0,450353141,False,,,residential,False,210.453,"LINESTRING (114.1304832 22.5887857, 114.12919 22.5873172)"
4472714118,9655063428,0,450353141,False,,,residential,True,4.594,"LINESTRING (114.1304832 22.5887857, 114.1305115 22.5888177)"
4472714118,8549666419,0,450353126,False,,,residential,True,301.565,"LINESTRING (114.1304832 22.5887857, 114.1316625 22.5878719, 114.1317864 22.5876144, 114.1318454 22.5875104, 114.1318806 22.5866196)"
4472714203,8549666412,0,450353114,False,,,residential,True,283.199,"LINESTRING (114.1301928 22.5853151, 114.1308209 22.5853224, 114.1329511 22.585338)"
4472714256,4472714118,0,450353141,False,,,residential,True,210.453,"LINESTRING (114.12919 22.5873172, 114.1304832 22.5887857)"
8549666192,1145386240,0,920874814,False,,仁心路,residential,True,87.375,"LINESTRING (114.1347951 22.5838588, 114.1348803 22.5838971, 114.1349514 22.5839386, 114.1350211 22.583995, 114.1350774 22.5840482, 114.1352378 22.5842488, 114.1352734 22.5843038, 114.1353088 22.5843607, 114.1353492 22.5844333)"
