u,v,key,osmid,oneway,highway,reversed,length,ref,name,geometry,bridge,lanes,maxspeed
2286514643,6376505178,0,219493671,True,primary,False,48.837,,布心路辅路,"LINESTRING (114.1235304 22.5764598, 114.1240011 22.576523)",,,
2286514646,6798209316,0,997152255,True,primary,False,145.062,,布心路辅路,"LINESTRING (114.1226644 22.5770062, 114.1212521 22.57697)",,,
2286555682,8703571615,0,219498390,False,tertiary,False,89.312,,太安路,"LINESTRING (114.1258108 22.5732264, 114.1264619 22.573759)",,,
2286555682,6155047730,0,219498390,False,tertiary,True,72.534,,太安路,"LINESTRING (114.1258108 22.5732264, 114.1252792 22.5727968)",,,
2286555682,6155047730,1,657148373,False,residential,True,149.64100000000002,,,"LINESTRING (114.1258108 22.5732264, 114.1255513 22.5735063, 114.125064 22.5731421, 114.1252792 22.5727968)",,,
2286555688,1145406817,0,219498390,False,tertiary,False,129.628,,太安路,"LINESTRING (114.1272744 22.5744236, 114.1277713 22.5748301, 114.1280717 22.5749093, 114.1283506 22.5749688)",,,
2286555688,8703571615,0,219498390,False,tertiary,True,111.449,,太安路,"LINESTRING (114.1272744 22.5744236, 114.1265181 22.5738049, 114.1264619 22.573759)",,,
2286555688,2286555694,0,219505257,False,residential,False,73.781,,安心路,"LINESTRING (114.1272744 22.5744236, 114.1272245 22.5744866, 114.127211 22.5745089, 114.1271946 22.5745453, 114.1271765 22.5745987, 114.1271548 22.5746783, 114.1271327 22.5747671, 114.1270703 22.5750527)",,,
2286555693,6798108283,0,219501178,True,tertiary,False,128.61,,翠竹路辅路,"LINESTRING (114.1237486 22.5750121, 114.1234043 22.5759484, 114.1233561 22.5761102)",,,
2286555693,2286555695,0,219505254,False,residential,True,111.638,,,"LINESTRING (114.1237486 22.5750121, 114.1244883 22.5752464, 114.1246154 22.5749901)",,,
2286555694,8703615341,0,219505247,False,residential,True,75.14,,,"LINESTRING (114.1270703 22.5750527, 114.1263535 22.5749165)",,,
2286555694,2286555704,0,219505257,False,residential,False,24.73,,安心路,"LINESTRING (114.1270703 22.5750527, 114.1270226 22.5752707)",,,
2286555694,2286555688,0,219505257,False,residential,True,73.781,,安心路,"LINESTRING (114.1270703 22.5750527, 114.1271327 22.5747671, 114.1271548 22.5746783, 114.1271765 22.5745987, 114.1271946 22.5745453, 114.127211 22.5745089, 114.1272245 22.5744866, 114.1272744 22.5744236)",,,
2286555695,8703571605,0,219505246,False,residential,True,103.618,,,"LINESTRING (114.1246154 22.5749901, 114.1255988 22.5751994)",,,
2286555695,2286555693,0,219505254,False,residential,False,111.638,,,"LINESTRING (114.1246154 22.5749901, 114.1244883 22.5752464, 114.1237486 22.5750121)",,,
2286555695,9199686592,0,219505254,False,residential,True,303.405,,,"LINESTRING (114.1246154 22.5749901, 114.1249137 22.5743887, 114.1254205 22.5736184, 114.1253115 22.5734785, 114.1249426 22.573306, 114.1244289 22.5731836, 114.124396 22.5731766, 114.1243003 22.5731568)",,,
2286555704,8703615340,0,219505250,False,residential,True,74.668,,,"LINESTRING (114.1270226 22.5752707, 114.1263109 22.5751327)",,,
2286555704,2286555707,0,219505257,False,residential,False,31.591,,安心路,"LINESTRING (114.1270226 22.5752707, 114.1269618 22.5755492)",,,
2286555704,2286555694,0,219505257,False,residential,True,24.73,,安心路,"LINESTRING (114.1270226 22.5752707, 114.1270703 22.5750527)",,,
2286555705,8703571606,0,219505244,False,residential,False,24.146,,,"LINESTRING (114.1256706 22.5747868, 114.1256333 22.5750012)",,,
2286555705,8703615341,0,219505247,False,residential,False,71.585,,,"LINESTRING (114.1256706 22.5747868, 114.1263535 22.5749165)",,,
2286555705,8703571608,0,219505244,False,residential,True,91.42699999999999,,,"LINESTRING (114.1256706 22.5747868, 114.1256928 22.5747127, 114.1257199 22.5746564, 114.1257561 22.5746001, 114.1261648 22.5741104)",,,
2286555707,8703615339,0,219505248,False,residential,True,74.08,,,"LINESTRING (114.1269618 22.5755492, 114.1262559 22.5754114)",,,
2286555707,8703571602,0,219505257,False,residential,False,26.352,,安心路,"LINESTRING (114.1269618 22.5755492, 114.126911 22.5757815)",,,
2286555707,2286555704,0,219505257,False,residential,True,31.591,,安心路,"LINESTRING (114.1269618 22.5755492, 114.1270226 22.5752707)",,,
2286555708,8703571604,0,219505244,False,residential,True,29.722,,,"LINESTRING (114.1255387 22.5755443, 114.1255847 22.5752804)",,,
2286555708,8703571603,0,219505251,False,residential,False,69.799,,,"LINESTRING (114.1255387 22.5755443, 114.1262069 22.5756598)",,,
2286555708,2286555711,0,219505244,False,residential,False,124.19800000000001,,,"LINESTRING (114.1255387 22.5755443, 114.125183 22.57603, 114.1246161 22.5759432)",,,
2286555711,2286555708,0,219505244,False,residential,True,124.19800000000001,,,"LINESTRING (114.1246161 22.5759432, 114.125183 22.57603, 114.1255387 22.5755443)",,,
2286555713,8703571602,0,219505251,False,residential,True,17.1,,,"LINESTRING (114.1270747 22.5758098, 114.126911 22.5757815)",,,
2286555715,6376505175,0,219493671,True,primary,False,149.326,,布心路辅路,"LINESTRING (114.1266691 22.576911, 114.1281009 22.5771467)",,,
2286555715,8703571602,0,219505255,False,residential,True,128.027,,太心路,"LINESTRING (114.1266691 22.576911, 114.126911 22.5757815)",,,
2773398741,2286514646,0,558274283,True,primary,False,65.121,,布心路辅路,"LINESTRING (114.1232947 22.5770715, 114.1226644 22.5770062)",,,
2773398741,6376461340,0,272400307,True,primary_link,False,37.94100000000001,,,"LINESTRING (114.1232947 22.5770715, 114.1232535 22.5770739, 114.1232217 22.5770792, 114.1231859 22.577093, 114.1231539 22.5771083, 114.1231234 22.5771277, 114.1230948 22.5771505, 114.1230703 22.5771776, 114.1230477 22.5772061, 114.1230331 22.577233, 114.1230244 22.5772664)",,,
2773398809,6798209321,0,1044769942,False,tertiary,False,188.809,,永泰路,"LINESTRING (114.1202467 22.5768301, 114.120249 22.5785281)",,,
2773398829,8549666119,0,920874810,True,secondary,False,7.91,,翠竹路,"LINESTRING (114.1226633 22.5793392, 114.1226371 22.5792723)",,,
2883504195,2883504200,0,284628359,False,residential,True,24.367,,,"LINESTRING (114.1297536 22.5718645, 114.1296672 22.5720686)",,,
2883504195,2883507622,0,219498389,True,secondary,False,231.83399999999997,,太宁路,"LINESTRING (114.1297536 22.5718645, 114.1290451 22.5716282, 114.1279235 22.5712931, 114.1276208 22.571182)",,2,
2883504200,2883504195,0,284628359,False,residential,False,24.367,,,"LINESTRING (114.1296672 22.5720686, 114.1297536 22.5718645)",,,
2883504200,2883507474,0,284628355,False,residential,False,191.284,,,"LINESTRING (114.1296672 22.5720686, 114.1298201 22.5720983, 114.130065 22.5721877, 114.130209 22.5722692, 114.1303091 22.5723611, 114.1303708 22.57248, 114.1304003 22.572641, 114.1303922 22.5728119, 114.1303565 22.5729553, 114.1302688 22.5731413, 114.1301562 22.5732899, 114.1301161 22.5733219)",,,
2883504200,2883507459,0,284628355,False,residential,True,154.011,,,"LINESTRING (114.1296672 22.5720686, 114.1295867 22.5720686, 114.1295098 22.572101, 114.1293856 22.5722172, 114.1292362 22.5723834, 114.1291495 22.572502, 114.1291093 22.5726259, 114.1290905 22.5727497, 114.1290905 22.5728389, 114.1291039 22.5729181, 114.1291335 22.5729924, 114.1291925 22.5730841, 114.1292655 22.573159)",,,
2883507425,1145406817,0,219498390,False,tertiary,True,185.327,,太安路,"LINESTRING (114.130153 22.5748797, 114.1283506 22.5749688)",,,
2883507425,5091912840,0,219498390,False,tertiary,False,150.67399999999998,,太安路,"LINESTRING (114.130153 22.5748797, 114.1314996 22.5747855, 114.1316136 22.5747611)",,,
2883507425,2883507445,0,284628343,False,residential,False,102.244,,,"LINESTRING (114.130153 22.5748797, 114.1301634 22.575115, 114.1301454 22.5757988)",,,
2883507425,2883507474,0,284628343,False,residential,True,173.497,,,"LINESTRING (114.130153 22.5748797, 114.1301535 22.5744316, 114.1301723 22.5740626, 114.1301554 22.5736958, 114.1301161 22.5733219)",,,
2883507430,2883507646,0,284628365,False,tertiary,False,9.027,,东乐路,"LINESTRING (114.1333896 22.5712819, 114.1334328 22.5713526)",,,
2883507430,3066530016,0,972309924,True,secondary,False,202.828,,太宁路,"LINESTRING (114.1333896 22.5712819, 114.1350617 22.5703107)",,2,
2883507430,2883507444,0,284628342,False,residential,True,162.192,,,"LINESTRING (114.1333896 22.5712819, 114.1332801 22.5711027, 114.1331514 22.5709541, 114.1329207 22.5707237, 114.1328134 22.5706172, 114.1327491 22.570538, 114.1327035 22.5704661, 114.1326721 22.5703871, 114.1326498 22.570268, 114.1326337 22.5700525)",,,
2883507438,1145406817,0,284628345,False,residential,False,170.679,,,"LINESTRING (114.1288689 22.5735967, 114.1287829 22.5736911, 114.1286828 22.5737701, 114.128656 22.5738147, 114.1286399 22.573889, 114.1286265 22.5742035, 114.1286085 22.5742855, 114.1284835 22.5748977, 114.1283506 22.5749688)",,,
2883507438,2883507459,0,284628345,False,residential,True,63.458999999999996,,,"LINESTRING (114.1288689 22.5735967, 114.1290744 22.5733714, 114.1292655 22.573159)",,,
2883507438,2883507622,0,284628357,False,residential,True,367.84,,,"LINESTRING (114.1288689 22.5735967, 114.1271467 22.5720317, 114.1270816 22.5719646, 114.1270467 22.5718927, 114.1270502 22.5718137, 114.1270762 22.5717466, 114.1274678 22.5713726, 114.1275276 22.571306, 114.1276208 22.571182)",,,
2883507444,2883507430,0,284628342,False,residential,False,162.19199999999998,,,"LINESTRING (114.1326337 22.5700525, 114.1326498 22.570268, 114.1326721 22.5703871, 114.1327035 22.5704661, 114.1327491 22.570538, 114.1328134 22.5706172, 114.1329207 22.5707237, 114.1331514 22.5709541, 114.1332801 22.5711027, 114.1333896 22.5712819)",,,
2883507445,2883507425,0,284628343,False,residential,True,102.244,,,"LINESTRING (114.1301454 22.5757988, 114.1301634 22.575115, 114.130153 22.5748797)",,,
2883507446,5091912840,0,219498390,False,tertiary,True,340.031,,太安路,"LINESTRING (114.1344388 22.5731656, 114.1316136 22.5747611)",,,
2883507446,2920173172,0,542054986,False,tertiary,False,192.488,,太安路,"LINESTRING (114.1344388 22.5731656, 114.1360381 22.5722624)",,,
2883507446,2883507646,0,284628365,False,tertiary,True,226.538,,东乐路,"LINESTRING (114.1344388 22.5731656, 114.1340347 22.5724082, 114.1334328 22.5713526)",,,
2883507446,2883507498,0,542054987,False,residential,False,233.36599999999999,,东乐路,"LINESTRING (114.1344388 22.5731656, 114.1346274 22.5735945, 114.134801 22.5739509, 114.1349673 22.5743274, 114.1352926 22.5749914, 114.1353358 22.5750935)",,,
2883507459,2883507438,0,284628345,False,residential,False,63.458999999999996,,,"LINESTRING (114.1292655 22.573159, 114.1290744 22.5733714, 114.1288689 22.5735967)",,,
2883507459,2883504200,0,284628355,False,residential,False,154.011,,,"LINESTRING (114.1292655 22.573159, 114.1291925 22.5730841, 114.1291335 22.5729924, 114.1291039 22.5729181, 114.1290905 22.5728389, 114.1290905 22.5727497, 114.1291093 22.5726259, 114.1291495 22.572502, 114.1292362 22.5723834, 114.1293856 22.5722172, 114.1295098 22.572101, 114.1295867 22.5720686, 114.1296672 22.5720686)",,,
2883507459,2883507474,0,284628355,False,residential,True,99.37299999999999,,,"LINESTRING (114.1292655 22.573159, 114.1293086 22.5732032, 114.129399 22.5732772, 114.1294937 22.5733369, 114.1296055 22.5733837, 114.1297262 22.573411, 114.1298281 22.5734234, 114.1299336 22.5734162, 114.1300481 22.5733763, 114.1301161 22.5733219)",,,
2883507474,2883507425,0,284628343,False,residential,False,173.49699999999999,,,"LINESTRING (114.1301161 22.5733219, 114.1301554 22.5736958, 114.1301723 22.5740626, 114.1301535 22.5744316, 114.130153 22.5748797)",,,
