u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
352965588,2887197521,0,284819546,False,2,八卦四路,tertiary,False,102.863,,"LINESTRING (114.0945202 22.5662764, 114.0935186 22.5662597)",,
352965588,3079758289,0,284819546,False,2,八卦四路,tertiary,True,83.124,,"LINESTRING (114.0945202 22.5662764, 114.0953296 22.56629)",,
352965588,3079758240,0,1050682023,False,,八卦路,tertiary,False,74.738,,"LINESTRING (114.0945202 22.5662764, 114.0944973 22.5669482)",,
352965588,2887196875,0,1050682023,False,,八卦路,tertiary,True,64.784,,"LINESTRING (114.0945202 22.5662764, 114.0945327 22.5656939)",,
352965610,2887196834,0,199147524,True,,八卦三路,secondary,False,101.876,,"LINESTRING (114.0945546 22.5646796, 114.0935626 22.5646639)",,
352965610,2887196881,0,1050682023,False,,八卦路,tertiary,False,58.0,,"LINESTRING (114.0945546 22.5646796, 114.0945433 22.5652011)",,
352965610,2885153118,0,1050682026,False,,八卦路,tertiary,True,6.973,,"LINESTRING (114.0945546 22.5646796, 114.094556 22.5646169)",,
564641475,9557077324,0,1050682019,True,,八卦二路,tertiary,False,12.011,,"LINESTRING (114.089613 22.5609116, 114.0897289 22.5609262)",,
564641482,581061215,0,"[1049508297, 40989533, 45569133]",True,2,上步北路,primary,False,482.594,yes,"LINESTRING (114.0877333 22.5647656, 114.0876764 22.5649214, 114.0875335 22.5653173, 114.0872136 22.5661645, 114.087125 22.5663925, 114.087035 22.5666136, 114.0866384 22.5675298, 114.0865864 22.5676444, 114.0865383 22.5677461, 114.0864805 22.5678553, 114.0864288 22.5679429, 114.0863611 22.5680569, 114.0862937 22.5681642, 114.0862294 22.5682622, 114.0861716 22.5683476, 114.0861139 22.5684289, 114.0858869 22.5687373)",,
581061171,581062472,0,45569114,True,,北环大道,trunk,False,72.717,,"LINESTRING (114.0880903 22.5668082, 114.0880191 22.5667984, 114.0879649 22.5667929, 114.0878973 22.5667881, 114.0878227 22.566785, 114.087748 22.5667843, 114.0876793 22.5667874, 114.08761 22.5667924, 114.0875512 22.5667988, 114.0874935 22.5668066, 114.087444 22.5668156, 114.0873873 22.5668278)",G107,
581061171,581061177,0,297348722,True,,泥岗西路,primary,False,180.421,,"LINESTRING (114.0880903 22.5668082, 114.0878224 22.5667248, 114.0874199 22.5665846, 114.0872536 22.5665116, 114.0870764 22.5664176, 114.0869371 22.5663388, 114.0868006 22.5662514, 114.0866945 22.5661727, 114.0865477 22.5660611)",,
581061177,581062424,0,45569109,True,,,primary_link,False,152.71199999999996,,"LINESTRING (114.0865477 22.5660611, 114.08648 22.5660254, 114.0864326 22.5660095, 114.0863953 22.5660028, 114.0863509 22.5659993, 114.0863069 22.5659999, 114.086265 22.5660036, 114.0862238 22.5660111, 114.0861844 22.5660231, 114.0861581 22.5660375, 114.0861379 22.5660567, 114.0861226 22.5660797, 114.0861143 22.5661012, 114.0861086 22.566128, 114.086108 22.5661528, 114.0861121 22.5661784, 114.0861887 22.5665158, 114.0862149 22.5665814, 114.0862645 22.5666275, 114.0863388 22.5666515, 114.0864159 22.5666536, 114.0864897 22.5666436, 114.0865569 22.5666218, 114.0866265 22.5665726)",,
581061177,6376617483,0,627687962,True,,泥岗西路,primary,False,190.013,,"LINESTRING (114.0865477 22.5660611, 114.0862638 22.5658122, 114.0860707 22.5656091, 114.0858024 22.5652574, 114.0854481 22.5646994)",,
