u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,tunnel
1491845063,310170186,0,220799854,False,新洲九街,tertiary,False,90.745,"LINESTRING (114.0423911 22.527334, 114.041637 22.5271849, 114.0415258 22.5271703)",,,,,
1491845096,4981907891,0,958581830,False,新洲十一街,residential,False,18.008,"LINESTRING (114.040353 22.5297251, 114.0405247 22.5297579)",2,,,,
1491845101,4981907891,0,958581830,False,新洲十一街,residential,True,37.925,"LINESTRING (114.0408829 22.5298407, 114.0405247 22.5297579)",2,,,,
1491845101,1491845063,0,135913054,False,,residential,True,325.105,"LINESTRING (114.0408829 22.5298407, 114.041196 22.529276, 114.0419167 22.5283166, 114.0419962 22.5283166, 114.0423911 22.527334)",,,,,
1491845101,310170186,0,508876171,False,,residential,False,304.618,"LINESTRING (114.0408829 22.5298407, 114.0411966 22.5282101, 114.0415258 22.5271703)",,,,,
1783922699,1783922716,0,166998768,False,水围七街,residential,True,59.327,"LINESTRING (114.0577715 22.5208733, 114.0576923 22.5214018)",,,,,
1783922699,1783922705,0,166998806,False,水围四街,residential,False,63.921,"LINESTRING (114.0577715 22.5208733, 114.0583801 22.5209933)",,,,,
1783922699,8882319736,0,"[166998768, 97522107]",False,"['皇岗公园街', '水围七街']","['residential', 'tertiary']",False,144.99,"LINESTRING (114.0577715 22.5208733, 114.0577317 22.5208527, 114.0577004 22.5208087, 114.0576882 22.5207704, 114.0576899 22.5207279, 114.0575579 22.5206922, 114.0564758 22.5206826)",2,,,,
1783922701,1783922705,0,166998806,False,水围四街,residential,True,53.275,"LINESTRING (114.0588986 22.5209811, 114.0583801 22.5209933)",,,,,
1783922701,1783922726,0,166998861,False,水围二街,tertiary,True,72.633,"LINESTRING (114.0588986 22.5209811, 114.0589768 22.5216303)",2,,,,
1783922705,1783922701,0,166998806,False,水围四街,residential,False,53.275,"LINESTRING (114.0583801 22.5209933, 114.0588986 22.5209811)",,,,,
1783922705,1783922699,0,166998806,False,水围四街,residential,True,63.921,"LINESTRING (114.0583801 22.5209933, 114.0577715 22.5208733)",,,,,
1783922705,1783922791,0,166998814,False,水围五街,residential,True,148.354,"LINESTRING (114.0583801 22.5209933, 114.0584159 22.522117, 114.0583456 22.5223167)",,,,,
1783922716,1783922699,0,166998768,False,水围七街,residential,False,59.327,"LINESTRING (114.0576923 22.5214018, 114.0577715 22.5208733)",,,,,
1783922716,1783922793,0,166998768,False,水围七街,residential,True,106.607,"LINESTRING (114.0576923 22.5214018, 114.0574178 22.5223264)",,,,,
1783922716,1783922784,0,166998827,False,,residential,True,128.478,"LINESTRING (114.0576923 22.5214018, 114.0574005 22.5213811, 114.0573866 22.5215501, 114.0573472 22.5216797, 114.0571773 22.5222391)",,,,,
1783922726,1783922729,0,166998833,False,,residential,True,69.511,"LINESTRING (114.0589768 22.5216303, 114.0596507 22.5216875)",,,,,
1783922726,1783922701,0,166998861,False,水围二街,tertiary,False,72.633,"LINESTRING (114.0589768 22.5216303, 114.0588986 22.5209811)",2,,,,
1783922726,1783922795,0,166998861,False,水围二街,tertiary,True,77.47,"LINESTRING (114.0589768 22.5216303, 114.0589897 22.5223269)",2,,,,
1783922729,1783922797,0,166998788,False,,residential,False,77.019,"LINESTRING (114.0596507 22.5216875, 114.0594779 22.5223615)",,,,,
1783922729,1783922726,0,166998833,False,,residential,False,69.511,"LINESTRING (114.0596507 22.5216875, 114.0589768 22.5216303)",,,,,
1783922784,1783922788,0,166998827,False,,residential,True,4.79,"LINESTRING (114.0571773 22.5222391, 114.0571648 22.5222806)",,,,,
1783922784,8167951097,0,166998800,False,,residential,True,61.937,"LINESTRING (114.0571773 22.5222391, 114.0571368 22.5222256, 114.0565769 22.5222185)",,,,,
1783922784,1783922716,0,166998827,False,,residential,False,128.478,"LINESTRING (114.0571773 22.5222391, 114.0573472 22.5216797, 114.0573866 22.5215501, 114.0574005 22.5213811, 114.0576923 22.5214018)",,,,,
1783922788,1783922793,0,166998782,False,,residential,False,26.481,"LINESTRING (114.0571648 22.5222806, 114.0574178 22.5223264)",,,,,
1783922788,1783922784,0,166998827,False,,residential,False,4.79,"LINESTRING (114.0571648 22.5222806, 114.0571773 22.5222391)",,,,,
1783922788,1783922830,0,166998827,False,,residential,True,72.931,"LINESTRING (114.0571648 22.5222806, 114.056973 22.5229121)",,,,,
1783922791,1783922795,0,166998811,False,水围三街,residential,False,66.168,"LINESTRING (114.0583456 22.5223167, 114.0589897 22.5223269)",,,,,
1783922791,2268753043,0,166998814,False,水围五街,residential,True,56.97,"LINESTRING (114.0583456 22.5223167, 114.0581364 22.5227912)",,,,,
1783922791,1783922705,0,166998814,False,水围五街,residential,False,148.354,"LINESTRING (114.0583456 22.5223167, 114.0584159 22.522117, 114.0583801 22.5209933)",,,,,
1783922793,1783922716,0,166998768,False,水围七街,residential,False,106.607,"LINESTRING (114.0574178 22.5223264, 114.0576923 22.5214018)",,,,,
1783922793,1783922788,0,166998782,False,,residential,True,26.481,"LINESTRING (114.0574178 22.5223264, 114.0571648 22.5222806)",,,,,
1783922793,1783922822,0,166998768,False,水围七街,residential,True,31.757,"LINESTRING (114.0574178 22.5223264, 114.057363 22.5225108, 114.0574074 22.5225958)",,,,,
1783922795,1783922791,0,166998811,False,水围三街,residential,True,66.168,"LINESTRING (114.0589897 22.5223269, 114.0583456 22.5223167)",,,,,
1783922795,1783922726,0,166998861,False,水围二街,tertiary,False,77.47,"LINESTRING (114.0589897 22.5223269, 114.0589768 22.5216303)",2,,,,
1783922795,1783922797,0,166998811,False,水围三街,residential,False,50.292,"LINESTRING (114.0589897 22.5223269, 114.0592581 22.5223459, 114.0594779 22.5223615)",,,,,
1783922795,8167985895,0,166998861,False,水围二街,tertiary,True,152.225,"LINESTRING (114.0589897 22.5223269, 114.0589897 22.5223665, 114.0585442 22.5235242, 114.0585417 22.5236249)",2,,,,
1783922797,1783922729,0,166998788,False,,residential,True,77.019,"LINESTRING (114.0594779 22.5223615, 114.0596507 22.5216875)",,,,,
1783922797,1783922800,0,166998811,False,水围三街,residential,False,28.168,"LINESTRING (114.0594779 22.5223615, 114.0597424 22.5224284)",,,,,
1783922797,1783922795,0,166998811,False,水围三街,residential,True,50.292,"LINESTRING (114.0594779 22.5223615, 114.0592581 22.5223459, 114.0589897 22.5223269)",,,,,
1783922800,1783922837,0,166998785,False,,residential,True,136.19,"LINESTRING (114.0597424 22.5224284, 114.0593974 22.523611)",,,,,
1783922800,1783922797,0,166998811,False,水围三街,residential,True,28.168,"LINESTRING (114.0597424 22.5224284, 114.0594779 22.5223615)",,,,,
1783922822,1783922793,0,166998768,False,水围七街,residential,False,31.757,"LINESTRING (114.0574074 22.5225958, 114.057363 22.5225108, 114.0574178 22.5223264)",,,,,
1783922822,1783922850,0,166998768,False,水围七街,residential,True,119.5,"LINESTRING (114.0574074 22.5225958, 114.0574173 22.5227191, 114.0574062 22.5228821, 114.0573606 22.5236687)",,,,,
1783922822,2268753043,0,217589457,False,水围六街,residential,True,77.967,"LINESTRING (114.0574074 22.5225958, 114.0579662 22.5227452, 114.0581364 22.5227912)",,,,,
1783922830,1783922788,0,166998827,False,,residential,False,72.931,"LINESTRING (114.056973 22.5229121, 114.0571648 22.5222806)",,,,,
1783922835,1783922837,0,166998770,False,水围街,residential,False,11.566,"LINESTRING (114.0592848 22.5236098, 114.0593974 22.523611)",,,,,
1783922835,8167985895,0,166998770,False,水围街,residential,True,76.345,"LINESTRING (114.0592848 22.5236098, 114.0585417 22.5236249)",,,,,
1783922835,8167985873,0,166998804,False,,residential,True,154.21,"LINESTRING (114.0592848 22.5236098, 114.0590205 22.5245555, 114.0589347 22.5249579)",,,,,
1783922837,1783922835,0,166998770,False,水围街,residential,True,11.566,"LINESTRING (114.0593974 22.523611, 114.0592848 22.5236098)",,,,,
1783922837,1783922800,0,166998785,False,,residential,False,136.19,"LINESTRING (114.0593974 22.523611, 114.0597424 22.5224284)",,,,,
1783922848,8167985895,0,166998770,False,水围街,residential,False,56.856,"LINESTRING (114.0579886 22.5236454, 114.0585417 22.5236249)",,,,,
1783922848,8167985894,0,166998770,False,水围街,residential,True,35.228,"LINESTRING (114.0579886 22.5236454, 114.0576459 22.5236581)",,,,,
1783922848,2268753043,0,166998814,False,水围五街,residential,False,96.581,"LINESTRING (114.0579886 22.5236454, 114.058024 22.5233744, 114.0580164 22.5232925, 114.0581364 22.5227912)",,,,,
1783922850,8167985894,0,166998770,False,水围街,residential,False,29.328,"LINESTRING (114.0573606 22.5236687, 114.0576459 22.5236581)",,,,,
1783922850,8167985893,0,166998770,False,水围街,residential,True,33.214,"LINESTRING (114.0573606 22.5236687, 114.0570375 22.5236808)",,,,,
1783922850,1783922822,0,166998768,False,水围七街,residential,False,119.5,"LINESTRING (114.0573606 22.5236687, 114.0574062 22.5228821, 114.0574173 22.5227191, 114.0574074 22.5225958)",,,,,
1783922854,8167951092,0,97522329,False,皇岗公园一街,tertiary,False,77.22,"LINESTRING (114.0564348 22.5237032, 114.0564442 22.5230088)",2,,,,
1783922854,8167985564,0,97522329,False,皇岗公园一街,tertiary,True,18.738,"LINESTRING (114.0564348 22.5237032, 114.0564325 22.5238717)",2,,,,
1783922854,8167985893,0,166998770,False,水围街,residential,False,61.955,"LINESTRING (114.0564348 22.5237032, 114.0570375 22.5236808)",,,,,
1783922878,8167985880,0,166998861,False,水围二街,tertiary,False,72.839,"LINESTRING (114.05842 22.5251719, 114.0584747 22.5245188)",2,,,,
