u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name
8099316370,8099204887,0,1049968039,True,2,secondary,False,93.665,"LINESTRING (114.0584533 22.571205, 114.0583519 22.5712044, 114.0583 22.5712041, 114.0575411 22.5711996)",梅林路
8099316371,8099316369,0,783463649,True,3,secondary,False,7.67,"LINESTRING (114.0584548 22.5711377, 114.0585295 22.5711382)",梅林路
8099316371,8099316381,0,34900291,True,,secondary,False,25.480000000000004,"LINESTRING (114.0584548 22.5711377, 114.0584568 22.5710437, 114.058458 22.5709882, 114.0584597 22.5709086)",凯丰路
8099316381,8099316344,0,34900291,True,,secondary,False,70.601,"LINESTRING (114.0584597 22.5709086, 114.0584692 22.5704675, 114.0584704 22.5704108, 114.0584734 22.5702738)",凯丰路
8099316393,8099316371,0,783463649,True,3,secondary,False,33.885,"LINESTRING (114.0581248 22.5711356, 114.0583134 22.5711368, 114.0583724 22.5711372, 114.0584548 22.5711377)",梅林路
8099316393,8099316381,0,868936127,True,1,secondary_link,False,45.437,"LINESTRING (114.0581248 22.5711356, 114.0581432 22.5711334, 114.0581631 22.5711297, 114.058185 22.5711239, 114.0582078 22.5711165, 114.05823 22.5711085, 114.0582552 22.5710983, 114.05828 22.5710877, 114.0583048 22.5710766, 114.0583276 22.5710645, 114.0583487 22.5710524, 114.0583668 22.5710404, 114.0583845 22.5710282, 114.0583991 22.5710176, 114.0584155 22.5710041, 114.0584265 22.5709911, 114.0584376 22.5709755, 114.058446 22.5709604, 114.0584513 22.5709478, 114.0584553 22.5709343, 114.0584579 22.5709216, 114.0584597 22.5709086)",
8099316442,8099316487,0,868936132,False,,residential,False,8.159,"LINESTRING (114.0584203 22.5727381, 114.0584983 22.5727521)",
8099316442,8099308378,0,996247180,True,2,residential,False,94.099,"LINESTRING (114.0584203 22.5727381, 114.0583674 22.572729, 114.0583144 22.5727198, 114.0576645 22.5726172, 114.0576122 22.5726096, 114.0575164 22.5725993)",林丰路
8099316442,8099316370,0,1049968038,True,,secondary,False,170.506,"LINESTRING (114.0584203 22.5727381, 114.0584515 22.5712917, 114.0584523 22.5712502, 114.0584533 22.571205)",凯丰路
8099316461,8099316369,0,868936124,True,,secondary,False,35.443,"LINESTRING (114.0585357 22.5708195, 114.0585324 22.5709888, 114.0585313 22.5710432, 114.0585295 22.5711382)",凯丰路
8099316461,8099316455,0,868936130,True,,secondary_link,False,53.67,"LINESTRING (114.0585357 22.5708195, 114.0585644 22.5709011, 114.0585962 22.5709613, 114.0586381 22.5710184, 114.0586773 22.5710555, 114.058723 22.5710874, 114.0587698 22.5711109, 114.0588216 22.5711273, 114.058881 22.5711405)",
8099316474,8099316487,0,868936124,True,,secondary,False,149.87,"LINESTRING (114.0585243 22.5714045, 114.0584983 22.5727521)",凯丰路
8099316482,8099316474,0,868936131,True,,secondary_link,False,34.314,"LINESTRING (114.0587568 22.5712068, 114.0587395 22.5712086, 114.0587235 22.571213, 114.0587078 22.5712187, 114.0586905 22.5712262, 114.0586704 22.5712363, 114.0586499 22.571248, 114.0586313 22.57126, 114.0586129 22.5712732, 114.0585976 22.5712849, 114.0585831 22.5712988, 114.058571 22.5713119, 114.0585577 22.5713288, 114.0585481 22.5713438, 114.0585389 22.5713602, 114.0585327 22.5713759, 114.0585281 22.5713888, 114.0585243 22.5714045)",
8099316482,8099316368,0,996247181,True,2,secondary,False,23.473,"LINESTRING (114.0587568 22.5712068, 114.0585971 22.5712059, 114.0585282 22.5712055)",梅林路
8099316486,8099316487,0,868936132,False,,residential,True,105.715,"LINESTRING (114.0595261 22.5727802, 114.0586398 22.5727718, 114.0586002 22.5727689, 114.0585504 22.5727614, 114.0584983 22.5727521)",
