u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,access,bridge
564275666,564275538,0,996762394,True,上步中路,primary,40,False,10.121,2,"LINESTRING (114.0909784 22.5518178, 114.0909805 22.5517268)",,
564275743,564275745,0,643527685,True,红荔路,secondary,50,False,8.629,,"LINESTRING (114.0815453 22.5516893, 114.0814613 22.5516874)",,
564275743,1123371505,0,643527690,True,华强北路,secondary,40,False,253.291,2,"LINESTRING (114.0815453 22.5516893, 114.0815125 22.553967)",,
564275745,564275536,0,863702727,True,华强北路,secondary,,False,12.846,,"LINESTRING (114.0814613 22.5516874, 114.0815082 22.5515803)",,
1123344039,8046357063,0,96935411,False,,residential,20,False,121.384,,"LINESTRING (114.0804424 22.5504861, 114.0804092 22.5515773)",,
1123368599,1876814366,0,96938398,False,百花四路,tertiary,20,False,40.132,2,"LINESTRING (114.0827189 22.5539913, 114.0827991 22.5540007, 114.0828688 22.5540146, 114.0829423 22.5540367, 114.083021 22.5540646, 114.0830896 22.554097)",,
1123368599,1123371505,0,96938398,False,百花四路,tertiary,20,True,123.918,2,"LINESTRING (114.0827189 22.5539913, 114.0826059 22.553987, 114.0820661 22.5539763, 114.0815125 22.553967)",,
1123368599,3012222313,0,297348499,False,,residential,,False,210.64100000000002,,"LINESTRING (114.0827189 22.5539913, 114.0827366 22.5531425, 114.0827554 22.5531079, 114.0827963 22.5530863, 114.0828573 22.5530781, 114.0838385 22.5530886)",,
1123368600,3002384933,0,96938400,False,百花五路,tertiary,20,True,152.787,2,"LINESTRING (114.0841578 22.555103, 114.0852381 22.5541582)",,
1123368600,1123370194,0,643527678,False,百花四路,tertiary,20,False,95.567,2,"LINESTRING (114.0841578 22.555103, 114.0847965 22.5557281)",,
1123368600,2887851432,0,643527678,False,百花四路,tertiary,20,True,9.339,2,"LINESTRING (114.0841578 22.555103, 114.0840954 22.5550419)",,
1123368602,3002384946,0,96938400,False,百花五路,tertiary,20,False,64.024,2,"LINESTRING (114.0865836 22.5529813, 114.0862844 22.553243, 114.0861309 22.5533772)",,
1123368602,3012222559,0,643527680,False,百花二路,tertiary,,False,127.65100000000001,,"LINESTRING (114.0865836 22.5529813, 114.0871269 22.5535117, 114.0874378 22.5538153)",,
1123369098,9946843954,0,96938449,False,百花一路,residential,,True,139.965,,"LINESTRING (114.0909446 22.5541109, 114.0895819 22.5540855)",,
1123369098,1123433067,0,818397546,False,,residential,,False,15.067,,"LINESTRING (114.0909446 22.5541109, 114.091091 22.5541199)",,
1123369098,5619242029,0,771790236,True,上步中路,primary,40,False,168.607,2,"LINESTRING (114.0909446 22.5541109, 114.0909548 22.5535559, 114.0909644 22.5530351, 114.0909774 22.5525949)",,
1123369099,278217366,0,643527680,False,百花二路,tertiary,,False,84.584,,"LINESTRING (114.0883148 22.5546581, 114.0888855 22.5552066)",,
1123369099,3002384329,0,643527680,False,百花二路,tertiary,,True,52.819,,"LINESTRING (114.0883148 22.5546581, 114.0879584 22.5543156)",,
1123369099,3012222568,0,96938449,False,百花一路,residential,,False,141.524,,"LINESTRING (114.0883148 22.5546581, 114.0887806 22.5542612, 114.0888777 22.5541954, 114.0889828 22.554146, 114.0890978 22.5541117, 114.0892151 22.55409, 114.0893023 22.5540829, 114.0894803 22.5540836)",,
1123370190,8046357162,0,96938591,False,百花六路,residential,,True,8.688,,"LINESTRING (114.0814809 22.5561583, 114.0813963 22.5561573)",,
1123370190,2887859156,0,96938591,False,百花六路,residential,,False,52.352,,"LINESTRING (114.0814809 22.5561583, 114.0815247 22.5561586, 114.0819907 22.5561615)",,
1123370194,278217359,0,643527678,False,百花四路,tertiary,20,False,251.792,2,"LINESTRING (114.0847965 22.5557281, 114.0864861 22.5573691)",,
1123370194,1123368600,0,643527678,False,百花四路,tertiary,20,True,95.567,2,"LINESTRING (114.0847965 22.5557281, 114.0841578 22.555103)",,
1123370194,2887859151,0,96938591,False,百花六路,residential,,True,158.525,,"LINESTRING (114.0847965 22.5557281, 114.0844846 22.5559788, 114.0843812 22.5560469, 114.0842715 22.5561018, 114.0841674 22.5561387, 114.0840606 22.5561638, 114.0839528 22.5561738, 114.0834044 22.5561704)",,
1123371505,1123370190,0,643527690,True,华强北路,secondary,40,False,243.683,2,"LINESTRING (114.0815125 22.553967, 114.0814809 22.5561583)",,
1123371505,1123372040,0,863702724,False,华新路,tertiary,,False,8.812,3,"LINESTRING (114.0815125 22.553967, 114.0814267 22.5539656)",,
1123371505,1123368599,0,96938398,False,百花四路,tertiary,20,False,123.918,2,"LINESTRING (114.0815125 22.553967, 114.0820661 22.5539763, 114.0826059 22.553987, 114.0827189 22.5539913)",,
1123371507,2887851432,0,643527678,False,百花四路,tertiary,20,False,97.829,2,"LINESTRING (114.0834416 22.554402, 114.0840954 22.5550419)",,
1123371507,3012222313,0,332091238,False,百花七路,residential,,True,161.11599999999999,,"LINESTRING (114.0834416 22.554402, 114.083685 22.5541873, 114.0837338 22.5541403, 114.0837687 22.5540966, 114.0837953 22.5540504, 114.0838159 22.5539954, 114.083829 22.553935, 114.0838335 22.5538778, 114.0838385 22.5530886)",,
1123371507,1876814366,0,"[96938398, 643527678]",False,百花四路,tertiary,20,True,49.76599999999999,2,"LINESTRING (114.0834416 22.554402, 114.0832198 22.554185, 114.083155 22.5541372, 114.0830896 22.554097)",,
1123372040,1123371505,0,863702724,False,华新路,tertiary,,True,8.812,3,"LINESTRING (114.0814267 22.5539656, 114.0815125 22.553967)",,
1123372040,3012222276,0,863702727,True,华强北路,secondary,,False,112.331,,"LINESTRING (114.0814267 22.5539656, 114.081443 22.5529555)",,
1123433067,4127126154,0,96945487,False,园岭四街,residential,,True,73.734,2,"LINESTRING (114.091091 22.5541199, 114.091809 22.5541255)",,
1123433067,7205080980,0,771790237,True,上步中路,primary,40,False,65.936,2,"LINESTRING (114.091091 22.5541199, 114.0910807 22.5547128)",,
1123433067,1123369098,0,818397546,False,,residential,,True,15.067,,"LINESTRING (114.091091 22.5541199, 114.0909446 22.5541109)",,
1123433068,2926079555,0,96945488,False,园岭三街,residential,,True,27.499,2,"LINESTRING (114.0960341 22.5541582, 114.0960355 22.5539109)",,
1123433068,2885153121,0,96945487,False,园岭四街,residential,,False,136.491,2,"LINESTRING (114.0960341 22.5541582, 114.0957586 22.5541561, 114.095415 22.5541534, 114.0950889 22.5541509, 114.094705 22.5541479)",,
1123433068,7174533105,0,768475262,False,,residential,,False,117.255,,"LINESTRING (114.0960341 22.5541582, 114.0965528 22.5545865, 114.0969988 22.554591)",,
1123433895,4127126154,0,96945487,False,园岭四街,residential,,False,132.60899999999998,2,"LINESTRING (114.0931003 22.5541355, 114.0927658 22.5541329, 114.0921413 22.554128, 114.091809 22.5541255)",,
1123433895,2885153121,0,96945487,False,园岭四街,residential,,True,164.79399999999998,2,"LINESTRING (114.0931003 22.5541355, 114.0936211 22.5541395, 114.0939127 22.5541418, 114.094705 22.5541479)",,
1123433895,7174505057,0,96945500,True,园岭一街,residential,,False,59.976,2,"LINESTRING (114.0931003 22.5541355, 114.0931011 22.5540882, 114.0931079 22.5537085, 114.0931099 22.5535962)",,
1123454279,4493600691,0,96946455,False,园岭东路,tertiary,,False,65.599,,"LINESTRING (114.0974749 22.5565291, 114.0974674 22.557119)",,
1123454279,8559967637,0,96946454,False,园岭七街,residential,,False,181.4,,"LINESTRING (114.0974749 22.5565291, 114.0983155 22.5565389, 114.0987792 22.5565442, 114.0992413 22.5565444)",,
1123454279,2885151959,0,96946454,False,园岭七街,residential,,True,49.716,,"LINESTRING (114.0974749 22.5565291, 114.0970564 22.5565243, 114.0969908 22.5565235)",,
1123464430,7205080978,0,96946522,False,园岭六街,residential,,True,10.198,2,"LINESTRING (114.0926244 22.5558351, 114.0926228 22.5559268)",,
1123464433,2885151961,0,96946621,False,园岭东路,tertiary,,False,64.505,2,"LINESTRING (114.0969944 22.5556602, 114.0969963 22.5552011, 114.0969968 22.5550801)",,
1123464433,2885151959,0,96946621,False,园岭东路,tertiary,,True,95.995,2,"LINESTRING (114.0969944 22.5556602, 114.0969938 22.5558098, 114.0969913 22.5564136, 114.0969908 22.5565235)",,
1123464433,7180438583,0,769199999,True,园岭五街,residential,,False,155.79899999999998,,"LINESTRING (114.0969944 22.5556602, 114.0956276 22.5556403, 114.0954774 22.5556381)",,
1123464436,2885151953,0,958581839,False,园岭五街,residential,,False,76.75,,"LINESTRING (114.0939418 22.5556265, 114.0946892 22.5556266)",,
1123464436,1123464430,0,96947863,True,园岭五街,residential,,False,142.03700000000003,,"LINESTRING (114.0939418 22.5556265, 114.0938777 22.5556293, 114.0938274 22.5556384, 114.0937759 22.5556531, 114.0934856 22.5557781, 114.0934293 22.5557979, 114.0933852 22.5558059, 114.0933384 22.5558078, 114.0933039 22.5558054, 114.093268 22.5557976, 114.093221 22.5557841, 114.0931676 22.5557674, 114.0931128 22.5557548, 114.0930571 22.5557465, 114.0930008 22.5557425, 114.0929444 22.555743, 114.0928882 22.5557478, 114.0928326 22.5557569, 114.0927781 22.5557703, 114.0927249 22.5557879, 114.0926736 22.5558095, 114.0926244 22.5558351)",,
1123464436,7174533460,0,768475370,False,园学路,residential,,True,190.93200000000002,2,"LINESTRING (114.0939418 22.5556265, 114.0939413 22.5555225, 114.0939394 22.5551636, 114.0939252 22.5551296, 114.0939009 22.5551046, 114.093867 22.5550883, 114.0938319 22.5550814, 114.0936193 22.5550802, 114.0926238 22.5550747)",,
1699005787,1699012818,0,891126149,True,红荔路,secondary,50,False,234.738,,"LINESTRING (114.084324 22.551612, 114.0857736 22.5516411, 114.0861947 22.5516495, 114.0866093 22.5516578)",,
1699005789,3082205012,0,25531349,True,华发北路,secondary,40,False,107.335,1,"LINESTRING (114.0840736 22.5501892, 114.0840597 22.5511544)",yes,
1699005789,3082205027,0,303794325,False,,residential,,False,89.11699999999999,,"LINESTRING (114.0840736 22.5501892, 114.0842949 22.5501916, 114.0844989 22.5501912, 114.0849413 22.5501987)",,
1699012817,7949552658,0,891126149,True,红荔路,secondary,50,False,7.105,,"LINESTRING (114.0877993 22.5516762, 114.0878684 22.5516794)",,
1699012818,1876814385,0,96938494,True,百花二路,tertiary,,False,7.973,,"LINESTRING (114.0866093 22.5516578, 114.0866083 22.5517295)",,
1699012818,1699012817,0,891126149,True,红荔路,secondary,50,False,122.221,,"LINESTRING (114.0866093 22.5516578, 114.0877993 22.5516762)",,
1876814360,1876814385,0,643527685,True,红荔路,secondary,50,False,124.155,,"LINESTRING (114.087817 22.5517544, 114.0866083 22.5517295)",,
1876814360,1699012817,0,852241502,True,燕南路,tertiary,20,False,8.883,1,"LINESTRING (114.087817 22.5517544, 114.0877993 22.5516762)",,
1876814366,1123371507,0,"[643527678, 96938398]",False,百花四路,tertiary,20,False,49.766,2,"LINESTRING (114.0830896 22.554097, 114.083155 22.5541372, 114.0832198 22.554185, 114.0834416 22.554402)",,
1876814366,1123368599,0,96938398,False,百花四路,tertiary,20,True,40.132,2,"LINESTRING (114.0830896 22.554097, 114.083021 22.5540646, 114.0829423 22.5540367, 114.0828688 22.5540146, 114.0827991 22.5540007, 114.0827189 22.5539913)",,
1876814366,2887859156,0,285102989,False,,residential,,False,280.82099999999997,,"LINESTRING (114.0830896 22.554097, 114.0825473 22.5548352, 114.0824551 22.5549162, 114.082314 22.5549913, 114.0821332 22.5550549, 114.0820619 22.5550805, 114.0820055 22.5551275, 114.0819669 22.5551862, 114.0819535 22.5552506, 114.0819642 22.5553472, 114.0819907 22.5561615)",,
1876814385,1123368602,0,96938494,True,百花二路,tertiary,,False,139.217,,"LINESTRING (114.0866083 22.5517295, 114.0865836 22.5529813)",,
1876814385,2887859138,0,643527685,True,红荔路,secondary,50,False,279.32099999999997,,"LINESTRING (114.0866083 22.5517295, 114.0863402 22.5517288, 114.0847686 22.5516987, 114.0843264 22.5516913, 114.0841456 22.5516888, 114.0840304 22.5516931, 114.0838891 22.5517009)",,
1923784629,2926079552,0,96946621,False,园岭东路,tertiary,,False,34.404,2,"LINESTRING (114.0970029 22.5535979, 114.0970042 22.5532885)",,
1923784629,2926079554,0,96946621,False,园岭东路,tertiary,,True,35.705,2,"LINESTRING (114.0970029 22.5535979, 114.0970016 22.553919)",,
2091821669,2885232827,0,393911183,True,八卦一路,tertiary,,False,121.222,2,"LINESTRING (114.0946146 22.5598142, 114.0957949 22.5598346)",,
