u,v,key,osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge
2889086253,8099204898,0,868936129,True,secondary,False,166.076,"LINESTRING (114.0639057 22.5711737, 114.0640419 22.5711746, 114.0640875 22.5711749, 114.0654285 22.5711837, 114.0655231 22.5711843)",梅林路,,
8099316400,6043430725,0,641794234,True,secondary_link,False,85.248,"LINESTRING (114.0609379 22.5711541, 114.0610034 22.5711465, 114.0610695 22.5711367, 114.0611439 22.5711221, 114.061214 22.5711068, 114.0612913 22.5710844, 114.0613607 22.5710573, 114.06143 22.5710219, 114.0614842 22.5709906, 114.0615365 22.5709522, 114.0615754 22.5709107, 114.0616035 22.5708717, 114.0616319 22.5708099)",,,
8099316400,8099204879,0,1049968041,True,secondary,False,62.584,"LINESTRING (114.0609379 22.5711541, 114.0612788 22.5711564, 114.0613407 22.5711568, 114.0614399 22.5711574, 114.0615474 22.5711581)",梅林路,3,
2889086261,504640660,0,74033690,True,trunk,False,24.407,"LINESTRING (114.0673999 22.5711783, 114.0674002 22.5709588)",皇岗路,,
2889086261,8099204897,0,1039311783,True,secondary,False,100.046,"LINESTRING (114.0673999 22.5711783, 114.0672318 22.5711956, 114.0665328 22.571191, 114.0664266 22.5711903)",梅林路,,
8105505334,8624023668,0,996247172,False,tertiary,False,8.463,"LINESTRING (114.0638573 22.5738811, 114.0638588 22.573805)",梅东五路,,
8105505334,8105505258,0,996597677,True,tertiary,False,225.08499999999995,"LINESTRING (114.0638573 22.5738811, 114.063777 22.5738888, 114.0637063 22.5739007, 114.0636514 22.5739131, 114.0635877 22.5739282, 114.0635269 22.5739465, 114.0634521 22.573974, 114.0633873 22.5740043, 114.0633259 22.5740382, 114.0632786 22.5740701, 114.0632335 22.5741051, 114.0631233 22.5742032, 114.0630571 22.5742545, 114.0629961 22.5742979, 114.0629098 22.5743533, 114.0628228 22.574406, 114.062745 22.5744494, 114.0626669 22.5744869, 114.0625957 22.5745182, 114.0625233 22.5745462, 114.0624573 22.5745699, 114.0624024 22.5745872, 114.062347 22.5746028, 114.0622974 22.5746147, 114.0622583 22.5746238, 114.062204 22.5746341, 114.062135 22.5746468, 114.0620754 22.574657, 114.0620165 22.5746656, 114.0619517 22.5746721, 114.0618921 22.5746753)",梅东二路,2,
2889086265,2889086268,0,996247176,True,secondary,False,52.091,"LINESTRING (114.0613501 22.5733528, 114.0611867 22.5737963)",彩田路辅路,,
2889086265,8105505280,0,362117115,True,secondary_link,False,76.988,"LINESTRING (114.0613501 22.5733528, 114.0613547 22.5735629, 114.0613665 22.5736302, 114.0613806 22.5737048, 114.0613981 22.5737816, 114.0614226 22.5738812, 114.0614517 22.5739889, 114.0614635 22.5740343)",,,
3664891195,3664891207,0,996597661,True,primary,False,66.676,"LINESTRING (114.0607428 22.5759266, 114.0606139 22.5765143)",彩田路,,
2889086268,3664891195,0,"[1049968043, 996597660, 44419877]",True,primary,False,241.25,"LINESTRING (114.0611867 22.5737963, 114.0610914 22.5743099, 114.0609855 22.5748443, 114.0607428 22.5759266)",彩田路,,yes
3664891197,3664891195,0,681487202,True,primary_link,False,122.27,"LINESTRING (114.0612848 22.5749482, 114.061203 22.5750709, 114.0611747 22.5751179, 114.0611464 22.5751683, 114.0611138 22.5752267, 114.0609264 22.5755859, 114.0607428 22.5759266)",,,
