u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
2550450306,2550450326,0,248218082,False,,residential,False,98.38,"LINESTRING (113.9808716 22.5633527, 113.9814805 22.56311, 113.9813621 22.5628606)",,,
2550450324,2553922181,0,96395027,False,,tertiary,True,129.957,"LINESTRING (113.9825849 22.5641122, 113.9813671 22.5644304)",,,
2550450324,2550450289,0,248218083,False,,residential,True,177.971,"LINESTRING (113.9825849 22.5641122, 113.9818803 22.5626499)",,,
2550450324,2550463018,0,96395027,False,,tertiary,False,123.905,"LINESTRING (113.9825849 22.5641122, 113.9833309 22.5639116, 113.9837444 22.5638037)",,,
2550450326,2550450269,0,248218097,False,,residential,False,68.113,"LINESTRING (113.9813621 22.5628606, 113.980755 22.5631074)",,,
2550450326,2550450289,0,248218097,False,,residential,True,58.14,"LINESTRING (113.9813621 22.5628606, 113.9818803 22.5626499)",,,
2550450326,2550450306,0,248218082,False,,residential,True,98.38,"LINESTRING (113.9813621 22.5628606, 113.9814805 22.56311, 113.9808716 22.5633527)",,,
2550463018,2550463222,0,96395027,False,,tertiary,False,138.24,"LINESTRING (113.9837444 22.5638037, 113.9850399 22.5634655)",,,
2550463018,2550450324,0,96395027,False,,tertiary,True,123.905,"LINESTRING (113.9837444 22.5638037, 113.9833309 22.5639116, 113.9825849 22.5641122)",,,
2550463018,2550463202,0,"[248219671, 733782575]",False,,unclassified,True,537.2800000000001,"LINESTRING (113.9837444 22.5638037, 113.9839589 22.5639991, 113.9842426 22.5642129, 113.9847398 22.5645336, 113.985475 22.5650046, 113.9863375 22.5656158, 113.9865362 22.5657795, 113.9866977 22.5659461, 113.9868842 22.5661723, 113.9869671 22.566284, 113.9870623 22.5664503, 113.9870784 22.5665712, 113.9872455 22.5669558, 113.9873117 22.5670734, 113.9873389 22.5671484)",,,
2550463042,2550463139,0,248219663,True,,tertiary,False,15.994,"LINESTRING (113.9859584 22.5633021, 113.9859462 22.5633072, 113.9859117 22.5633071, 113.9858813 22.5632968, 113.9858553 22.5632769, 113.9858359 22.5632428)",,,
2550463092,2550463315,0,248219674,False,,residential,True,265.255,"LINESTRING (113.9852731 22.5605711, 113.9869093 22.5601327, 113.9871333 22.5609181)",,,
2550463139,2550463222,0,96395027,False,,tertiary,True,85.405,"LINESTRING (113.9858359 22.5632428, 113.9850399 22.5634655)",,,
2550463139,2550463305,0,248219663,True,,tertiary,False,13.556,"LINESTRING (113.9858359 22.5632428, 113.9858327 22.5632126, 113.985838 22.5631891, 113.9858539 22.5631629, 113.9858855 22.5631393)",,,
2550463148,2550463263,0,248219675,False,,residential,False,67.795,"LINESTRING (113.9866377 22.5641832, 113.9867483 22.5641206, 113.9868469 22.5640792, 113.9870166 22.5640165, 113.9871232 22.5639876, 113.9872472 22.5639571)",,,
