u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
500023063,6033482430,0,25584036,True,,trunk_link,False,243.93900000000002,"LINESTRING (114.0682617 22.532282, 114.0683199 22.532466, 114.068363 22.5325673, 114.0684168 22.5326578, 114.0684746 22.5327225, 114.0685457 22.5327793, 114.0686296 22.5328223, 114.0687265 22.532856, 114.068836 22.5328734, 114.0689418 22.5328661, 114.0690494 22.5328395, 114.0691473 22.5327928, 114.0692199 22.5327334, 114.0692959 22.5326527, 114.0693474 22.5325617, 114.0693789 22.5324731, 114.0693903 22.5323777, 114.0693832 22.5322813, 114.0693517 22.5321916, 114.0693011 22.5321167, 114.0692325 22.532054, 114.0691489 22.5320138, 114.0690602 22.531988)",滨河皇岗立交,,,,
500023064,7609471568,0,41019786,True,3,trunk,False,108.047,"LINESTRING (114.0682246 22.5343048, 114.0682104 22.5352764)",皇岗路,,,,
500023088,500021302,0,777201502,True,3,trunk,False,237.581,"LINESTRING (114.068098 22.5344128, 114.0681215 22.5322763)",皇岗路,,,,
500023088,500023095,0,24556363,True,,trunk_link,False,377.239,"LINESTRING (114.068098 22.5344128, 114.0680724 22.5342048, 114.0680407 22.5339308, 114.0680213 22.5338329, 114.0679914 22.5337402, 114.067897 22.5335896, 114.0664597 22.5322072, 114.0663867 22.5321408, 114.0663178 22.5320907, 114.0662325 22.5320403, 114.0661373 22.5320036, 114.0660372 22.5319771, 114.0658689 22.5319386)",滨河皇岗立交,,,,
500023095,8109971648,0,997152258,True,2,primary,False,124.239,"LINESTRING (114.0658689 22.5319386, 114.0653216 22.531934, 114.0651537 22.5319272, 114.0646606 22.5318959)",滨河大道辅路,,40,yes,
500023096,500023095,0,997152258,True,2,primary,False,165.371,"LINESTRING (114.0674789 22.5319569, 114.0658689 22.5319386)",滨河大道辅路,,40,yes,
500023096,500021302,0,25423324,True,,trunk_link,False,261.48199999999997,"LINESTRING (114.0674789 22.5319569, 114.0673514 22.5319698, 114.0672519 22.5319933, 114.0671825 22.5320253, 114.0671113 22.5320835, 114.0670651 22.5321366, 114.0670247 22.5321994, 114.066999 22.5322697, 114.0669893 22.5323481, 114.066992 22.5324248, 114.0670042 22.5325005, 114.067032 22.5325833, 114.0670758 22.5326539, 114.0671298 22.5327164, 114.0671863 22.5327673, 114.0672686 22.5328128, 114.0673545 22.5328432, 114.0674551 22.5328615, 114.0675586 22.5328647, 114.067658 22.5328497, 114.0677584 22.532815, 114.0678423 22.5327665, 114.0679216 22.532695, 114.0679805 22.5326124, 114.068026 22.5325337, 114.0680699 22.5324351, 114.0681215 22.5322763)",滨河皇岗立交,,,,
500023111,500021022,0,1036811485,True,,primary,False,153.339,"LINESTRING (114.0659996 22.5314631, 114.0674924 22.5314839)",滨河大道辅路,,,,
500023137,499681378,0,40998266,True,,primary,False,70.746,"LINESTRING (114.0704552 22.531571, 114.0711427 22.5316103)",滨河大道辅路,,,,
503466597,503466607,0,41205395,True,1,tertiary,False,414.78999999999996,"LINESTRING (114.0773676 22.536894, 114.0772313 22.5370035, 114.0751304 22.5387355, 114.074353 22.5393764)",福庆街,,,,
503466597,1699066590,0,50933378,False,,secondary,False,218.746,"LINESTRING (114.0773676 22.536894, 114.0774479 22.5377039, 114.0775701 22.5388523)",福星路,,,,
503466597,7950517551,0,50933378,False,,secondary,True,143.734,"LINESTRING (114.0773676 22.536894, 114.0772123 22.536166, 114.0771924 22.5360932, 114.0771717 22.5360291, 114.0771412 22.5359661, 114.0771125 22.535921, 114.0770691 22.5358659, 114.0769197 22.5356956)",福星路,,,,
503466607,7950517391,0,50933322,False,,tertiary,True,125.196,"LINESTRING (114.074353 22.5393764, 114.0740208 22.5382931)",福安街,,,,
503466607,7992170518,0,817826920,False,,tertiary,False,32.737,"LINESTRING (114.074353 22.5393764, 114.0743059 22.5394245, 114.0742197 22.5395106, 114.0741935 22.5395418, 114.0741692 22.5395781, 114.0741543 22.5396049)",福庆街,,,,
649484043,7993875250,0,50933392,False,,tertiary,True,126.882,"LINESTRING (114.0733029 22.5359515, 114.0720677 22.5359303)",福宁街,,,,
649484043,1123394574,0,50933322,False,,tertiary,False,199.54,"LINESTRING (114.0733029 22.5359515, 114.0733369 22.5360625, 114.0738323 22.5376781)",福安街,,,,
649484043,649484276,0,852327525,False,,tertiary,False,315.692,"LINESTRING (114.0733029 22.5359515, 114.0742202 22.5352367, 114.0756645 22.5341343)",福宁街,,,,
649484276,7950517545,0,50933378,False,,secondary,False,82.774,"LINESTRING (114.0756645 22.5341343, 114.0761433 22.5347331)",福星路,,,,
649484276,7950517485,0,50933378,False,,secondary,True,97.304,"LINESTRING (114.0756645 22.5341343, 114.0750911 22.5334377)",福星路,,,,
649484276,2657406468,0,817826921,False,,residential,False,244.748,"LINESTRING (114.0756645 22.5341343, 114.0773094 22.532806, 114.0774606 22.5326878)",福宁街,,,,
649484276,649484043,0,852327525,False,,tertiary,True,315.692,"LINESTRING (114.0756645 22.5341343, 114.0742202 22.5352367, 114.0733029 22.5359515)",福宁街,,,,
1123394574,7950517391,0,50933322,False,,tertiary,False,71.072,"LINESTRING (114.0738323 22.5376781, 114.0740208 22.5382931)",福安街,,,,
1123394574,7950517393,0,273652998,False,,residential,False,76.774,"LINESTRING (114.0738323 22.5376781, 114.0731178 22.5378811)",,,,,
1123394574,649484043,0,50933322,False,,tertiary,True,199.54,"LINESTRING (114.0738323 22.5376781, 114.0733369 22.5360625, 114.0733029 22.5359515)",福安街,,,,
1123394574,7950517551,0,96941161,False,,tertiary,False,395.809,"LINESTRING (114.0738323 22.5376781, 114.0744509 22.5375939, 114.0745204 22.5375796, 114.0745781 22.5375627, 114.0746353 22.5375387, 114.0746861 22.5375087, 114.0747253 22.5374812, 114.0768509 22.5357495, 114.0769197 22.5356956)",福祥街,,,,
1699066586,7950517401,0,260266061,True,2,primary,False,98.727,"LINESTRING (114.0789703 22.5354534, 114.0788271 22.5352437, 114.078527 22.5346669)",滨河大道辅路,,40,yes,
1699066590,503466597,0,50933378,False,,secondary,True,218.746,"LINESTRING (114.0775701 22.5388523, 114.0774479 22.5377039, 114.0773676 22.536894)",福星路,,,,
1699066608,2657406468,0,260266061,True,2,primary,False,218.762,"LINESTRING (114.0784074 22.5344492, 114.077837 22.5333518, 114.0775285 22.5327867, 114.0775015 22.5327439, 114.0774606 22.5326878)",滨河大道辅路,,40,yes,
1812925769,1982876369,0,187658563,False,2,residential,False,165.34199999999998,"LINESTRING (114.064034 22.5375553, 114.0640507 22.5367186, 114.0640636 22.5360686)",保华一路,,,,
1812925769,1982876355,0,1050532717,True,3,secondary,False,172.418,"LINESTRING (114.064034 22.5375553, 114.0642161 22.5375854, 114.0642838 22.5375994, 114.064316 22.5376061, 114.0646254 22.5376834, 114.0648954 22.5377598, 114.0654959 22.5379585, 114.0656377 22.5380055)",福华路,,,,
1812925899,2530742232,0,996755159,True,3,secondary,False,164.87,"LINESTRING (114.0655744 22.5381245, 114.065444 22.5380774, 114.0650854 22.5379478, 114.0649316 22.5378971, 114.0647159 22.5378357, 114.0644966 22.5377818, 114.0643208 22.5377459, 114.0642586 22.537734, 114.0640406 22.5377022)",福华路,,,,
1982876355,2784871064,0,273652222,True,,trunk_link,False,189.67200000000003,"LINESTRING (114.0656377 22.5380055, 114.0660422 22.53811, 114.0662841 22.5381925, 114.0666221 22.5383188, 114.066834 22.5383807, 114.0670833 22.5384303, 114.0673166 22.5384575, 114.0674084 22.5384611)",,,,,
1982876355,2784870934,0,"[1051842298, 996321298, 237810413]",True,3,secondary,False,522.709,"LINESTRING (114.0656377 22.5380055, 114.065987 22.5381547, 114.0663253 22.5382992, 114.066677 22.538429, 114.0669244 22.5385003, 114.0671842 22.5385463, 114.0674607 22.5385698, 114.0686469 22.5385881, 114.0699423 22.5385858, 114.0706123 22.5385978)",福华路,,,,yes
1982876363,7679730722,0,187658564,False,2,residential,True,20.422,"LINESTRING (114.0658162 22.533876, 114.0656174 22.5338725)",,,,,
1982876363,7679918885,0,825104410,False,2,residential,False,27.921,"LINESTRING (114.0658162 22.533876, 114.0658159 22.5341271)",,,,,
1982876363,7679918882,0,825104410,False,2,residential,True,14.233,"LINESTRING (114.0658162 22.533876, 114.0658164 22.533748)",,,,,
1982876368,7558081684,0,808268034,False,2,residential,True,48.613,"LINESTRING (114.0657345 22.5328794, 114.0652612 22.5328755)",保福三路,,,,
1982876368,7558081684,1,822479779,False,,living_street,False,53.341,"LINESTRING (114.0657345 22.5328794, 114.0656939 22.5328484, 114.0656624 22.532829, 114.0656139 22.5328079, 114.0653998 22.5328052, 114.0653479 22.532818, 114.0653024 22.5328415, 114.0652612 22.5328755)",,,,,
