u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry
1699891209,6789509317,0,389585678,2,文錦渡路 Man Kam To Road,secondary,False,False,2.589,"LINESTRING (114.1317743 22.534918, 114.1317704 22.534895)"
1699891209,2377869221,0,389585680,1,文錦渡路 Man Kam To Road,secondary,True,False,142.66600000000003,"LINESTRING (114.1317743 22.534918, 114.1317464 22.5350369, 114.1317397 22.535123, 114.1317315 22.53523, 114.1316791 22.5353971, 114.1316601 22.5354465, 114.1316339 22.5355171, 114.1314834 22.5357195, 114.1312931 22.5359164, 114.131159 22.5360133)"
2377869221,3927534996,0,389585679,1,,secondary_link,True,False,42.669,"LINESTRING (114.131159 22.5360133, 114.1311357 22.5361052, 114.1311424 22.5361502, 114.1311464 22.5361769, 114.1311974 22.5362204, 114.1312687 22.5362367, 114.1313576 22.5362147)"
2426868775,6789509317,0,234432498,,蓮麻坑路 Lin Ma Hang Road,unclassified,False,False,167.37599999999998,"LINESTRING (114.1331949 22.5355784, 114.1329816 22.5355061, 114.1328175 22.5354636, 114.1325958 22.5353874, 114.1325237 22.5353335, 114.1324926 22.5353102, 114.1324202 22.5352552, 114.1320038 22.5349635, 114.1319289 22.5349298, 114.1318715 22.5349197, 114.1317704 22.534895)"
3927534996,1699891209,0,389585684,1,文錦渡路 Man Kam To Road,secondary,True,False,157.03000000000003,"LINESTRING (114.1313576 22.5362147, 114.1313744 22.5361959, 114.1314658 22.5360922, 114.131558 22.535938, 114.1317483 22.5355224, 114.1318007 22.5353546, 114.1318433 22.5351568, 114.1318411 22.5351176, 114.1318348 22.5350507, 114.1317743 22.534918)"
6789509317,1699891209,0,389585678,2,文錦渡路 Man Kam To Road,secondary,False,True,2.589,"LINESTRING (114.1317704 22.534895, 114.1317743 22.534918)"
6789509317,2426868775,0,234432498,,蓮麻坑路 Lin Ma Hang Road,unclassified,False,True,167.376,"LINESTRING (114.1317704 22.534895, 114.1318715 22.5349197, 114.1319289 22.5349298, 114.1320038 22.5349635, 114.1324202 22.5352552, 114.1324926 22.5353102, 114.1325237 22.5353335, 114.1325958 22.5353874, 114.1328175 22.5354636, 114.1329816 22.5355061, 114.1331949 22.5355784)"
