u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,tunnel
581267106,581260668,0,"[996519938, 45586092]",True,G205,文锦北路,trunk,False,159.446,"LINESTRING (114.1162629 22.5774133, 114.1164008 22.5771666, 114.116957 22.5761306)",,yes,
581267131,581264368,0,"[219487409, 219487410]",True,,泥岗路辅路,primary,False,167.327,"LINESTRING (114.1151801 22.5767763, 114.1137703 22.5767694, 114.1135511 22.5767534)",,yes,
1145405679,7001120012,0,99003855,False,,水贝二路,tertiary,False,17.465,"LINESTRING (114.1179556 22.573875, 114.1181257 22.5738755)",,,
1145405679,581267045,0,44748623,True,G205,文锦北路,trunk,False,29.325,"LINESTRING (114.1179556 22.573875, 114.1179548 22.5740502, 114.1179435 22.5741381)",,,
1945547368,6266730023,0,45585235,True,G107,泥岗路,trunk,False,337.464,"LINESTRING (114.1027175 22.5721563, 114.1054847 22.5737938)",,,
1945547554,3068097564,0,669220275,True,,,motorway_link,False,103.641,"LINESTRING (114.1020047 22.5715578, 114.102858 22.5720557)",,,
1945547554,1945547368,0,1059483149,True,,,motorway_link,False,98.922,"LINESTRING (114.1020047 22.5715578, 114.102459 22.5719393, 114.1027175 22.5721563)",,,
2081275114,6798161759,0,99003706,False,,水贝一路,tertiary,False,73.112,"LINESTRING (114.1181019 22.5708553, 114.1185356 22.5708489, 114.1188139 22.5708483)",,,
2081275114,6798161755,0,724860395,True,,,tertiary,False,48.394,"LINESTRING (114.1181019 22.5708553, 114.1179928 22.5709227, 114.1179078 22.5710403, 114.117839 22.5712008)",,,
2286057498,2286377962,0,"[497068348, 497068349]",True,G107,"['泥岗路 Nigang Rd', '泥岗路跨布吉河桥']",trunk,False,241.461,"LINESTRING (114.1151822 22.5766245, 114.1137626 22.5766249, 114.1128306 22.5766105)",,yes,
2286057511,2286439715,0,582418909,True,,布心路辅路,primary,False,31.339,"LINESTRING (114.1159631 22.5767775, 114.115658 22.5767693)",,,
2286057511,581267106,0,45586093,True,,,trunk_link,False,166.077,"LINESTRING (114.1159631 22.5767775, 114.1157252 22.5769093, 114.1156501 22.5769911, 114.1156138 22.5770765, 114.1156085 22.5772945, 114.115634 22.5774047, 114.1156957 22.5775075, 114.1158217 22.5775681, 114.1159301 22.5775724, 114.116045 22.5775571, 114.116163 22.5775076, 114.1162629 22.5774133)",,,
2286057515,2286057511,0,582418909,True,,布心路辅路,primary,False,96.907,"LINESTRING (114.1169067 22.576797, 114.1159631 22.5767775)",,,
2286377962,581260603,0,497068347,True,G107,泥岗跨线桥,trunk,False,129.307,"LINESTRING (114.1128306 22.5766105, 114.1115713 22.5765959)",,yes,
2286377972,2286399084,0,219489366,False,,,unclassified,False,57.693,"LINESTRING (114.114371 22.5771034, 114.1145847 22.5772409, 114.1145722 22.577519)",,,
2286377972,2286399088,0,219489373,True,,洪湖西路,secondary,False,53.15,"LINESTRING (114.114371 22.5771034, 114.1143596 22.5772425, 114.1143316 22.5773504, 114.1142641 22.5774577, 114.1141905 22.5775357)",,,
2286399006,2286399013,0,996519936,True,,泥岗路辅路,primary,False,165.439,"LINESTRING (114.1073032 22.5747025, 114.1086721 22.5754873)",,,
2286399013,581260735,0,274121631,True,,,trunk_link,False,68.63,"LINESTRING (114.1086721 22.5754873, 114.1091152 22.5759494)",,,
2286399013,2286399027,0,996519936,True,,泥岗路辅路,primary,False,263.708,"LINESTRING (114.1086721 22.5754873, 114.1094083 22.5759079, 114.1098081 22.5760448, 114.1102741 22.5761662, 114.1103244 22.5761793, 114.1110556 22.5762832)",,,
2286399016,3012277449,0,996519941,True,,泥岗路辅路,primary,False,56.759,"LINESTRING (114.1073834 22.575381, 114.1069172 22.5751067)",,,
2286399016,3012276532,0,"[297366568, 297366569]",True,,泥岗宝岗立交,secondary_link,False,430.123,"LINESTRING (114.1073834 22.575381, 114.1072279 22.5754073, 114.1071753 22.5754353, 114.1071286 22.575484, 114.1070857 22.5755633, 114.1069355 22.5759645, 114.106899 22.5760197, 114.1068497 22.576071, 114.1067917 22.5761188, 114.1067263 22.5761453, 114.106663 22.5761609, 114.1065852 22.5761659, 114.106486 22.576151, 114.1064323 22.5761337, 114.106384 22.576104, 114.1063289 22.5760614, 114.1062851 22.5760111, 114.1062499 22.5759504, 114.1062286 22.5758861, 114.1062124 22.5758241, 114.1062151 22.5757721, 114.1062258 22.5757201, 114.1062499 22.5756606, 114.1062792 22.5755947, 114.1067665 22.5744983, 114.106855 22.5743398, 114.1071428 22.5738565)",,yes,
2286399027,2286399031,0,"[996519936, 1059457697, 219489362]",True,,泥岗路辅路,primary,False,228.47499999999997,"LINESTRING (114.1110556 22.5762832, 114.1115473 22.5762989, 114.1128237 22.57633, 114.1132792 22.5763565)",,yes,
2286399030,2286399027,0,219489365,True,,,trunk_link,False,86.514,"LINESTRING (114.1102137 22.576315, 114.1110556 22.5762832)",,,
2286399030,6798209311,0,"[246374370, 45585235, 497068343, 497068344, 497068345]",True,G107,"['泥岗跨线桥', '泥岗路 Nigang Rd', '布心路', '泥岗路', '泥岗路跨布吉河桥']",trunk,False,946.4909999999999,"LINESTRING (114.1102137 22.576315, 114.1105519 22.5763882, 114.1108737 22.5764377, 114.1112814 22.5764575, 114.1115497 22.5764604, 114.1128265 22.576474, 114.1137708 22.5764866, 114.1151756 22.5764876, 114.1163302 22.5765203, 114.1175615 22.5765459, 114.1189859 22.576565, 114.1194164 22.5765489)",,yes,
2286399031,2286439711,0,"[219489368, 272400345, 1055004301]",True,,"['泥岗路辅路', '布心路辅路']",primary,False,216.57399999999998,"LINESTRING (114.1132792 22.5763565, 114.1137703 22.576361, 114.1141188 22.5763626, 114.1151917 22.5763576, 114.1153885 22.5763573)",,yes,
2286399031,9734094845,0,272400319,True,,洪湖西路,secondary,False,235.63299999999998,"LINESTRING (114.1132792 22.5763565, 114.1135362 22.5763065, 114.1137115 22.5762442, 114.1138611 22.5761626, 114.1139648 22.5760746, 114.1140278 22.5759785, 114.1140613 22.5758672, 114.1140624 22.575756, 114.113945 22.5746879)",,,
2286399037,2286399045,0,219489367,True,,,trunk_link,False,100.96000000000001,"LINESTRING (114.1113116 22.5765913, 114.1110551 22.5766345, 114.1107504 22.5766809, 114.1103443 22.5767541)",1,,
2286399037,581064766,0,497068346,True,G107,泥岗路,trunk,False,814.777,"LINESTRING (114.1113116 22.5765913, 114.1110883 22.5765863, 114.1106913 22.5765566, 114.1102729 22.5764773, 114.1098652 22.5763684, 114.1094682 22.5762396, 114.109083 22.5760811, 114.1087309 22.5759192, 114.1083726 22.5757223, 114.1043293 22.5733174)",,,
2286399042,3012467188,0,297371689,False,,,residential,True,119.68900000000001,"LINESTRING (114.1110834 22.5767346, 114.1110622 22.5771239, 114.1103684 22.5773709)",,,
2286399042,2286399047,0,996519940,True,,泥岗路辅路,primary,False,57.583,"LINESTRING (114.1110834 22.5767346, 114.1108713 22.5767644, 114.1107118 22.5767787, 114.1105258 22.576775)",,,
2286399043,2286399042,0,996519940,True,,泥岗路辅路,primary,False,20.143,"LINESTRING (114.1112794 22.5767268, 114.1110834 22.5767346)",,,
2286399045,2286399016,0,894250986,True,,泥岗路辅路,primary,False,343.902,"LINESTRING (114.1103443 22.5767541, 114.1100904 22.5767101, 114.1097578 22.5766362, 114.1093996 22.5765165, 114.1090414 22.5763707, 114.1086609 22.5761857, 114.1082611 22.5759455, 114.1073834 22.575381)",,,
2286399047,3012467206,0,297371684,False,,,residential,False,42.412,"LINESTRING (114.1105258 22.576775, 114.1104225 22.5771443)",,,
2286399047,2286399045,0,996519940,True,,泥岗路辅路,primary,False,18.78,"LINESTRING (114.1105258 22.576775, 114.1103443 22.5767541)",,,
2286399084,2286399088,0,219489363,False,,,unclassified,False,39.234,"LINESTRING (114.1145722 22.577519, 114.1141905 22.5775357)",,,
2286399084,2286399093,0,219489366,False,,,unclassified,False,38.904,"LINESTRING (114.1145722 22.577519, 114.1145548 22.5778685)",,,
2286399084,2286377972,0,219489366,False,,,unclassified,True,57.693,"LINESTRING (114.1145722 22.577519, 114.1145847 22.5772409, 114.114371 22.5771034)",,,
