u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes
8571950103,8571950353,0,1050682042,红岗路,secondary,True,False,8.483,"LINESTRING (114.1009105 22.5814067, 114.1009345 22.5814797)",2
8571950103,8571950212,0,923403581,清水河一路,tertiary,True,False,309.582,"LINESTRING (114.1009105 22.5814067, 114.1010008 22.5814066, 114.1011012 22.5814065, 114.1015174 22.5814091, 114.1037312 22.5814231, 114.1039255 22.5814321)",2
8571950104,8571950103,0,923403581,清水河一路,tertiary,True,False,10.446,"LINESTRING (114.1008466 22.5814798, 114.1009105 22.5814067)",2
2789096601,2789096585,0,"[1044769938, 274137582]","['清水河一路', '广清路']",residential,False,False,978.06,"LINESTRING (114.1081983 22.589517, 114.108282 22.5894617, 114.1084081 22.5893577, 114.1085556 22.5891893, 114.1086656 22.5889837, 114.1093773 22.5874623, 114.1096955 22.5867673, 114.110299 22.5854597, 114.11046 22.5850833, 114.1104439 22.5850362, 114.1099637 22.5845186, 114.1099262 22.5844196, 114.1099316 22.5843428, 114.1099798 22.5842313, 114.1100764 22.5840902, 114.1101897 22.5839091, 114.1103213 22.5835335, 114.1106932 22.5826417, 114.1107305 22.5824556, 114.1108213 22.581547)",
2789096601,2789096593,0,1044769937,章輋路,residential,False,True,121.52699999999999,"LINESTRING (114.1081983 22.589517, 114.1080685 22.5895919, 114.1074781 22.5897749, 114.1071066 22.5899304)",
2789096601,2789096598,0,"[274137585, 1044769940]","['鹤围路', '章輋路']",residential,False,False,866.07,"LINESTRING (114.1081983 22.589517, 114.1078504 22.5886874, 114.1077348 22.5884117, 114.1075733 22.5881031, 114.107539 22.5880377, 114.1073808 22.5878371, 114.1073039 22.5877942, 114.1072306 22.5877802, 114.1071348 22.5878002, 114.1069811 22.5878322, 114.1067451 22.5878817, 114.1066727 22.5878792, 114.1065627 22.5878495, 114.1063893 22.587762, 114.105919 22.5875276, 114.1043857 22.5867639, 114.1043238 22.5867736, 114.1034854 22.5863382, 114.1033648 22.5862896, 114.1032301 22.5862501, 114.1021389 22.5860199, 114.1019772 22.5859961, 114.1014485 22.5859819)",
8571950107,8571950352,0,274137586,清水河四路,unclassified,False,True,7.095,"LINESTRING (114.1058248 22.5814561, 114.1058242 22.5815199)",
8571950107,2789096453,0,923403581,清水河一路,tertiary,True,False,292.002,"LINESTRING (114.1058248 22.5814561, 114.1083656 22.5814704, 114.1086652 22.5815136)",2
2789096605,2312654035,0,274137581,清水河三路,unclassified,False,True,228.859,"LINESTRING (114.1038588 22.5842899, 114.1039115 22.5822323)",
2789096605,2789096578,0,274137584,清水河二路,unclassified,False,False,199.257,"LINESTRING (114.1038588 22.5842899, 114.1057994 22.5843146)",
2789096605,3969579154,0,274137581,清水河三路,unclassified,False,False,171.488,"LINESTRING (114.1038588 22.5842899, 114.1038388 22.5856192, 114.1037992 22.5857207, 114.1037559 22.5858177)",
2789096605,2789096559,0,"[274137584, 652157923]","['清水河二路', '环仓路']",unclassified,False,"[False, True]",155.80900000000003,"LINESTRING (114.1038588 22.5842899, 114.1025427 22.5842854, 114.1023528 22.5843476)",
8571950110,2789096517,0,274137579,清水河五路,unclassified,False,True,311.486,"LINESTRING (114.1076349 22.5815309, 114.1075941 22.5843319)",
8571950110,8571950352,0,495598824,清水河一路,tertiary,True,False,185.909,"LINESTRING (114.1076349 22.5815309, 114.1058242 22.5815199)",2
3969580064,8571950257,0,923403610,,residential,True,False,95.32600000000001,"LINESTRING (114.1030036 22.58824, 114.1029144 22.5881875, 114.1028388 22.5881287, 114.1027821 22.5880728, 114.1027168 22.5879953, 114.1026456 22.5879027, 114.1025521 22.5877644, 114.102527 22.5877181, 114.1024898 22.5875565)",2
2789096620,2789096561,0,652157923,环仓路,unclassified,False,False,25.615,"LINESTRING (114.1075512 22.5871261, 114.1077973 22.587164)",
2789096620,2789096523,0,652157923,环仓路,unclassified,False,True,190.151,"LINESTRING (114.1075512 22.5871261, 114.1066072 22.5869807, 114.1057243 22.5868448)",
2789096620,2789096517,0,"[274137579, 923403597]",清水河五路,unclassified,False,False,310.732,"LINESTRING (114.1075512 22.5871261, 114.1075602 22.5865434, 114.1075687 22.5859889, 114.1075767 22.5854662, 114.1075853 22.5849067, 114.1075941 22.5843319)",
8571950257,8571950263,0,923403601,红岗路,secondary,True,False,185.765,"LINESTRING (114.1024898 22.5875565, 114.1015977 22.5864106, 114.1014364 22.5861982)",2
8571950258,8571950263,0,923403605,,secondary_link,True,False,16.622999999999998,"LINESTRING (114.1015382 22.5861336, 114.1015401 22.5861681, 114.1015242 22.5861923, 114.101499 22.5862071, 114.1014693 22.5862071, 114.1014364 22.5861982)",2
8571923507,2789096598,0,45569590,红岗路,secondary,True,False,330.8970000000001,"LINESTRING (114.1014086 22.5831107, 114.1014052 22.5831764, 114.1013987 22.583255, 114.101386 22.5833562, 114.1013673 22.5834683, 114.1011221 22.5848602, 114.1011044 22.584965, 114.1010945 22.5850518, 114.1010896 22.5851424, 114.1010919 22.5852187, 114.101099 22.5852917, 114.1011131 22.5853731, 114.101132 22.5854496, 114.1011574 22.5855262, 114.1011852 22.5855909, 114.1012151 22.5856513, 114.1012491 22.5857094, 114.1012912 22.5857739, 114.1014485 22.5859819)",2
8571923507,2789096559,0,652157925,清水河二路,unclassified,False,True,169.735,"LINESTRING (114.1014086 22.5831107, 114.1014736 22.5831691, 114.1015442 22.5832539, 114.1021294 22.5841619, 114.1022271 22.5842633, 114.1023528 22.5843476)",
