u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name
1480657812,2426868646,0,234432507,False,1,unclassified,False,480.14700000000005,"LINESTRING (114.1361585 22.5262334, 114.1364289 22.5263396, 114.1366268 22.5263356, 114.1368376 22.5263573, 114.1369249 22.5264556, 114.1370249 22.5266876, 114.1371314 22.5268096, 114.1373972 22.5270882, 114.1374316 22.5271242, 114.1374848 22.5272009, 114.137489 22.5272795, 114.1373603 22.5274777, 114.1373272 22.527661, 114.137406 22.527779, 114.1376892 22.5279796, 114.1379458 22.5281282, 114.1379694 22.5281422, 114.138066 22.5281998, 114.1382001 22.5283276, 114.138244 22.5283652, 114.1382702 22.5283876, 114.13829 22.5285046, 114.1382307 22.5288481, 114.1380143 22.5293233)",
1480657812,1480657827,0,510548504,False,1,unclassified,False,158.442,"LINESTRING (114.1361585 22.5262334, 114.1360134 22.5263704, 114.1358221 22.5264792, 114.1356965 22.5265402, 114.135605 22.5265461, 114.1355113 22.5265303, 114.1353907 22.5264459, 114.1350076 22.5259836)",
1480657827,8787673122,0,"[510561625, 168838477]",False,1,unclassified,False,1785.491,"LINESTRING (114.1350076 22.5259836, 114.1349123 22.5258139, 114.1348701 22.5257754, 114.134742 22.5256588, 114.134456 22.5255393, 114.1344255 22.5255265, 114.1342931 22.5254623, 114.1341791 22.5253343, 114.1340676 22.5251587, 114.1339662 22.5250783, 114.1338749 22.5250229, 114.1337575 22.5249823, 114.1336451 22.5249644, 114.1335218 22.5249667, 114.133373 22.5250021, 114.1332266 22.5250667, 114.1331001 22.5251014, 114.1330194 22.5251064, 114.132906 22.5251028, 114.132615 22.5250916, 114.1324313 22.5250508, 114.1322824 22.5249913, 114.1320316 22.5248055, 114.1319297 22.5246568, 114.1318621 22.524484, 114.1318355 22.5242575, 114.1318278 22.5241923, 114.1318019 22.5240914, 114.1317644 22.5240155, 114.1317449 22.5239762, 114.1316355 22.5238851, 114.1315433 22.5238408, 114.1314845 22.5238125, 114.1312935 22.523777, 114.1311025 22.5238125, 114.1309835 22.5238626, 114.1309263 22.5239435, 114.1308936 22.524047, 114.130868 22.5241312, 114.1308283 22.5241937, 114.130763 22.5242375, 114.130758 22.5242417, 114.1306426 22.5242819, 114.1305376 22.5243177, 114.1304017 22.5243628, 114.1300145 22.5244914, 114.1298826 22.5245798, 114.1292615 22.5252657, 114.1289824 22.525586, 114.1288026 22.5258599, 114.1286612 22.5260395, 114.1286065 22.526109, 114.1283937 22.5262555, 114.128359 22.5262794, 114.1280797 22.526344, 114.127962 22.526343, 114.1278266 22.5263366, 114.127794 22.5263323, 114.1276725 22.5263161, 114.127495 22.5262621, 114.1272931 22.5261176, 114.1272757 22.5260957, 114.1268996 22.5256226, 114.1265537 22.5252278, 114.1260228 22.5246219, 114.1259668 22.5245453, 114.1258033 22.5243382, 114.125347 22.523911, 114.1250504 22.5237024, 114.1247079 22.5234614, 114.1244445 22.5232634, 114.1241693 22.5228848, 114.1241078 22.5228113, 114.1240638 22.5227842, 114.1239513 22.5227379, 114.123807 22.5226905, 114.1236224 22.5226532, 114.1234525 22.5226408, 114.1232898 22.5226272, 114.1230984 22.5226023, 114.1228118 22.5225165, 114.1227201 22.5225052, 114.1225097 22.5224804, 114.1223459 22.5224442, 114.122198 22.5223957, 114.1221197 22.5223595, 114.1220328 22.5223203, 114.1220145 22.5223121, 114.1219674 22.5222897)",缸瓦甫路 Kong Nga Po Road
1480657827,1480657812,0,510548504,False,1,unclassified,True,158.442,"LINESTRING (114.1350076 22.5259836, 114.1353907 22.5264459, 114.1355113 22.5265303, 114.135605 22.5265461, 114.1356965 22.5265402, 114.1358221 22.5264792, 114.1360134 22.5263704, 114.1361585 22.5262334)",
1480657827,1800325717,0,510561626,False,,residential,True,114.734,"LINESTRING (114.1350076 22.5259836, 114.1350253 22.5265122, 114.1350523 22.5267474, 114.1350734 22.5267872, 114.1352265 22.5269585)",缸瓦甫路 Kong Nga Po Road
1699891119,2484962461,0,240804162,True,2,secondary,False,103.05100000000002,"LINESTRING (114.1226271 22.5216748, 114.1220276 22.5220126, 114.1219763 22.5220493, 114.1218994 22.5221252, 114.1218275 22.5222181)",文錦渡路 Man Kam To Road
1800325717,1480657827,0,510561626,False,,residential,False,114.734,"LINESTRING (114.1352265 22.5269585, 114.1350734 22.5267872, 114.1350523 22.5267474, 114.1350253 22.5265122, 114.1350076 22.5259836)",缸瓦甫路 Kong Nga Po Road
2426868646,1480657812,0,234432507,False,1,unclassified,True,480.147,"LINESTRING (114.1380143 22.5293233, 114.1382307 22.5288481, 114.13829 22.5285046, 114.1382702 22.5283876, 114.138244 22.5283652, 114.1382001 22.5283276, 114.138066 22.5281998, 114.1379694 22.5281422, 114.1379458 22.5281282, 114.1376892 22.5279796, 114.137406 22.527779, 114.1373272 22.527661, 114.1373603 22.5274777, 114.137489 22.5272795, 114.1374848 22.5272009, 114.1374316 22.5271242, 114.1373972 22.5270882, 114.1371314 22.5268096, 114.1370249 22.5266876, 114.1369249 22.5264556, 114.1368376 22.5263573, 114.1366268 22.5263356, 114.1364289 22.5263396, 114.1361585 22.5262334)",
2484962461,8787673122,0,510561625,False,1,unclassified,True,16.428,"LINESTRING (114.1218275 22.5222181, 114.1219674 22.5222897)",缸瓦甫路 Kong Nga Po Road
2484962461,5054022370,0,240804162,True,2,secondary,False,122.36599999999999,"LINESTRING (114.1218275 22.5222181, 114.1217849 22.5222867, 114.1217367 22.5223862, 114.1216952 22.5225186, 114.1216796 22.5226346, 114.1216776 22.5227551, 114.121696 22.5229092, 114.1217345 22.5231042, 114.1217754 22.5232442, 114.1218048 22.523272)",文錦渡路 Man Kam To Road
5054022354,5054022370,0,229157564,False,3,secondary,False,157.517,"LINESTRING (114.1221722 22.524644, 114.122135 22.5245763, 114.1221211 22.5245339, 114.1220559 22.5243355, 114.1220418 22.5242926, 114.1220133 22.5242046, 114.1219988 22.5241461, 114.1219397 22.5238929, 114.1218482 22.5234595, 114.1218048 22.523272)",文錦渡路 Man Kam To Road
5054022354,7572586435,0,229157564,False,3,secondary,True,52.286,"LINESTRING (114.1221722 22.524644, 114.1222174 22.5247262, 114.1222646 22.5247876, 114.1224012 22.5249653, 114.122461 22.5250296)",文錦渡路 Man Kam To Road
5054022354,7572586433,0,518011723,True,,residential,False,69.711,"LINESTRING (114.1221722 22.524644, 114.1221867 22.5248504, 114.1222046 22.5249659, 114.1222055 22.5250198, 114.1221985 22.5250713, 114.1221878 22.5251154, 114.1221684 22.5251481, 114.1221454 22.5251792, 114.122079 22.5252265)",羅湖道 Lo Wu Station Road
5054022370,5054022354,0,229157564,False,3,secondary,True,157.517,"LINESTRING (114.1218048 22.523272, 114.1218482 22.5234595, 114.1219397 22.5238929, 114.1219988 22.5241461, 114.1220133 22.5242046, 114.1220418 22.5242926, 114.1220559 22.5243355, 114.1221211 22.5245339, 114.122135 22.5245763, 114.1221722 22.524644)",文錦渡路 Man Kam To Road
5054022370,8787673122,0,240804161,True,1,secondary,False,114.50999999999999,"LINESTRING (114.1218048 22.523272, 114.1218273 22.5232408, 114.1217852 22.5229897, 114.1217743 22.5228634, 114.1217775 22.5227268, 114.1217971 22.5226272, 114.1218283 22.5225337, 114.1218796 22.5224381, 114.1219674 22.5222897)",文錦渡路 Man Kam To Road
7350353263,7363392573,0,787554354,False,,residential,False,230.876,"LINESTRING (114.1255 22.5293542, 114.1254869 22.52935, 114.1252369 22.5292765, 114.1250934 22.5292194, 114.1250143 22.5291822, 114.1249472 22.5291315, 114.1249046 22.5290846, 114.1248976 22.529077, 114.1248803 22.5290336, 114.1248803 22.5290052, 114.1249077 22.5288689, 114.1249504 22.5286559, 114.1249931 22.5284954, 114.125049 22.5280908, 114.1250704 22.5279499, 114.1250845 22.527925, 114.1250927 22.5279105, 114.1251303 22.5278777, 114.125172 22.5278363, 114.1251984 22.5277847, 114.1252056 22.5277434, 114.1252301 22.5276982)",沙嶺道 Sha Ling Road
7363392573,7572586434,0,229157564,False,3,secondary,False,397.20799999999997,"LINESTRING (114.1252301 22.5276982, 114.1251209 22.5275923, 114.1250499 22.5275234, 114.1249111 22.5273894, 114.1248812 22.5273605, 114.1247533 22.527242, 114.124065 22.5265601, 114.1234981 22.5260128, 114.1233292 22.5258452, 114.1231037 22.5256332, 114.1229479 22.5254968, 114.1229174 22.5254701, 114.1227487 22.5253223, 114.1225983 22.5251771, 114.1225494 22.5251246)",文錦渡路 Man Kam To Road
7363392573,7350353263,0,787554354,False,,residential,True,230.87599999999998,"LINESTRING (114.1252301 22.5276982, 114.1252056 22.5277434, 114.1251984 22.5277847, 114.125172 22.5278363, 114.1251303 22.5278777, 114.1250927 22.5279105, 114.1250845 22.527925, 114.1250704 22.5279499, 114.125049 22.5280908, 114.1249931 22.5284954, 114.1249504 22.5286559, 114.1249077 22.5288689, 114.1248803 22.5290052, 114.1248803 22.5290336, 114.1248976 22.529077, 114.1249046 22.5290846, 114.1249472 22.5291315, 114.1250143 22.5291822, 114.1250934 22.5292194, 114.1252369 22.5292765, 114.1254869 22.52935, 114.1255 22.5293542)",沙嶺道 Sha Ling Road
7572586433,7572586434,0,809961050,True,,residential,False,49.626999999999995,"LINESTRING (114.122079 22.5252265, 114.1222605 22.5251872, 114.1225494 22.5251246)",羅湖道 Lo Wu Station Road
7572586434,7572586435,0,229157564,False,3,secondary,False,13.929,"LINESTRING (114.1225494 22.5251246, 114.1224842 22.5250545, 114.122461 22.5250296)",文錦渡路 Man Kam To Road
7572586434,7363392573,0,229157564,False,3,secondary,True,397.20799999999997,"LINESTRING (114.1225494 22.5251246, 114.1225983 22.5251771, 114.1227487 22.5253223, 114.1229174 22.5254701, 114.1229479 22.5254968, 114.1231037 22.5256332, 114.1233292 22.5258452, 114.1234981 22.5260128, 114.124065 22.5265601, 114.1247533 22.527242, 114.1248812 22.5273605, 114.1249111 22.5273894, 114.1250499 22.5275234, 114.1251209 22.5275923, 114.1252301 22.5276982)",文錦渡路 Man Kam To Road
7572586435,7572586433,0,809961051,True,,residential,False,44.931,"LINESTRING (114.122461 22.5250296, 114.122079 22.5252265)",羅湖道 Lo Wu Station Road
7572586435,5054022354,0,229157564,False,3,secondary,False,52.28600000000001,"LINESTRING (114.122461 22.5250296, 114.1224012 22.5249653, 114.1222646 22.5247876, 114.1222174 22.5247262, 114.1221722 22.524644)",文錦渡路 Man Kam To Road
7572586435,7572586434,0,229157564,False,3,secondary,True,13.929,"LINESTRING (114.122461 22.5250296, 114.1224842 22.5250545, 114.1225494 22.5251246)",文錦渡路 Man Kam To Road
8787673122,2484962461,0,510561625,False,1,unclassified,False,16.428,"LINESTRING (114.1219674 22.5222897, 114.1218275 22.5222181)",缸瓦甫路 Kong Nga Po Road
8787673122,1699891119,0,240804161,True,1,secondary,False,96.75999999999999,"LINESTRING (114.1219674 22.5222897, 114.1219989 22.5222365, 114.1221195 22.5220982, 114.1221672 22.5220592, 114.1222518 22.5219959, 114.1226271 22.5216748)",文錦渡路 Man Kam To Road
8787673122,1480657827,0,"[510561625, 168838477]",False,1,unclassified,True,1785.4909999999995,"LINESTRING (114.1219674 22.5222897, 114.1220145 22.5223121, 114.1220328 22.5223203, 114.1221197 22.5223595, 114.122198 22.5223957, 114.1223459 22.5224442, 114.1225097 22.5224804, 114.1227201 22.5225052, 114.1228118 22.5225165, 114.1230984 22.5226023, 114.1232898 22.5226272, 114.1234525 22.5226408, 114.1236224 22.5226532, 114.123807 22.5226905, 114.1239513 22.5227379, 114.1240638 22.5227842, 114.1241078 22.5228113, 114.1241693 22.5228848, 114.1244445 22.5232634, 114.1247079 22.5234614, 114.1250504 22.5237024, 114.125347 22.523911, 114.1258033 22.5243382, 114.1259668 22.5245453, 114.1260228 22.5246219, 114.1265537 22.5252278, 114.1268996 22.5256226, 114.1272757 22.5260957, 114.1272931 22.5261176, 114.127495 22.5262621, 114.1276725 22.5263161, 114.127794 22.5263323, 114.1278266 22.5263366, 114.127962 22.526343, 114.1280797 22.526344, 114.128359 22.5262794, 114.1283937 22.5262555, 114.1286065 22.526109, 114.1286612 22.5260395, 114.1288026 22.5258599, 114.1289824 22.525586, 114.1292615 22.5252657, 114.1298826 22.5245798, 114.1300145 22.5244914, 114.1304017 22.5243628, 114.1305376 22.5243177, 114.1306426 22.5242819, 114.130758 22.5242417, 114.130763 22.5242375, 114.1308283 22.5241937, 114.130868 22.5241312, 114.1308936 22.524047, 114.1309263 22.5239435, 114.1309835 22.5238626, 114.1311025 22.5238125, 114.1312935 22.523777, 114.1314845 22.5238125, 114.1315433 22.5238408, 114.1316355 22.5238851, 114.1317449 22.5239762, 114.1317644 22.5240155, 114.1318019 22.5240914, 114.1318278 22.5241923, 114.1318355 22.5242575, 114.1318621 22.524484, 114.1319297 22.5246568, 114.1320316 22.5248055, 114.1322824 22.5249913, 114.1324313 22.5250508, 114.132615 22.5250916, 114.132906 22.5251028, 114.1330194 22.5251064, 114.1331001 22.5251014, 114.1332266 22.5250667, 114.133373 22.5250021, 114.1335218 22.5249667, 114.1336451 22.5249644, 114.1337575 22.5249823, 114.1338749 22.5250229, 114.1339662 22.5250783, 114.1340676 22.5251587, 114.1341791 22.5253343, 114.1342931 22.5254623, 114.1344255 22.5255265, 114.134456 22.5255393, 114.134742 22.5256588, 114.1348701 22.5257754, 114.1349123 22.5258139, 114.1350076 22.5259836)",缸瓦甫路 Kong Nga Po Road
