u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,ref,tunnel
564638912,2889086231,0,44419741,True,彩田路,primary,False,54.525,,"LINESTRING (114.0621593 22.5693311, 114.0620309 22.5698069)",,,
564638925,504640818,0,1055004296,True,北环大道,trunk,False,153.661,,"LINESTRING (114.0635758 22.5684585, 114.0650622 22.5686188)",,G107,
564638928,564638938,0,582423625,True,,primary_link,False,47.174,,"LINESTRING (114.0618967 22.5696096, 114.0620549 22.5692113)",,,
564638938,6043430779,0,"[1051517027, 44419747]",True,彩田路,primary,False,205.37400000000002,,"LINESTRING (114.0620549 22.5692113, 114.0621068 22.5689258, 114.062156 22.568642, 114.0621809 22.5684908, 114.0622047 22.5683292, 114.0622231 22.5681733, 114.0622392 22.5680234, 114.0622493 22.5678893, 114.0622668 22.5673774)",yes,,
564639012,564638925,0,1055004296,True,北环大道,trunk,False,208.925,,"LINESTRING (114.06162 22.5679803, 114.061876 22.5680963, 114.0620917 22.5681714, 114.0623395 22.568239, 114.0628115 22.5683499, 114.0631575 22.5684094, 114.0635758 22.5684585)",,G107,
875924264,504637181,0,1055004290,True,北环大道,trunk,False,203.3,,"LINESTRING (114.0688988 22.5693109, 114.0669434 22.5690239)",,G107,
1722054748,1722054840,0,160131332,False,彩云路,tertiary,False,193.896,2,"LINESTRING (114.0609463 22.5660301, 114.0609599 22.5642864)",,,
1722054757,1722054835,0,"[996188201, 996188204]",False,彩云路,tertiary,True,235.159,2,"LINESTRING (114.0601328 22.5606049, 114.0605262 22.5610972, 114.0609263 22.5615977, 114.0609555 22.5616457, 114.0609718 22.561687, 114.0609799 22.5617375, 114.060975 22.562364, 114.0609742 22.5624683)",,,
1722054835,2369336795,0,160131332,False,彩云路,tertiary,True,86.457,2,"LINESTRING (114.0609742 22.5624683, 114.0609737 22.5625324, 114.0609681 22.5632458)",,,
1722054835,1722054757,0,"[996188201, 996188204]",False,彩云路,tertiary,False,235.159,2,"LINESTRING (114.0609742 22.5624683, 114.060975 22.562364, 114.0609799 22.5617375, 114.0609718 22.561687, 114.0609555 22.5616457, 114.0609263 22.5615977, 114.0605262 22.5610972, 114.0601328 22.5606049)",,,
1722054835,8624031175,0,996188202,False,莲花支路,secondary,False,144.491,,"LINESTRING (114.0609742 22.5624683, 114.0610668 22.5624689, 114.062122 22.562476, 114.062164 22.5624763, 114.062206 22.5624767, 114.0623813 22.562478)",,,
1722054840,2369336795,0,160131332,False,彩云路,tertiary,False,115.713,2,"LINESTRING (114.0609599 22.5642864, 114.0609681 22.5632458)",,,
1722054840,1722054748,0,160131332,False,彩云路,tertiary,True,193.896,2,"LINESTRING (114.0609599 22.5642864, 114.0609463 22.5660301)",,,
1722054840,8624031087,0,160131331,False,,residential,True,140.83100000000002,,"LINESTRING (114.0609599 22.5642864, 114.0621352 22.5642919, 114.0623314 22.5642923)",,,
2369336795,1722054840,0,160131332,False,彩云路,tertiary,True,115.713,2,"LINESTRING (114.0609681 22.5632458, 114.0609599 22.5642864)",,,
2369336795,1722054835,0,160131332,False,彩云路,tertiary,False,86.457,2,"LINESTRING (114.0609681 22.5632458, 114.0609737 22.5625324, 114.0609742 22.5624683)",,,
2377771292,2377771329,0,229146473,False,,unclassified,False,213.167,,"LINESTRING (114.065054 22.5668198, 114.06713 22.5668242)",,,
2377771320,7947470120,0,229146468,False,,unclassified,True,7.906,,"LINESTRING (114.0672443 22.5607406, 114.0672448 22.5606695)",,,
2377771320,7947470120,1,"[960931298, 852010060, 852010061, 229146478, 775816342]",True,莲科路,residential,False,882.616,,"LINESTRING (114.0672443 22.5607406, 114.0671796 22.5607389, 114.0629684 22.5606624, 114.0629709 22.5606215, 114.0632365 22.5606245, 114.0671818 22.5606688, 114.0672448 22.5606695)",,,"['yes', 'building_passage']"
2377771320,8889245610,0,229146468,False,,unclassified,False,407.835,,"LINESTRING (114.0672443 22.5607406, 114.0672325 22.5614937, 114.0672315 22.5615522, 114.0672082 22.562765, 114.0671766 22.5644078)",,,
2377771323,3671792017,0,775816342,True,莲科路,residential,False,15.961,,"LINESTRING (114.0675897 22.5608562, 114.0674933 22.5607436)",,,
2377771323,7947470122,0,1057874093,True,皇岗路,trunk,False,27.855,3,"LINESTRING (114.0675897 22.5608562, 114.0675908 22.5606057)",,,
2377771325,2377771329,0,229146473,False,,unclassified,True,34.625,,"LINESTRING (114.0674671 22.5668323, 114.0673746 22.5668301, 114.06713 22.5668242)",,,
2377771325,4127126161,0,362953584,True,皇岗路辅路,primary,False,269.613,,"LINESTRING (114.0674671 22.5668323, 114.0674135 22.566321, 114.0673913 22.5660312, 114.0674063 22.5646815, 114.0674174 22.564411)",,,
2377771325,7947470102,0,1057874093,True,皇岗路,trunk,False,269.044,3,"LINESTRING (114.0674671 22.5668323, 114.0674894 22.5663352, 114.06752 22.5645475, 114.0675228 22.5644134)",,,
2377771329,8889245610,0,229146468,False,,unclassified,True,268.734,,"LINESTRING (114.06713 22.5668242, 114.0671766 22.5644078)",,,
2377771329,2377771292,0,229146473,False,,unclassified,True,213.167,,"LINESTRING (114.06713 22.5668242, 114.065054 22.5668198)",,,
2377771329,2377771325,0,229146473,False,,unclassified,False,34.625,,"LINESTRING (114.06713 22.5668242, 114.0673746 22.5668301, 114.0674671 22.5668323)",,,
2787061089,2787061351,0,1055004297,True,北环大道辅路,primary,False,90.866,,"LINESTRING (114.0697252 22.5692553, 114.0702933 22.569255, 114.07061 22.569246)",,,
2787061351,3086015815,0,304084616,False,,unclassified,False,305.64500000000004,,"LINESTRING (114.07061 22.569246, 114.070672 22.5689553, 114.0700338 22.5687955, 114.0699443 22.5687625, 114.0699776 22.568697, 114.070606 22.567458, 114.0707552 22.5671777)",,,
2787061351,2787061330,0,1055004297,True,北环大道辅路,primary,False,221.90699999999998,,"LINESTRING (114.07061 22.569246, 114.0708222 22.5692525, 114.0711172 22.5692822, 114.0714096 22.5693243, 114.0717637 22.5694011, 114.0722277 22.5695472, 114.0724557 22.5696339, 114.072681 22.5697454)",,,
3086015815,2787061351,0,304084616,False,,unclassified,True,305.645,,"LINESTRING (114.0707552 22.5671777, 114.070606 22.567458, 114.0699776 22.568697, 114.0699443 22.5687625, 114.0700338 22.5687955, 114.070672 22.5689553, 114.07061 22.569246)",,,
3671791987,3671791988,0,"[641794200, 641794198, 362953575]",False,,unclassified,False,53.32599999999999,,"LINESTRING (114.0689204 22.5694399, 114.0689276 22.5694015, 114.0690015 22.5690059, 114.0690087 22.5689673)",,,yes
3671791988,3671791987,0,"[641794200, 641794198, 362953575]",False,,unclassified,True,53.32599999999999,,"LINESTRING (114.0690087 22.5689673, 114.0690015 22.5690059, 114.0689276 22.5694015, 114.0689204 22.5694399)",,,yes
3671792017,7947470121,0,362953584,True,皇岗路辅路,primary,False,8.029,,"LINESTRING (114.0674933 22.5607436, 114.0674942 22.5606714)",,,
3671792017,2377771320,0,775816342,True,莲科路,residential,False,25.571,,"LINESTRING (114.0674933 22.5607436, 114.0672443 22.5607406)",,,
