u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,tunnel,bridge,maxspeed,access
598723474,2268752972,0,825084776,椰风道,residential,False,True,64.5,"LINESTRING (114.0561689 22.5124223, 114.0559278 22.5129579)",3,,,,
598723474,8146989191,0,875261255,绒花路,residential,True,False,203.585,"LINESTRING (114.0561689 22.5124223, 114.0543295 22.511819, 114.0543007 22.5118112)",2,,,,
598723535,8453450219,0,910437369,紫荆道,residential,False,True,36.869,"LINESTRING (114.0529814 22.5114521, 114.0529868 22.5114072, 114.0529832 22.5113588, 114.0529729 22.5113221, 114.0528784 22.5111422)",,,,,
598723538,2268753016,0,46898365,紫荆道,residential,True,False,131.642,"LINESTRING (114.0525599 22.5129236, 114.0527378 22.5123048, 114.0528945 22.5117808)",,,,,
598723538,8869448111,0,830725879,桂花路,tertiary,True,False,130.249,"LINESTRING (114.0525599 22.5129236, 114.0532115 22.5131195, 114.0536508 22.5132499, 114.0537663 22.5132842)",2,,,,
598723540,598723538,0,1059172731,紫荆道,residential,True,False,16.064,"LINESTRING (114.0525213 22.5130636, 114.0525599 22.5129236)",,,,,
598723540,598723745,0,1054407540,桂花路,tertiary,True,False,413.14399999999995,"LINESTRING (114.0525213 22.5130636, 114.0524727 22.5130528, 114.052407 22.5130392, 114.0514903 22.5128503, 114.0514616 22.5128455, 114.0513927 22.512831, 114.051045 22.5127578, 114.0503437 22.5126179, 114.0501674 22.5125872, 114.0500079 22.5125615, 114.049903 22.5125426, 114.049807 22.5125305, 114.049724 22.5125236, 114.0490969 22.512455, 114.0488426 22.5124262, 114.0485682 22.5124044)",2,,,,
598723550,9731823962,0,46898367,瑞香道,unclassified,False,True,7.669,"LINESTRING (114.0547283 22.5106563, 114.054752 22.5105909)",,,,,
598723550,8146989184,0,910437368,瑞香道,unclassified,False,False,44.84,"LINESTRING (114.0547283 22.5106563, 114.0545825 22.5110364)",,,,,
598723550,8482608230,0,916588745,市花路,tertiary,True,False,149.21699999999998,"LINESTRING (114.0547283 22.5106563, 114.054662 22.5106377, 114.0545957 22.5106191, 114.0534676 22.5103101, 114.0534212 22.5102985, 114.053335 22.5102769)",2,,,,
598723667,598724224,0,1051282788,桂花路,tertiary,True,False,108.53999999999999,"LINESTRING (114.0499232 22.5124328, 114.0502361 22.5124816, 114.0504799 22.5125216, 114.0506244 22.5125453, 114.0509631 22.5126057)",2,,,,
598723670,8146989183,0,875261263,绒花路,tertiary,True,False,54.139,"LINESTRING (114.0501769 22.5108395, 114.0496527 22.510789)",,,,,
598723670,598723667,0,825084775,蓝花道,residential,True,False,179.07800000000003,"LINESTRING (114.0501769 22.5108395, 114.0501186 22.5111872, 114.0500216 22.511833, 114.0499232 22.5124328)",2,,,,
598723686,598723852,0,743544186,红花路,tertiary,True,False,146.562,"LINESTRING (114.0457645 22.5104295, 114.0443436 22.5105489)",,,,,
598723695,598723699,0,46898376,红柳道,residential,False,False,10.702,"LINESTRING (114.0458892 22.5122632, 114.0458949 22.5123593)",,,,,
598723695,7704094931,0,46898376,红柳道,residential,False,True,115.181,"LINESTRING (114.0458892 22.5122632, 114.0458833 22.5121634, 114.0458699 22.5119364, 114.0458632 22.5118238, 114.045828 22.5112289)",,,,,
598723695,598723729,0,46898415,桂花路,tertiary,True,False,138.305,"LINESTRING (114.0458892 22.5122632, 114.0463726 22.512255, 114.0464592 22.5122542, 114.0468271 22.5122509, 114.0472355 22.5122501)",2,,,,
598723699,598723695,0,46898376,红柳道,residential,False,True,10.702,"LINESTRING (114.0458949 22.5123593, 114.0458892 22.5122632)",,,,,
598723699,598723821,0,830725880,桂花路,tertiary,True,False,136.521,"LINESTRING (114.0458949 22.5123593, 114.0445709 22.5124661)",2,,,,
598723707,598723686,0,743544186,红花路,tertiary,True,False,151.331,"LINESTRING (114.0472376 22.5104141, 114.0457645 22.5104295)",,,,,
598723727,598723707,0,477810546,海虹道,unclassified,True,False,31.715,"LINESTRING (114.047234 22.5106993, 114.0472376 22.5104141)",3,,,,
598723727,598723729,0,46898378,海虹道,residential,True,False,172.442,"LINESTRING (114.047234 22.5106993, 114.0472344 22.5110524, 114.0472344 22.5111539, 114.0472346 22.5113469, 114.047235 22.5117735, 114.0472355 22.5122501)",2,,,,
598723727,598723832,0,222976761,绒花路,tertiary,True,False,293.23699999999997,"LINESTRING (114.047234 22.5106993, 114.0463283 22.5107155, 114.0462912 22.5107162, 114.045518 22.5107404, 114.0443842 22.5108308)",,,,,
598723729,598723741,0,46898415,桂花路,tertiary,True,False,137.845,"LINESTRING (114.0472355 22.5122501, 114.0476157 22.5122579, 114.0481438 22.5122766, 114.0485763 22.5122985)",2,,,,
598723737,598723741,0,46898379,槟榔道,residential,False,False,173.32399999999998,"LINESTRING (114.0487021 22.5107441, 114.0486753 22.5110921, 114.0486595 22.5112839, 114.0486379 22.5115436, 114.0486158 22.5118109, 114.0485763 22.5122985)",,,,,
598723737,598723727,0,222976761,绒花路,tertiary,True,False,150.913,"LINESTRING (114.0487021 22.5107441, 114.0480673 22.5107128, 114.047234 22.5106993)",,,,,
598723741,598723745,0,46898379,槟榔道,residential,False,False,11.805,"LINESTRING (114.0485763 22.5122985, 114.0485682 22.5124044)",,,,,
598723741,598723737,0,46898379,槟榔道,residential,False,True,173.324,"LINESTRING (114.0485763 22.5122985, 114.0486158 22.5118109, 114.0486379 22.5115436, 114.0486595 22.5112839, 114.0486753 22.5110921, 114.0487021 22.5107441)",,,,,
598723741,598723667,0,46898415,桂花路,tertiary,True,False,139.166,"LINESTRING (114.0485763 22.5122985, 114.0490153 22.5123378, 114.0492221 22.5123606, 114.0495215 22.5123935, 114.0499232 22.5124328)",2,,,,
598723745,598723741,0,46898379,槟榔道,residential,False,True,11.805,"LINESTRING (114.0485682 22.5124044, 114.0485763 22.5122985)",,,,,
598723745,598723699,0,830725880,桂花路,tertiary,True,False,274.798,"LINESTRING (114.0485682 22.5124044, 114.048165 22.5123781, 114.0476837 22.512358, 114.0472415 22.5123444, 114.0468982 22.5123445, 114.0463514 22.512351, 114.0458949 22.5123593)",2,,,,
598723761,7702665417,0,1097607722,,tertiary,True,False,6.482,"LINESTRING (114.041039 22.5147501, 114.0410569 22.514806)",,,,,
598723761,3635737701,0,231534951,福荣路,tertiary,True,False,134.538,"LINESTRING (114.041039 22.5147501, 114.0413319 22.5146662, 114.0417049 22.5145734, 114.0420333 22.5144933, 114.0423033 22.5144355)",2,,,,
598723768,7702665399,0,46898381,凤凰道,residential,False,True,4.794,"LINESTRING (114.0447759 22.5141713, 114.0447772 22.5142144)",,,,,
598723768,598723821,0,"[959157737, 46898381, 46898382]","['凤凰道', '福田保税区3号隧道']",residential,False,False,190.83299999999997,"LINESTRING (114.0447759 22.5141713, 114.0447484 22.5137857, 114.0446219 22.5128616, 114.0445709 22.5124661)",,yes,,,
598723768,7626167474,0,231534951,福荣路,tertiary,True,False,595.62,"LINESTRING (114.0447759 22.5141713, 114.0455315 22.514125, 114.0463735 22.514071, 114.0470753 22.5140641, 114.0476 22.5140857, 114.0480585 22.5141089, 114.0485499 22.5141452, 114.0494071 22.5142453, 114.0499702 22.5143263, 114.0503719 22.5143852, 114.0504226 22.5143928, 114.0505467 22.5144127)",2,,,,
598723821,598723824,0,959157737,凤凰道,residential,False,False,10.136,"LINESTRING (114.0445709 22.5124661, 114.04456 22.5123755)",,,,,
598723821,598723860,0,830725880,桂花路,tertiary,True,False,280.33000000000004,"LINESTRING (114.0445709 22.5124661, 114.0432784 22.5126384, 114.0418944 22.5129446)",2,,,,
598723821,598723768,0,"[959157737, 46898381, 46898382]","['凤凰道', '福田保税区3号隧道']",residential,False,True,190.833,"LINESTRING (114.0445709 22.5124661, 114.0446219 22.5128616, 114.0447484 22.5137857, 114.0447759 22.5141713)",,yes,,,
598723824,598723695,0,46898415,桂花路,tertiary,True,False,137.108,"LINESTRING (114.04456 22.5123755, 114.0458892 22.5122632)",2,,,,
598723824,598723821,0,959157737,凤凰道,residential,False,True,10.136,"LINESTRING (114.04456 22.5123755, 114.0445709 22.5124661)",,,,,
598723824,598723832,0,46898383,凤凰道,residential,True,False,172.71,"LINESTRING (114.04456 22.5123755, 114.0445249 22.5120667, 114.0443842 22.5108308)",,,,,
598723832,598723857,0,222976761,绒花路,tertiary,True,False,297.177,"LINESTRING (114.0443842 22.5108308, 114.0429673 22.5110129, 114.0415501 22.5113464)",,,,,
598723852,598723906,0,743544186,红花路,tertiary,True,False,151.364,"LINESTRING (114.0443436 22.5105489, 114.0428837 22.5107335)",,,,,
598723857,3414036538,0,1054407541,绒花路,residential,True,False,157.063,"LINESTRING (114.0415501 22.5113464, 114.0400624 22.5116725)",,,,,
598723857,598723859,0,46898386,平冠道,residential,True,False,170.848,"LINESTRING (114.0415501 22.5113464, 114.0416716 22.5119064, 114.0417433 22.5122368, 114.041767 22.5123462, 114.041877 22.5128529)",,,,,
598723859,598723860,0,1054407529,平冠道,residential,False,False,10.352,"LINESTRING (114.041877 22.5128529, 114.0418944 22.5129446)",,,,,
598723859,598723824,0,46898415,桂花路,tertiary,True,False,280.83799999999997,"LINESTRING (114.041877 22.5128529, 114.0432637 22.5125615, 114.04456 22.5123755)",2,,,,
598723860,598723859,0,1054407529,平冠道,residential,False,True,10.352,"LINESTRING (114.0418944 22.5129446, 114.041877 22.5128529)",,,,,
598723860,598723939,0,1054407530,桂花路,tertiary,True,False,143.728,"LINESTRING (114.0418944 22.5129446, 114.0405557 22.5133206)",2,,,,
598723906,598723885,0,743544186,红花路,tertiary,True,False,150.021,"LINESTRING (114.0428837 22.5107335, 114.0414653 22.5110549)",,,,,
598723939,3084645114,0,1054407530,桂花路,tertiary,True,False,9.029,"LINESTRING (114.0405557 22.5133206, 114.0404717 22.5133445)",2,,,,
598723939,598723761,0,"[687538024, 303958186, 687538023]",福保隧道,tertiary,True,False,166.528,"LINESTRING (114.0405557 22.5133206, 114.0407023 22.5137663, 114.0409193 22.5143998, 114.041039 22.5147501)",,yes,,,
598723956,5435723374,0,478960870,,secondary,True,False,314.87399999999997,"LINESTRING (114.056855 22.5124199, 114.0575449 22.5131343, 114.0579136 22.5135883, 114.058166 22.5138881, 114.0584018 22.5141164, 114.0586107 22.5142814, 114.0588203 22.5144221, 114.0589308 22.5144817)",,,,,
598723956,1492216295,0,875261259,桃花路,tertiary,False,False,157.87800000000001,"LINESTRING (114.056855 22.5124199, 114.056627 22.5118665, 114.056362 22.5112708, 114.0562865 22.5111009)",,,,,
598724199,598723467,0,"[1051282793, 1054407526]",桂花路,tertiary,True,False,229.875,"LINESTRING (114.0574066 22.5150238, 114.0572376 22.5149235, 114.056829 22.5147075, 114.0563556 22.5144658, 114.0560045 22.5142833, 114.0557082 22.514125, 114.0554504 22.5140236)",2,,,,
598724224,7701169511,0,1051282788,桂花路,tertiary,True,False,52.91,"LINESTRING (114.0509631 22.5126057, 114.0514688 22.5126961)",2,,,,
598724224,8146989209,0,824751285,,tertiary,True,False,180.724,"LINESTRING (114.0509631 22.5126057, 114.0510247 22.5126002, 114.0510761 22.5125875, 114.0511221 22.5125609, 114.0511474 22.5125236, 114.0511653 22.5124902, 114.0511911 22.512422, 114.0512506 22.5120816, 114.051298 22.5118631, 114.051345 22.5116199, 114.0513841 22.5113882, 114.0514157 22.5111237)",2,,,,
598724289,9757737411,0,1051282795,益田路,secondary,True,False,12.481,"LINESTRING (114.0509652 22.5181363, 114.0509817 22.5182475)",3,,,,
598724289,503304404,0,1059172725,福强路,primary,True,False,45.192,"LINESTRING (114.0509652 22.5181363, 114.0511318 22.5181277, 114.0514049 22.5181294)",3,,,,
598724344,7656321587,0,819859517,,living_street,False,False,130.29500000000002,"LINESTRING (114.0506425 22.5167034, 114.0509244 22.5166838, 114.051889 22.5168715)",,,,,
598724344,7626252442,0,996181405,益田路,secondary,True,False,121.399,"LINESTRING (114.0506425 22.5167034, 114.0507115 22.5169856, 114.0508922 22.5177705)",3,,,,
1492216295,598723956,0,875261259,桃花路,tertiary,False,True,157.878,"LINESTRING (114.0562865 22.5111009, 114.056362 22.5112708, 114.056627 22.5118665, 114.056855 22.5124199)",,,,,
1492216295,598723550,0,916588745,市花路,tertiary,True,False,168.13600000000002,"LINESTRING (114.0562865 22.5111009, 114.0559562 22.5110599, 114.054889 22.5107012, 114.0548379 22.5106869, 114.0547283 22.5106563)",2,,,,
1783922636,1783922639,0,166998861,水围二街,tertiary,False,True,6.549,"LINESTRING (114.0590416 22.5199146, 114.0590164 22.5199687)",2,,,,
1783922639,1783922636,0,166998861,水围二街,tertiary,False,False,6.549,"LINESTRING (114.0590164 22.5199687, 114.0590416 22.5199146)",2,,,,
1783922639,8167951077,0,996181411,福强路,primary,True,False,281.18,"LINESTRING (114.0590164 22.5199687, 114.058546 22.519756, 114.0579943 22.5195064, 114.057457 22.519292, 114.0569896 22.5191127, 114.05651 22.518958)",3,,,,
2042407636,7626252406,0,193719996,益田五路,residential,False,True,318.574,"LINESTRING (114.0419238 22.5177522, 114.0405555 22.5151811)",2,,,,
2042407636,7701169566,0,"[817481817, 193719995, 220800286]",,residential,False,True,188.869,"LINESTRING (114.0419238 22.5177522, 114.0414838 22.5179881, 114.0409336 22.518283, 114.0408252 22.5183411, 114.0407615 22.5183716, 114.0405072 22.5185127, 114.0404012 22.5185706, 114.0403339 22.5186052)",,,yes,,
