u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes
598723526,598723530,0,46898364,unclassified,False,False,9.095,,"LINESTRING (114.0523863 22.5072562, 114.0524731 22.5072723)",
598723526,598724174,0,238038714,residential,True,False,143.904,红棉道,"LINESTRING (114.0523863 22.5072562, 114.0526307 22.5061396, 114.0526639 22.5059877)",
598723530,8482608237,0,46898364,unclassified,False,False,171.417,,"LINESTRING (114.0524731 22.5072723, 114.0540885 22.5076588)",
598723530,598723526,0,46898364,unclassified,False,True,9.095,,"LINESTRING (114.0524731 22.5072723, 114.0523863 22.5072562)",
598723530,598723865,0,46734916,residential,True,False,140.867,红棉道,"LINESTRING (114.0524731 22.5072723, 114.0522256 22.5083917, 114.0521986 22.5085135)",
598723546,8482608236,0,916588751,residential,True,False,160.057,金花路,"LINESTRING (114.0552365 22.5092541, 114.0537338 22.5088736)",
598723594,8872340116,0,816881874,unclassified,False,True,177.881,槟榔道,"LINESTRING (114.0492532 22.503915, 114.0491556 22.5053488, 114.0491434 22.5055115)",2
598723632,8872340111,0,46898371,unclassified,False,False,224.491,蓝花道,"LINESTRING (114.0512219 22.5036934, 114.051045 22.5049108, 114.0509531 22.5055281, 114.0509284 22.505694)",2
598723640,8482608267,0,816881865,unclassified,True,False,151.72,蓝花道,"LINESTRING (114.0505365 22.5082808, 114.0505173 22.5083803, 114.0503532 22.5094703, 114.0503431 22.5095294, 114.0503257 22.5096312)",2
598723640,8872362720,0,916588751,residential,True,False,167.003,金花路,"LINESTRING (114.0505365 22.5082808, 114.0490625 22.5081047, 114.0489236 22.5080932)",
598723680,598723849,0,916588751,residential,True,False,162.422,金花路,"LINESTRING (114.0456365 22.5080597, 114.0440618 22.5081914)",
598723680,8872362721,0,46898375,unclassified,True,False,288.465,红柳道,"LINESTRING (114.0456365 22.5080597, 114.0455028 22.5056186, 114.0454926 22.5054689)",
598723714,598723680,0,916588751,residential,True,False,167.707,金花路,"LINESTRING (114.0472685 22.5080195, 114.0456365 22.5080597)",
598723714,8872362717,0,477810546,unclassified,True,False,288.096,海虹道,"LINESTRING (114.0472685 22.5080195, 114.0473164 22.5055699, 114.0473182 22.505429)",3
598723849,598723867,0,916588751,residential,True,False,166.562,金花路,"LINESTRING (114.0440618 22.5081914, 114.0424575 22.5084086)",
598723849,8482608295,0,46898385,unclassified,True,False,151.804,凤凰道,"LINESTRING (114.0440618 22.5081914, 114.0441591 22.5090376, 114.0442001 22.5093941, 114.0442049 22.5094395, 114.0442165 22.5095491)",
598723864,8482608240,0,"[916588752, 46898410]",unclassified,False,False,420.962,桃花路,"LINESTRING (114.0557942 22.5094225, 114.0556658 22.5086394, 114.0556274 22.5083506, 114.0555951 22.5080395, 114.0555577 22.5073002, 114.0555262 22.506676, 114.0544606 22.5063895)",2
598723864,598723546,0,916588751,residential,True,False,60.272,金花路,"LINESTRING (114.0557942 22.5094225, 114.0553876 22.5092997, 114.0552365 22.5092541)",
598723865,598723866,0,916588751,residential,True,False,8.639,金花路,"LINESTRING (114.0521986 22.5085135, 114.052116 22.5084989)",
598723865,8482608226,0,46734916,residential,True,False,155.981,红棉道,"LINESTRING (114.0521986 22.5085135, 114.0521659 22.5086691, 114.051932 22.5097249, 114.0519237 22.5097614, 114.0518948 22.5098879)",
598723866,598723526,0,238038714,residential,True,False,140.944,红棉道,"LINESTRING (114.052116 22.5084989, 114.0523863 22.5072562)",
598723866,598723640,0,916588751,residential,True,False,164.05599999999998,金花路,"LINESTRING (114.052116 22.5084989, 114.0520347 22.5084877, 114.0505365 22.5082808)",
598723867,598723868,0,916588751,residential,True,False,162.025,金花路,"LINESTRING (114.0424575 22.5084086, 114.0409203 22.508735)",
598723867,8872362723,0,46898390,unclassified,True,False,245.019,黄槐道,"LINESTRING (114.0424575 22.5084086, 114.0422668 22.5073831, 114.042085 22.5064052, 114.0420525 22.5062371)",
598724172,598723530,0,46734916,residential,True,False,143.806,红棉道,"LINESTRING (114.0527512 22.5060048, 114.0524731 22.5072723)",
598724172,598724174,0,958849681,residential,False,False,9.167,桃花路,"LINESTRING (114.0527512 22.5060048, 114.0526639 22.5059877)",2
598724172,8482608240,0,916588752,unclassified,False,True,180.738,桃花路,"LINESTRING (114.0527512 22.5060048, 114.0529129 22.5060385, 114.0544606 22.5063895)",2
598724174,598724172,0,958849681,residential,False,True,9.167,桃花路,"LINESTRING (114.0526639 22.5059877, 114.0527512 22.5060048)",2
598724174,7629438273,0,238038714,residential,True,False,160.04100000000003,红棉道,"LINESTRING (114.0526639 22.5059877, 114.0527225 22.5057232, 114.0529415 22.5047022, 114.0530184 22.5045952)",
598724174,8872340111,0,958849681,residential,False,False,181.26699999999997,桃花路,"LINESTRING (114.0526639 22.5059877, 114.0524854 22.5059551, 114.0518549 22.5058463, 114.0511065 22.5057171, 114.0509284 22.505694)",2
7629438273,8146989127,0,875261248,unclassified,False,False,41.022,,"LINESTRING (114.0530184 22.5045952, 114.0531002 22.5042341)",
7629438273,598724172,0,46734916,residential,True,False,159.76600000000002,红棉道,"LINESTRING (114.0530184 22.5045952, 114.0530348 22.5047072, 114.0527918 22.505817, 114.0527512 22.5060048)",
8146989123,8482608240,0,46898363,unclassified,False,False,163.849,紫荆道,"LINESTRING (114.0548739 22.5049663, 114.0545046 22.5062403, 114.0544606 22.5063895)",
8146989127,7629438273,0,875261248,unclassified,False,True,41.022,,"LINESTRING (114.0531002 22.5042341, 114.0530184 22.5045952)",
8482605813,8482608288,0,46898375,unclassified,True,False,8.239,红柳道,"LINESTRING (114.0457152 22.5095163, 114.0457112 22.5094423)",
8482605813,8482608296,0,913146947,tertiary,True,False,153.63400000000001,市花路,"LINESTRING (114.0457152 22.5095163, 114.0455704 22.5095216, 114.0455266 22.5095233, 114.0449886 22.5095631, 114.0443935 22.5096071, 114.0443442 22.5096124, 114.0442245 22.5096253)",2
8482605816,8482608281,0,477810546,unclassified,True,False,8.173,海虹道,"LINESTRING (114.0472496 22.509489, 114.0472505 22.5094155)",3
8482605816,8482605813,0,913146947,tertiary,True,False,157.66600000000003,市花路,"LINESTRING (114.0472496 22.509489, 114.0471329 22.5094865, 114.047095 22.5094857, 114.0458868 22.50951, 114.0458397 22.5095117, 114.0457152 22.5095163)",2
8482608226,8482608260,0,916588757,residential,True,False,8.013,红棉道,"LINESTRING (114.0518948 22.5098879, 114.0518658 22.5099548)",
8482608236,8482608237,0,46898363,unclassified,False,True,139.90800000000002,紫荆道,"LINESTRING (114.0537338 22.5088736, 114.0537589 22.5087839, 114.0540403 22.5078235, 114.0540885 22.5076588)",
8482608236,598723865,0,916588751,residential,True,False,162.71,金花路,"LINESTRING (114.0537338 22.5088736, 114.0523679 22.5085504, 114.0521986 22.5085135)",
8482608237,598723530,0,46898364,unclassified,False,True,171.417,,"LINESTRING (114.0540885 22.5076588, 114.0524731 22.5072723)",
8482608237,8482608236,0,46898363,unclassified,False,False,139.908,紫荆道,"LINESTRING (114.0540885 22.5076588, 114.0540403 22.5078235, 114.0537589 22.5087839, 114.0537338 22.5088736)",
8482608237,8482608240,0,46898363,unclassified,False,True,146.224,紫荆道,"LINESTRING (114.0540885 22.5076588, 114.054423 22.5065169, 114.0544606 22.5063895)",
8482608240,8482608237,0,46898363,unclassified,False,False,146.224,紫荆道,"LINESTRING (114.0544606 22.5063895, 114.054423 22.5065169, 114.0540885 22.5076588)",
8482608240,8146989123,0,46898363,unclassified,False,True,163.849,紫荆道,"LINESTRING (114.0544606 22.5063895, 114.0545046 22.5062403, 114.0548739 22.5049663)",
8482608240,598724172,0,916588752,unclassified,False,False,180.738,桃花路,"LINESTRING (114.0544606 22.5063895, 114.0529129 22.5060385, 114.0527512 22.5060048)",2
8482608240,598723864,0,"[916588752, 46898410]",unclassified,False,True,420.96200000000005,桃花路,"LINESTRING (114.0544606 22.5063895, 114.0555262 22.506676, 114.0555577 22.5073002, 114.0555951 22.5080395, 114.0556274 22.5083506, 114.0556658 22.5086394, 114.0557942 22.5094225)",2
8482608257,8482608226,0,910437367,tertiary,True,False,10.452,市花路,"LINESTRING (114.051795 22.5098696, 114.0518948 22.5098879)",2
8482608257,598723866,0,238038714,residential,True,False,155.948,红棉道,"LINESTRING (114.051795 22.5098696, 114.0518244 22.5097452, 114.0518309 22.5097178, 114.0520726 22.5086643, 114.052116 22.5084989)",
8482608258,8482608257,0,238038714,residential,True,False,8.018,红棉道,"LINESTRING (114.0517963 22.5099417, 114.051795 22.5098696)",
8482608258,8482608266,0,916588747,tertiary,True,False,154.635,市花路,"LINESTRING (114.0517963 22.5099417, 114.0516877 22.5099213, 114.0516463 22.5099135, 114.051402 22.5098738, 114.0513045 22.509858, 114.050487 22.5097251, 114.0504391 22.5097185, 114.0503137 22.5097015)",2
8482608260,8482608258,0,916588747,tertiary,True,False,7.286,市花路,"LINESTRING (114.0518658 22.5099548, 114.0517963 22.5099417)",2
8482608266,8482608274,0,916588747,tertiary,True,False,156.668,市花路,"LINESTRING (114.0503137 22.5097015, 114.0502115 22.5096876, 114.0501756 22.5096827, 114.0489861 22.5095671, 114.0489404 22.5095635, 114.0487973 22.5095523)",2
8482608267,8482608266,0,816881865,unclassified,True,False,7.914,蓝花道,"LINESTRING (114.0503257 22.5096312, 114.0503137 22.5097015)",2
8482608267,8482608257,0,910437367,tertiary,True,False,153.257,市花路,"LINESTRING (114.0503257 22.5096312, 114.0504524 22.5096477, 114.0504987 22.5096537, 114.0516574 22.5098443, 114.0516988 22.5098519, 114.051795 22.5098696)",2
8482608274,8482608275,0,916588748,unclassified,True,False,8.122,槟榔道,"LINESTRING (114.0487973 22.5095523, 114.0488023 22.5094794)",2
8482608274,8482605816,0,913146947,tertiary,True,False,159.159,市花路,"LINESTRING (114.0487973 22.5095523, 114.0486755 22.5095428, 114.0486363 22.5095397, 114.0478732 22.5095103, 114.0474066 22.5094923, 114.0473598 22.5094913, 114.0472496 22.509489)",2
8482608275,8482608267,0,910437367,tertiary,True,False,157.409,市花路,"LINESTRING (114.0488023 22.5094794, 114.0489441 22.5094907, 114.048988 22.5094942, 114.0501729 22.5096113, 114.050217 22.509617, 114.0503257 22.5096312)",2
8482608275,8872362720,0,916588748,unclassified,True,False,154.644,槟榔道,"LINESTRING (114.0488023 22.5094794, 114.0488167 22.5093387, 114.0488211 22.5092954, 114.0489236 22.5080932)",2
8482608281,598723714,0,477810546,unclassified,True,False,155.239,海虹道,"LINESTRING (114.0472505 22.5094155, 114.0472519 22.5093108, 114.0472685 22.5080195)",3
8482608281,8482608275,0,910437367,tertiary,True,False,159.583,市花路,"LINESTRING (114.0472505 22.5094155, 114.0473605 22.5094183, 114.0474045 22.5094193, 114.0486381 22.5094663, 114.0486788 22.5094696, 114.0488023 22.5094794)",2
8482608288,598723680,0,46898375,unclassified,True,False,153.93,红柳道,"LINESTRING (114.0457112 22.5094423, 114.0457052 22.5093315, 114.0456365 22.5080597)",
8482608288,8482608281,0,910437367,tertiary,True,False,158.171,市花路,"LINESTRING (114.0457112 22.5094423, 114.0458371 22.5094379, 114.0458841 22.5094363, 114.046764 22.5094182, 114.0470884 22.5094115, 114.0471345 22.5094126, 114.0472505 22.5094155)",2
8482608295,8482608296,0,46898385,unclassified,True,False,8.513,凤凰道,"LINESTRING (114.0442165 22.5095491, 114.0442245 22.5096253)",
8482608295,8482608288,0,910437367,tertiary,True,False,154.03,市花路,"LINESTRING (114.0442165 22.5095491, 114.0443353 22.509536, 114.0443811 22.5095309, 114.0455179 22.5094491, 114.0455656 22.5094474, 114.0457112 22.5094423)",2
8482608296,8482608340,0,913146947,tertiary,True,False,156.24399999999997,市花路,"LINESTRING (114.0442245 22.5096253, 114.044105 22.5096381, 114.0440583 22.5096432, 114.0434446 22.5097251, 114.0428985 22.5097979, 114.0428493 22.5098069, 114.0427201 22.5098305)",2
8482608305,598723867,0,46898390,unclassified,True,False,152.224,黄槐道,"LINESTRING (114.0427059 22.5097582, 114.0426836 22.5096449, 114.0426758 22.5096051, 114.0425906 22.5091383, 114.0425802 22.5090812, 114.0424575 22.5084086)",
8482608305,8482608295,0,910437367,tertiary,True,False,156.938,市花路,"LINESTRING (114.0427059 22.5097582, 114.0428366 22.5097339, 114.0428852 22.5097248, 114.0440527 22.5095671, 114.0440954 22.5095624, 114.0442165 22.5095491)",2
8482608340,8482608305,0,46898390,unclassified,True,False,8.171,黄槐道,"LINESTRING (114.0427201 22.5098305, 114.0427059 22.5097582)",
8872340111,598723632,0,46898371,unclassified,False,True,224.49099999999999,蓝花道,"LINESTRING (114.0509284 22.505694, 114.0509531 22.5055281, 114.051045 22.5049108, 114.0512219 22.5036934)",2
8872340111,598723640,0,816881865,unclassified,True,False,290.443,蓝花道,"LINESTRING (114.0509284 22.505694, 114.050904 22.5058525, 114.0506464 22.5075546, 114.0506234 22.5077065, 114.0505976 22.5078773, 114.0505365 22.5082808)",2
8872340111,8872340116,0,958849681,residential,False,False,184.503,桃花路,"LINESTRING (114.0509284 22.505694, 114.0507476 22.5056706, 114.0493461 22.5055266, 114.0491434 22.5055115)",2
8872340111,598724174,0,958849681,residential,False,True,181.267,桃花路,"LINESTRING (114.0509284 22.505694, 114.0511065 22.5057171, 114.0518549 22.5058463, 114.0524854 22.5059551, 114.0526639 22.5059877)",2
8872340116,598723594,0,816881874,unclassified,False,False,177.881,槟榔道,"LINESTRING (114.0491434 22.5055115, 114.0491556 22.5053488, 114.0492532 22.503915)",2
8872340116,8872362717,0,916588753,residential,False,False,187.739,桃花路,"LINESTRING (114.0491434 22.5055115, 114.0489284 22.5054954, 114.0474808 22.5054324, 114.0473182 22.505429)",2
8872340116,8872340111,0,958849681,residential,False,True,184.50300000000001,桃花路,"LINESTRING (114.0491434 22.5055115, 114.0493461 22.5055266, 114.0507476 22.5056706, 114.0509284 22.505694)",2
8872362717,8872362721,0,916588753,residential,False,False,187.674,桃花路,"LINESTRING (114.0473182 22.505429, 114.0471214 22.505425, 114.0457292 22.5054484, 114.0454926 22.5054689)",2
8872362717,8872340116,0,916588753,residential,False,True,187.739,桃花路,"LINESTRING (114.0473182 22.505429, 114.0474808 22.5054324, 114.0489284 22.5054954, 114.0491434 22.5055115)",2
8872362720,8872340116,0,916588748,unclassified,True,False,287.959,槟榔道,"LINESTRING (114.0489236 22.5080932, 114.0491323 22.5056443, 114.0491434 22.5055115)",2
8872362720,598723714,0,916588751,residential,True,False,170.23000000000002,金花路,"LINESTRING (114.0489236 22.5080932, 114.0487968 22.5080826, 114.0472685 22.5080195)",
8872362721,8872362722,0,916588753,residential,False,False,179.825,桃花路,"LINESTRING (114.0454926 22.5054689, 114.0452723 22.505488, 114.043951 22.505716, 114.0437709 22.5057555)",2
8872362721,8872362717,0,916588753,residential,False,True,187.674,桃花路,"LINESTRING (114.0454926 22.5054689, 114.0457292 22.5054484, 114.0471214 22.505425, 114.0473182 22.505429)",2
8872362722,598723849,0,46898385,unclassified,True,False,272.504,凤凰道,"LINESTRING (114.0437709 22.5057555, 114.0437891 22.5059039, 114.0440618 22.5081914)",
8872362722,8872362723,0,916588753,residential,False,False,184.51599999999996,桃花路,"LINESTRING (114.0437709 22.5057555, 114.0435802 22.5057973, 114.0422718 22.5061702, 114.0420525 22.5062371)",2
8872362722,8872362721,0,916588753,residential,False,True,179.82500000000002,桃花路,"LINESTRING (114.0437709 22.5057555, 114.043951 22.505716, 114.0452723 22.505488, 114.0454926 22.5054689)",2
8872362723,8872362724,0,916588753,residential,False,False,172.639,桃花路,"LINESTRING (114.0420525 22.5062371, 114.0418213 22.5063077, 114.0406446 22.5066968, 114.0404676 22.5067533)",2
8872362723,8872362722,0,916588753,residential,False,True,184.51599999999996,桃花路,"LINESTRING (114.0420525 22.5062371, 114.0422718 22.5061702, 114.0435802 22.5057973, 114.0437709 22.5057555)",2
8872362724,598723868,0,46898388,unclassified,True,False,225.20999999999998,平冠道,"LINESTRING (114.0404676 22.5067533, 114.0404958 22.5068881, 114.0405941 22.5073158, 114.0409203 22.508735)",
8872362724,8872362723,0,916588753,residential,False,True,172.639,桃花路,"LINESTRING (114.0404676 22.5067533, 114.0406446 22.5066968, 114.0418213 22.5063077, 114.0420525 22.5062371)",2
