u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry
7599920994,4449431420,0,510539786,False,1,unclassified,False,162.66400000000002,"LINESTRING (114.143592 22.5116864, 114.1438865 22.5116331, 114.1440847 22.5115981, 114.1442394 22.5115372, 114.1443503 22.5114079, 114.1445216 22.5109589, 114.1445179 22.5107561)"
1409255746,4449431417,0,957154099,False,1,unclassified,True,170.849,"LINESTRING (114.1465957 22.5104858, 114.1455833 22.5106094, 114.1451756 22.5106441, 114.1449463 22.5106082)"
4449431417,1409255746,0,957154099,False,1,unclassified,False,170.849,"LINESTRING (114.1449463 22.5106082, 114.1451756 22.5106441, 114.1455833 22.5106094, 114.1465957 22.5104858)"
4449431417,4449431420,0,957154099,False,1,unclassified,True,53.27,"LINESTRING (114.1449463 22.5106082, 114.1448341 22.5105906, 114.1446499 22.5105945, 114.144578 22.5106637, 114.1445179 22.5107561)"
4449431420,7599920994,0,510539786,False,1,unclassified,True,162.66400000000002,"LINESTRING (114.1445179 22.5107561, 114.1445216 22.5109589, 114.1443503 22.5114079, 114.1442394 22.5115372, 114.1440847 22.5115981, 114.1438865 22.5116331, 114.143592 22.5116864)"
4449431420,4449431417,0,957154099,False,1,unclassified,False,53.269999999999996,"LINESTRING (114.1445179 22.5107561, 114.144578 22.5106637, 114.1446499 22.5105945, 114.1448341 22.5105906, 114.1449463 22.5106082)"
4449431420,1111289406,0,957154100,False,1,residential,False,61.707,"LINESTRING (114.1445179 22.5107561, 114.1444243 22.5105919, 114.1444413 22.5104859, 114.1445373 22.5102733, 114.1445506 22.5102439)"
1111289406,4449431420,0,957154100,False,1,residential,True,61.70700000000001,"LINESTRING (114.1445506 22.5102439, 114.1445373 22.5102733, 114.1444413 22.5104859, 114.1444243 22.5105919, 114.1445179 22.5107561)"
