u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
1123344043,8046357064,0,96935413,工发路,tertiary,False,False,121.358,"LINESTRING (114.0793811 22.550474, 114.0793454 22.5515649)",,20,,
1123344043,2327294747,0,96935414,十一号路,tertiary,False,False,90.284,"LINESTRING (114.0793811 22.550474, 114.078502 22.5504642)",,20,,
1123372047,9555650023,0,393889399,华新路,tertiary,False,False,210.34099999999998,"LINESTRING (114.0757907 22.5539033, 114.0775645 22.5539178, 114.0776385 22.5539186, 114.0778389 22.5539207)",3,,,
1703698700,9364948971,0,1015194530,,unclassified,False,False,11.439,"LINESTRING (114.0657782 22.5519795, 114.0657483 22.5520786)",,,,
1703698700,1703698705,0,193703720,,residential,False,False,39.661,"LINESTRING (114.0657782 22.5519795, 114.0658211 22.5519434, 114.0660639 22.5517395)",,20,,yes
1703698700,1703698733,0,193703720,,residential,False,True,185.947,"LINESTRING (114.0657782 22.5519795, 114.0664583 22.5526027, 114.0666193 22.5525978, 114.0666622 22.5525086, 114.0672464 22.5524675)",,20,,yes
1703698700,1703715921,0,1015194530,,unclassified,False,True,170.529,"LINESTRING (114.0657782 22.5519795, 114.0656834 22.552294, 114.0649377 22.5523164, 114.064377 22.5523333)",,,,
1703698705,8624031187,0,158109820,,residential,False,True,55.64,"LINESTRING (114.0660639 22.5517395, 114.0660467 22.5515098, 114.0660245 22.5513544, 114.0660101 22.5512418)",,20,,yes
1703698705,1703698733,0,193703120,,residential,False,False,212.885,"LINESTRING (114.0660639 22.5517395, 114.0672644 22.5516644, 114.0672464 22.5524675)",,20,,yes
1703698705,1703698700,0,193703720,,residential,False,True,39.661,"LINESTRING (114.0660639 22.5517395, 114.0658211 22.5519434, 114.0657782 22.5519795)",,20,,yes
1703698721,1703698733,0,193703120,,residential,False,True,89.347,"LINESTRING (114.0672219 22.5532707, 114.0672464 22.5524675)",,20,,yes
1703698721,2042197396,0,193703722,,residential,False,False,57.667,"LINESTRING (114.0672219 22.5532707, 114.0672262 22.5537893)",,20,,yes
1703698721,2889067743,0,193703723,,residential,False,True,218.267,"LINESTRING (114.0672219 22.5532707, 114.0664312 22.5532768, 114.065927 22.5537325, 114.0659307 22.5542496, 114.0659736 22.5542999)",,20,,yes
1703698733,1703698721,0,193703120,,residential,False,False,89.347,"LINESTRING (114.0672464 22.5524675, 114.0672219 22.5532707)",,20,,yes
1703698733,1703698705,0,193703120,,residential,False,True,212.885,"LINESTRING (114.0672464 22.5524675, 114.0672644 22.5516644, 114.0660639 22.5517395)",,20,,yes
1703698733,1703698700,0,193703720,,residential,False,False,185.947,"LINESTRING (114.0672464 22.5524675, 114.0666622 22.5525086, 114.0666193 22.5525978, 114.0664583 22.5526027, 114.0657782 22.5519795)",,20,,yes
1703698740,2042184693,0,1015194503,,unclassified,False,True,15.891,"LINESTRING (114.0656124 22.5515875, 114.0655039 22.5514856)",,,,
1703715896,2042184673,0,308238960,,residential,False,False,116.448,"LINESTRING (114.0643273 22.5533615, 114.0643175 22.5544087)",,,,
1703715896,1703715916,0,308238960,,residential,False,True,61.305,"LINESTRING (114.0643273 22.5533615, 114.06393 22.55295)",,,,
1703715896,1703725326,0,193702048,,residential,True,False,253.136,"LINESTRING (114.0643273 22.5533615, 114.0647718 22.5529961, 114.0654498 22.5536134, 114.0654233 22.5544607)",1,5,,
