u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,tunnel
5808598702,5808598735,0,"[614006562, 614006563, 614006564]",False,,"['unclassified', 'residential']",True,297.446,"LINESTRING (113.9895627 22.5877454, 113.9894296 22.5876932, 113.9893744 22.5876764, 113.9893092 22.5876608, 113.9892303 22.5876553, 113.9891704 22.587666, 113.9891208 22.5876858, 113.9890766 22.5877146, 113.9890341 22.587758, 113.9890022 22.5878139, 113.988986 22.5878857, 113.9889896 22.587941, 113.9890031 22.5880143, 113.9890112 22.5880857, 113.9890067 22.5881638, 113.9889934 22.5882296, 113.9889689 22.5883036, 113.9889422 22.5883796, 113.9888934 22.5884914, 113.9883231 22.5897636)",yes,,
5808598702,5808598712,0,614006582,False,,residential,False,83.868,"LINESTRING (113.9895627 22.5877454, 113.9893699 22.5881672, 113.9892451 22.5884403)",,,
5808598712,5808598713,0,614006585,False,,residential,False,179.351,"LINESTRING (113.9892451 22.5884403, 113.9908563 22.5890637)",,,
5808598712,5808598702,0,614006582,False,,residential,True,83.868,"LINESTRING (113.9892451 22.5884403, 113.9893699 22.5881672, 113.9895627 22.5877454)",,,
5808598713,5808598714,0,614006585,False,,residential,False,30.411,"LINESTRING (113.9908563 22.5890637, 113.9911295 22.5891694)",,,
5808598713,5808598712,0,614006585,False,,residential,True,179.351,"LINESTRING (113.9908563 22.5890637, 113.9892451 22.5884403)",,,
5808598713,5808598636,0,614006568,False,,residential,True,83.001,"LINESTRING (113.9908563 22.5890637, 113.990991 22.588758, 113.991161 22.5883723)",,,
5808598714,5808598713,0,614006585,False,,residential,True,30.411,"LINESTRING (113.9911295 22.5891694, 113.9908563 22.5890637)",,,
5808598714,5808598638,0,614006570,False,,residential,True,82.846,"LINESTRING (113.9911295 22.5891694, 113.9912653 22.5888633, 113.9914355 22.58848)",,,
5808598735,5808598578,0,614006562,False,,unclassified,True,14.314,"LINESTRING (113.9883231 22.5897636, 113.9882718 22.5898833)",,,
