u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
1394350645,1849090502,1,"[523228996, 996309285, 962639878, 360354610, 972309915, 174193723]",True,"['secondary_link', 'unclassified', 'residential']",False,712.5819999999999,"LINESTRING (114.1141271 22.5357845, 114.1143216 22.5346459, 114.114329 22.5345984, 114.1143417 22.5344917, 114.1144047 22.5341145, 114.1144262 22.5339968, 114.114427 22.5339602, 114.1144214 22.5339371, 114.1144084 22.5339103, 114.1143853 22.5338874, 114.1143528 22.5338723, 114.1143131 22.533864, 114.1138311 22.533797, 114.1137837 22.533784, 114.1137395 22.5337621, 114.1137075 22.5337219, 114.1137022 22.5336739, 114.1137088 22.5336089, 114.1137695 22.5332541, 114.1137944 22.533208, 114.1138254 22.5331806, 114.1138764 22.5331704, 114.1139399 22.5331721, 114.1143023 22.5332281, 114.1144915 22.5332607, 114.1145493 22.5332882, 114.1145886 22.5333371, 114.1146131 22.5333869, 114.114622 22.5334571, 114.1146225 22.5335346, 114.114543 22.534022, 114.1144401 22.5346244, 114.1143977 22.5348568, 114.1142744 22.5356028, 114.1142691 22.535813)",,人民南路,,,no,
1849090469,2278210943,0,633816647,True,secondary_link,False,22.041,"LINESTRING (114.1145544 22.5320969, 114.1145715 22.5320404, 114.1146134 22.5319794, 114.1146662 22.531933)",,沿河南路,,,,
1849090469,2278210943,1,921338891,True,secondary_link,False,126.68299999999999,"LINESTRING (114.1145544 22.5320969, 114.1144872 22.5320412, 114.1144179 22.5320028, 114.1143393 22.53197, 114.114253 22.5319444, 114.114193 22.5319245, 114.1141452 22.5319074, 114.1141159 22.5318832, 114.1141036 22.5318633, 114.1140974 22.5318263, 114.1141051 22.5317964, 114.1141206 22.5317722, 114.1141477 22.5317538, 114.1141858 22.5317489, 114.114238 22.5317521, 114.1143008 22.5317628, 114.114399 22.5317881, 114.1145034 22.5318282, 114.1145972 22.5318821, 114.1146662 22.531933)",,,,2,,
1849090473,1849090500,0,"[174193101, 271078742]",False,secondary,False,289.267,"LINESTRING (114.1148794 22.5347075, 114.1148125 22.5346436, 114.1147747 22.5345956, 114.1147321 22.5345157, 114.1146913 22.5344078, 114.1146688 22.534297, 114.1146588 22.5341862, 114.1146503 22.5340573, 114.1146524 22.5339717, 114.1146579 22.5339043, 114.1146672 22.533827, 114.1147657 22.53322, 114.114828 22.5328247, 114.1148394 22.5327345, 114.1148398 22.5326457, 114.1148326 22.5325829, 114.1148101 22.5325248, 114.1147702 22.5324611, 114.1147224 22.5324176, 114.1146581 22.532371, 114.1145327 22.5322978)",,沿河南路,,,,yes
1849090473,5982557738,0,633816649,True,secondary,False,154.607,"LINESTRING (114.1148794 22.5347075, 114.1151453 22.5348548, 114.1153105 22.5349448, 114.1154359 22.5350165, 114.1156275 22.5351247, 114.1159048 22.5352986, 114.1161374 22.5354681)",,沿河南路,,,,
1849090475,1849090495,0,229147400,True,secondary,False,136.76600000000002,"LINESTRING (114.1167039 22.5362058, 114.1161682 22.5356506, 114.1160348 22.5355283, 114.115779 22.5353235)",,沿河南路,,,,
1849090475,2377780098,0,"[924059021, 229147407]",False,residential,False,199.69299999999998,"LINESTRING (114.1167039 22.5362058, 114.1162976 22.5365042, 114.1152101 22.5356533)",,,,,,
1849090485,1849090513,0,"[1050674544, 633816646]",True,secondary,False,120.269,"LINESTRING (114.1148184 22.533975, 114.1147548 22.5341209, 114.1146328 22.5343995, 114.1145915 22.5344999, 114.1145563 22.5345916, 114.1145186 22.5347291, 114.1144681 22.5350024)",,"['人民南路', '和平路']",,,,
1849090488,1394350642,0,332783352,True,secondary_link,False,109.15100000000001,"LINESTRING (114.1148074 22.5349393, 114.1147342 22.5348978, 114.1146894 22.534865, 114.1146583 22.5348245, 114.1146417 22.5347839, 114.1146325 22.5347238, 114.1146313 22.5346767, 114.1146402 22.5346207, 114.1146618 22.5345599, 114.1146968 22.5345031, 114.1147374 22.5344656, 114.1147958 22.5344331, 114.1148528 22.5344152, 114.1149133 22.5344101, 114.1149661 22.5344134, 114.1150171 22.5344274, 114.1150787 22.5344535, 114.1151414 22.5345001)",,,,,,
1849090488,1849090513,0,582246454,True,secondary_link,False,35.888999999999996,"LINESTRING (114.1148074 22.5349393, 114.1147223 22.5349401, 114.1146427 22.534949, 114.1145731 22.5349659, 114.1144681 22.5350024)",,,,,,
1849090493,3924653893,0,389312256,True,secondary_link,False,84.24900000000001,"LINESTRING (114.1139733 22.5364087, 114.1139613 22.5361849, 114.113953 22.5360857, 114.1139328 22.5360138, 114.1139085 22.5359645, 114.1138734 22.53593, 114.1138082 22.5358789, 114.1136327 22.5358022)",,,,,,
1849090493,2760370733,0,962639875,True,secondary,False,60.386,"LINESTRING (114.1139733 22.5364087, 114.1140951 22.5359127, 114.1141034 22.5358791)",,人民南路,,,,
1849090495,1849090473,0,174193102,True,secondary,False,115.13000000000001,"LINESTRING (114.115779 22.5353235, 114.115481 22.5351076, 114.1153885 22.5350483, 114.1152177 22.5349466, 114.1151544 22.534909, 114.1150354 22.5348276, 114.1148794 22.5347075)",,沿河南路,,,,
1849090495,1849090488,0,582246454,True,secondary_link,False,109.097,"LINESTRING (114.115779 22.5353235, 114.1152164 22.5350647, 114.1150735 22.5350054, 114.1149707 22.5349694, 114.1148809 22.5349462, 114.1148074 22.5349393)",,,,,,
1849090500,1849090469,0,633816647,True,secondary_link,False,22.45,"LINESTRING (114.1145327 22.5322978, 114.1145544 22.5320969)",,沿河南路,,,,
1849090500,1849090473,0,"[174193101, 271078742]",False,secondary,True,289.26700000000005,"LINESTRING (114.1145327 22.5322978, 114.1146581 22.532371, 114.1147224 22.5324176, 114.1147702 22.5324611, 114.1148101 22.5325248, 114.1148326 22.5325829, 114.1148398 22.5326457, 114.1148394 22.5327345, 114.114828 22.5328247, 114.1147657 22.53322, 114.1146672 22.533827, 114.1146579 22.5339043, 114.1146524 22.5339717, 114.1146503 22.5340573, 114.1146588 22.5341862, 114.1146688 22.534297, 114.1146913 22.5344078, 114.1147321 22.5345157, 114.1147747 22.5345956, 114.1148125 22.5346436, 114.1148794 22.5347075)",,沿河南路,,,,yes
1849090502,2760370696,0,962639877,True,secondary,False,10.646,"LINESTRING (114.1142691 22.535813, 114.1142379 22.5359043)",,人民南路,,,,
1849090513,1849090502,0,996309286,True,secondary,False,92.625,"LINESTRING (114.1144681 22.5350024, 114.1143422 22.5356216, 114.1143079 22.5357114, 114.1142691 22.535813)",,人民南路,,,,
1849090515,1394350630,0,174193103,True,secondary_link,False,65.559,"LINESTRING (114.1149919 22.5328156, 114.1149991 22.5329338, 114.1150078 22.5330965, 114.1150118 22.5332233, 114.115004 22.5334046)",,,,,,
1849090515,1849090485,0,633816646,True,secondary,False,130.209,"LINESTRING (114.1149919 22.5328156, 114.1149737 22.5329759, 114.1148675 22.5337448, 114.1148488 22.5338459, 114.1148184 22.533975)",,和平路,,,,
2257730406,2377780110,0,229147411,False,residential,False,17.57,"LINESTRING (114.1136869 22.5380112, 114.1135166 22.5379962)",,,,,,
2257730406,2377780103,0,962639875,True,secondary,False,56.102000000000004,"LINESTRING (114.1136869 22.5380112, 114.1137012 22.5378411, 114.1137272 22.537678, 114.1137608 22.5375118)",,人民南路,,,,
2278166572,2278166608,0,218581557,False,residential,True,110.252,"LINESTRING (114.1115544 22.5310836, 114.1115519 22.5310353, 114.1115304 22.5309882, 114.1114961 22.5309515, 114.111421 22.5309267, 114.1112335 22.5308976, 114.1110955 22.5308771, 114.1110396 22.5308817, 114.110991 22.5309013, 114.1109537 22.5309164, 114.1109033 22.5312398)",,,,,,
2278166572,5369780089,0,218581560,False,residential,False,176.281,"LINESTRING (114.1115544 22.5310836, 114.1116123 22.530711, 114.1116987 22.530682, 114.1117257 22.5306854, 114.11197 22.5307157, 114.1120106 22.5307213, 114.1120575 22.5307623, 114.1120277 22.5309396, 114.1119638 22.5312673, 114.111951 22.53141, 114.1119459 22.531467, 114.1119405 22.5315276)",,和平路,,,,
2278166572,2278166637,0,218581560,False,residential,True,59.994,"LINESTRING (114.1115544 22.5310836, 114.1114701 22.5315578, 114.1114597 22.531616)",,和平路,,,,
2278166602,2278166637,0,218581560,False,residential,False,39.693,"LINESTRING (114.1115404 22.5319651, 114.1114597 22.531616)",,和平路,,,,
2278166602,5369780089,0,218581559,True,tertiary,False,72.497,"LINESTRING (114.1115404 22.5319651, 114.111554 22.5318737, 114.1115595 22.5318442, 114.1115659 22.5318156, 114.1115737 22.5317881, 114.1115825 22.5317615, 114.1115928 22.5317353, 114.1116024 22.5317148, 114.111615 22.5316927, 114.1116288 22.5316726, 114.1117022 22.5315924, 114.1117196 22.5315758, 114.1117363 22.5315629, 114.1117531 22.5315524, 114.111772 22.5315434, 114.1117926 22.531536, 114.1118134 22.5315302, 114.1118337 22.5315262, 114.1118533 22.5315241, 114.1118739 22.5315229, 114.1118933 22.5315231, 114.1119136 22.5315242, 114.1119405 22.5315276)",,,,,,
2278166608,2278166572,0,218581557,False,residential,False,110.25200000000001,"LINESTRING (114.1109033 22.5312398, 114.1109537 22.5309164, 114.110991 22.5309013, 114.1110396 22.5308817, 114.1110955 22.5308771, 114.1112335 22.5308976, 114.111421 22.5309267, 114.1114961 22.5309515, 114.1115304 22.5309882, 114.1115519 22.5310353, 114.1115544 22.5310836)",,,,,,
2278166637,2278166602,0,218581560,False,residential,True,39.693,"LINESTRING (114.1114597 22.531616, 114.1115404 22.5319651)",,和平路,,,,
2278166637,2278166572,0,218581560,False,residential,False,59.994,"LINESTRING (114.1114597 22.531616, 114.1114701 22.5315578, 114.1115544 22.5310836)",,和平路,,,,
2278166637,3203749828,0,314324673,False,residential,False,85.887,"LINESTRING (114.1114597 22.531616, 114.1114208 22.5316115, 114.11063 22.5315197)",,,,,,
2278210939,1394350630,0,218585460,True,secondary_link,False,58.067,"LINESTRING (114.1150923 22.5328888, 114.115004 22.5334046)",,沿河南路,,,,
