u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
2042400915,1491845092,0,135913041,新洲十一街,residential,False,False,111.982,"LINESTRING (114.0372302 22.5293847, 114.0383133 22.5295001)",2,,,
2042400915,1491845065,0,193719682,新州四街,residential,False,True,212.664,"LINESTRING (114.0372302 22.5293847, 114.0374399 22.527482)",,,,
2042400915,2042400913,0,"[135913041, 684241523]","['新州五街', '新洲十一街']",residential,False,"[False, True]",380.28099999999995,"LINESTRING (114.0372302 22.5293847, 114.035086 22.5291562, 114.0351952 22.5279476, 114.0351993 22.5278504, 114.0351952 22.5277343)",2,,,
2042400917,2042441671,0,964018904,新州五街,residential,False,True,161.034,"LINESTRING (114.0339349 22.5256063, 114.0347229 22.5268583)",,,,
2042400917,6020564549,0,1051282799,福强路,primary,True,False,78.486,"LINESTRING (114.0339349 22.5256063, 114.0332804 22.5259706)",3,,,
2042400930,352965797,0,31542519,新洲三街,tertiary,False,False,121.84,"LINESTRING (114.0388935 22.5243101, 114.0387881 22.5254015)",,,,
2042400930,6020564521,0,31542519,新洲三街,tertiary,False,True,122.039,"LINESTRING (114.0388935 22.5243101, 114.037867 22.5237574)",,,,
2042400930,6410194531,0,684241521,新洲六街,residential,False,False,51.684,"LINESTRING (114.0388935 22.5243101, 114.039364 22.5241453)",,,,
2042400943,1491845065,0,193719682,新州四街,residential,False,False,200.672,"LINESTRING (114.0364797 22.5259103, 114.0374399 22.527482)",,,,
2042400943,498877630,0,193719682,新州四街,residential,False,True,163.223,"LINESTRING (114.0364797 22.5259103, 114.0356845 22.5246394)",,,,
2042400943,2042441671,0,193721705,新洲七街,residential,False,False,208.978,"LINESTRING (114.0364797 22.5259103, 114.0347229 22.5268583)",2,30,,
2042400943,352965797,0,193721705,新洲七街,residential,False,True,257.072,"LINESTRING (114.0364797 22.5259103, 114.0376569 22.525275, 114.0387881 22.5254015)",2,30,,
2042441671,2042400943,0,193721705,新洲七街,residential,False,True,208.978,"LINESTRING (114.0347229 22.5268583, 114.0364797 22.5259103)",2,30,,
2042441671,2042400917,0,964018904,新州五街,residential,False,False,161.034,"LINESTRING (114.0347229 22.5268583, 114.0339349 22.5256063)",,,,
2042441671,2042400913,0,684241523,新州五街,residential,False,True,109.696,"LINESTRING (114.0347229 22.5268583, 114.035166 22.5275823, 114.0351866 22.5276555, 114.0351952 22.5277343)",,,,
2269569877,8185629248,0,217649878,九号路,residential,False,True,133.183,"LINESTRING (114.0379865 22.5205156, 114.0380115 22.5205391, 114.0387178 22.5211864, 114.038862 22.5213929)",,,,
2269569877,2399038485,0,1044157170,西村四路,residential,False,True,97.92200000000001,"LINESTRING (114.0379865 22.5205156, 114.0379728 22.520502, 114.0375449 22.5202757, 114.0373118 22.5201642, 114.0371527 22.5200912)",,,,
2269569877,2269569885,0,1097479632,四号路,residential,False,False,85.90299999999999,"LINESTRING (114.0379865 22.5205156, 114.0385915 22.5201885, 114.0387083 22.5201254)",,,,
2269569885,2269569877,0,1097479632,四号路,residential,False,True,85.90299999999999,"LINESTRING (114.0387083 22.5201254, 114.0385915 22.5201885, 114.0379865 22.5205156)",,,,
2269570039,2269583677,0,231534962,沙嘴东路,residential,False,False,41.705,"LINESTRING (114.0332205 22.522716, 114.0330318 22.5223839)",,,,
