u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
3557993862,4995356588,0,"[510539781, 510539782, 425322471, 447922063, 771361087]",1,,unclassified,False,"[False, True]",1890.6069999999997,"LINESTRING (114.125108 22.5183508, 114.1252622 22.5184014, 114.1252682 22.5184035, 114.1254286 22.5184616, 114.1256548 22.5184651, 114.1259566 22.5184263, 114.125976 22.5184311, 114.1261202 22.5184664, 114.1261843 22.5185018, 114.12621 22.518516, 114.1262769 22.5186866, 114.126194 22.5190652, 114.1261875 22.5191971, 114.1262153 22.5192717, 114.1265654 22.5194647, 114.1266756 22.5195236, 114.1268894 22.5195756, 114.1269712 22.5195767, 114.1270451 22.5195581, 114.1271556 22.5194931, 114.127224 22.5194497, 114.1273487 22.5193283, 114.1274895 22.5191772, 114.127531 22.5191498, 114.1275458 22.51914, 114.1275995 22.5191338, 114.1276719 22.5191574, 114.1280823 22.5194299, 114.1281989 22.5194906, 114.1282566 22.5194968, 114.1283151 22.5194769, 114.1283406 22.5194323, 114.1283513 22.5193802, 114.1282628 22.5192241, 114.1282427 22.519156, 114.1282427 22.5191027, 114.1282548 22.5189999, 114.1283097 22.5188661, 114.1283419 22.5187843, 114.1284519 22.5183619, 114.1284841 22.5182913, 114.1287094 22.5179382, 114.1288063 22.5178507, 114.1290195 22.5177021, 114.1292207 22.5176091, 114.1293535 22.517572, 114.1294406 22.5175695, 114.1295372 22.5176116, 114.1296016 22.5176884, 114.129708 22.5179387, 114.1297732 22.5180923, 114.1298233 22.5183228, 114.1299193 22.5185701, 114.1299368 22.5186151, 114.1299529 22.5186882, 114.1299596 22.5188715, 114.1299798 22.5189285, 114.1300312 22.5190164, 114.1301782 22.5192679, 114.1302279 22.5193175, 114.1302761 22.5193361, 114.1303244 22.5193348, 114.1303647 22.5193101, 114.1303928 22.5192667, 114.1304116 22.5192209, 114.1304545 22.5191465, 114.1304942 22.5191163, 114.1305538 22.519071, 114.1306382 22.5190313, 114.1307348 22.5190152, 114.1307797 22.5190055, 114.1308167 22.5189906, 114.130849 22.5189671, 114.1309499 22.5188853, 114.1309872 22.5188626, 114.1310824 22.5188048, 114.1312172 22.5187664, 114.1313027 22.5187522, 114.1313867 22.5187543, 114.1314267 22.5187676, 114.1314999 22.518792, 114.1316247 22.5188219, 114.1317325 22.5188127, 114.1318119 22.51877, 114.1320953 22.5185352, 114.1321504 22.518526, 114.1322378 22.518541, 114.1323598 22.5185954, 114.1324553 22.5186029, 114.1325407 22.5185691, 114.132561 22.5185372, 114.1325773 22.5184471, 114.132559 22.5183044, 114.132618 22.5181805, 114.1328721 22.5179307, 114.1330082 22.5177223, 114.1330265 22.5176228, 114.1330367 22.5175946, 114.13312 22.5175214, 114.1331953 22.5174575, 114.1332339 22.5173993, 114.1333091 22.517296, 114.1333989 22.5172293, 114.1334619 22.517186, 114.1335124 22.5171715, 114.1335652 22.5171773, 114.1338991 22.5174077, 114.1340426 22.5174659, 114.1341848 22.5174957, 114.1343055 22.5174821, 114.1344141 22.5174982, 114.1345281 22.5175279, 114.1346957 22.5176097, 114.1347802 22.517632, 114.1348352 22.5176282, 114.1348687 22.5176134, 114.1349197 22.5175465, 114.1349495 22.5174857, 114.1348929 22.5174709, 114.1348305 22.5174396, 114.1347341 22.5173273, 114.1347105 22.5172711, 114.1347122 22.5172071, 114.1347274 22.5171743, 114.1348136 22.5170916, 114.1348795 22.5170323, 114.1349116 22.5169683, 114.1349234 22.5169011, 114.1349099 22.5167373, 114.13492 22.5166498, 114.134932 22.5166236, 114.1349572 22.5165687, 114.1350467 22.5165031, 114.1351667 22.5164485, 114.1353272 22.5163939, 114.1354354 22.5163704, 114.1354945 22.5163361, 114.1355232 22.5162862, 114.1355215 22.5162253, 114.1354607 22.5161285, 114.1353424 22.5159303, 114.1352884 22.5157477, 114.1352512 22.5156665, 114.1351329 22.5156087, 114.1349332 22.515546)",
4129881147,4129881168,0,93870001,2,,unclassified,False,True,368.205,"LINESTRING (114.1340501 22.5108647, 114.1338301 22.511432, 114.1337141 22.5116197, 114.1337111 22.5117881, 114.1334544 22.5125567, 114.1333468 22.5126529, 114.1330004 22.5133564, 114.1326496 22.5138716)",
4129881147,4129881155,0,411275802,1,,unclassified,False,True,122.22399999999999,"LINESTRING (114.1340501 22.5108647, 114.1341353 22.5108913, 114.1341159 22.5112023, 114.1341253 22.5112196, 114.1341414 22.5112357, 114.1341662 22.5112413, 114.1343271 22.5112388, 114.1344049 22.5112438, 114.1344988 22.5112586, 114.1346999 22.5113082, 114.1347643 22.5113008, 114.1348412 22.5112667)",
4129881155,4129881160,0,255289394,1,,unclassified,False,True,168.66700000000003,"LINESTRING (114.1348412 22.5112667, 114.134898 22.5114355, 114.1349335 22.5116806, 114.1349628 22.5118995, 114.1349846 22.5119671, 114.1350139 22.5120578, 114.1351641 22.5127511)",
4129881155,4129881147,0,411275802,1,,unclassified,False,False,122.22399999999999,"LINESTRING (114.1348412 22.5112667, 114.1347643 22.5113008, 114.1346999 22.5113082, 114.1344988 22.5112586, 114.1344049 22.5112438, 114.1343271 22.5112388, 114.1341662 22.5112413, 114.1341414 22.5112357, 114.1341253 22.5112196, 114.1341159 22.5112023, 114.1341353 22.5108913, 114.1340501 22.5108647)",
4129881160,4129881155,0,255289394,1,,unclassified,False,False,168.66700000000003,"LINESTRING (114.1351641 22.5127511, 114.1350139 22.5120578, 114.1349846 22.5119671, 114.1349628 22.5118995, 114.1349335 22.5116806, 114.134898 22.5114355, 114.1348412 22.5112667)",
4129881160,4995356588,0,255289394,1,,unclassified,False,True,318.824,"LINESTRING (114.1351641 22.5127511, 114.1352401 22.5131017, 114.1352577 22.5132553, 114.1352648 22.5133169, 114.1352401 22.5135451, 114.135166 22.5137473, 114.1350996 22.5139279, 114.1350996 22.5140765, 114.1351854 22.5143788, 114.1351854 22.5146762, 114.1350728 22.5150776, 114.1350163 22.5152607, 114.1349859 22.5153777, 114.1349538 22.5155042, 114.1349332 22.515546)",
4129881160,4129881181,0,411275807,1,,residential,False,False,227.85200000000003,"LINESTRING (114.1351641 22.5127511, 114.1348693 22.5130301, 114.1348626 22.5130567, 114.1348676 22.5131004, 114.134871 22.5131488, 114.1348474 22.5133126, 114.134773 22.5134484, 114.1346547 22.5136342, 114.1346108 22.5136948, 114.1345043 22.5138418, 114.1343794 22.5141187, 114.1344009 22.5142066, 114.134299 22.5145609)",
4129881168,4129881147,0,93870001,2,,unclassified,False,False,368.20500000000004,"LINESTRING (114.1326496 22.5138716, 114.1330004 22.5133564, 114.1333468 22.5126529, 114.1334544 22.5125567, 114.1337111 22.5117881, 114.1337141 22.5116197, 114.1338301 22.511432, 114.1340501 22.5108647)",
4129881168,4129882693,0,93870001,2,,unclassified,False,True,260.12399999999997,"LINESTRING (114.1326496 22.5138716, 114.132451 22.514114, 114.1318735 22.5147081, 114.1312754 22.5151748, 114.1308191 22.5154683)",
