u,v,key,osmid,bridge,oneway,highway,reversed,length,lanes,ref,name,geometry,access,maxspeed
1441786493,7656321511,0,996181414,,True,tertiary,False,31.346000000000004,,,国花路,"LINESTRING (114.0609728 22.5210538, 114.0610584 22.5209344, 114.061088 22.5209017, 114.0611547 22.520828)",,
1441786494,503304545,0,996181412,,True,secondary,False,6.543,2,,金田路,"LINESTRING (114.061045 22.5210989, 114.0610099 22.521148)",,
1441786494,7656321494,0,1054407543,,True,primary,False,32.864,3,,福强路,"LINESTRING (114.061045 22.5210989, 114.0613092 22.5212656)",,
1492216900,2784308486,0,"[478190465, 478190466, 135960931, 273589338, 478740061, 478740062]",yes,True,primary,False,1356.2139999999997,,,,"LINESTRING (114.0717822 22.5202649, 114.0722777 22.520079, 114.0724095 22.5200434, 114.0725402 22.5200239, 114.0726511 22.5200209, 114.0727594 22.5200356, 114.0728689 22.5200663, 114.0729653 22.5201135, 114.0730346 22.5201618, 114.0730993 22.5202231, 114.0731487 22.5203012, 114.0731787 22.5203801, 114.0732004 22.5204795, 114.0731924 22.5205524, 114.0731633 22.5206331, 114.0731208 22.5207069, 114.0730698 22.5207618, 114.0730054 22.5208092, 114.0729032 22.5208626, 114.0727656 22.5209469, 114.0727007 22.520991, 114.0726393 22.5210471, 114.0725961 22.5211159, 114.0725662 22.5211821, 114.0725534 22.5212577, 114.0725692 22.5213624, 114.0733222 22.5233385, 114.0733862 22.5235073, 114.0737974 22.5245927, 114.0739034 22.5248635, 114.0742068 22.5256598, 114.0744041 22.5261776, 114.0744576 22.5263181, 114.074637 22.5267887, 114.0746508 22.5268428, 114.0746505 22.5268902, 114.074637 22.5269419, 114.0746113 22.5269879, 114.0745765 22.5270253, 114.0745325 22.5270551, 114.0744723 22.5270773, 114.0723063 22.5277562, 114.0722559 22.5277871, 114.0722232 22.527828, 114.0722088 22.5278663, 114.0722046 22.5278983, 114.0722092 22.5279423, 114.0722279 22.5280006, 114.0722362 22.5280228, 114.0722679 22.5281078, 114.0722939 22.5281772, 114.0723215 22.5282514, 114.0723518 22.5283325, 114.0723812 22.5284112, 114.0724091 22.528486, 114.0724381 22.5285635, 114.0724416 22.5285897, 114.0724363 22.5286153, 114.0724185 22.5286393, 114.0723889 22.5286556, 114.0722937 22.5286855, 114.0721461 22.5287317)",no,
1492217229,2784846013,0,135960951,,False,unclassified,False,28.633,,,,"LINESTRING (114.0715903 22.5272128, 114.0718536 22.5271282)",,
1492217229,2784308484,0,135960951,,False,unclassified,True,10.202,,,,"LINESTRING (114.0715903 22.5272128, 114.0714964 22.5272427)",,
1492217229,1492217234,0,729209696,,True,tertiary,False,80.446,,,福田南路,"LINESTRING (114.0715903 22.5272128, 114.0718407 22.5278983)",,
1492217234,2784308483,0,273649892,,False,residential,False,10.98,,,,"LINESTRING (114.0718407 22.5278983, 114.0717392 22.5279293)",,
1492217234,2784846013,0,"[273649886, 135960951]",,False,unclassified,True,117.321,,,,"LINESTRING (114.0718407 22.5278983, 114.0720738 22.5278259, 114.0721373 22.5277055, 114.0719176 22.5271076, 114.0718536 22.5271282)",,
1492217234,2784308486,0,729209696,,True,tertiary,False,97.83500000000001,,,福田南路,"LINESTRING (114.0718407 22.5278983, 114.0721089 22.5286303, 114.0721461 22.5287317)",,
1783922717,1783922767,0,166998786,,False,residential,True,44.622,,,,"LINESTRING (114.0605196 22.5214238, 114.0604168 22.5218137)",,
1783922767,1783922717,0,166998786,,False,residential,False,44.622,,,,"LINESTRING (114.0604168 22.5218137, 114.0605196 22.5214238)",,
1783922767,8168061620,0,166998833,,False,residential,True,30.252,,,,"LINESTRING (114.0604168 22.5218137, 114.0607025 22.5218798)",,
2376737475,7640452829,0,229035385,,False,residential,False,37.531,2,,吉龙七街,"LINESTRING (114.0627189 22.5279698, 114.0628339 22.5279696, 114.0629003 22.5279694, 114.0630843 22.5279691)",,
2376737475,2376737480,0,229035385,,False,residential,True,117.758,2,,吉龙七街,"LINESTRING (114.0627189 22.5279698, 114.062315 22.5279691, 114.0620638 22.5279687, 114.0620115 22.527965, 114.061968 22.5279545, 114.0619385 22.5279412, 114.0619163 22.527923, 114.061902 22.5278996, 114.0618972 22.5278735, 114.0618967 22.5278456, 114.0619352 22.5276235)",,
2376737475,2376737510,0,229035386,,False,living_street,True,152.564,,,,"LINESTRING (114.0627189 22.5279698, 114.0627331 22.5273337, 114.0627257 22.5272928, 114.0627033 22.5272482, 114.0626611 22.5272142, 114.0625974 22.5271964, 114.0621426 22.5271991, 114.0620215 22.5271998)",permissive,
2376737480,8168061668,0,229035385,,False,residential,True,43.171,2,,吉龙七街,"LINESTRING (114.0619352 22.5276235, 114.0615149 22.5276203)",,
2376737480,2376737510,0,815147470,,False,residential,False,47.94,2,,龙秋三街,"LINESTRING (114.0619352 22.5276235, 114.0620215 22.5271998)",,
2376737480,2376737475,0,229035385,,False,residential,False,117.758,2,,吉龙七街,"LINESTRING (114.0619352 22.5276235, 114.0618967 22.5278456, 114.0618972 22.5278735, 114.061902 22.5278996, 114.0619163 22.527923, 114.0619385 22.5279412, 114.061968 22.5279545, 114.0620115 22.527965, 114.0620638 22.5279687, 114.062315 22.5279691, 114.0627189 22.5279698)",,
2376737497,7640444024,0,229035382,,False,residential,False,4.377,2,,龙秋四街,"LINESTRING (114.0616787 22.5268297, 114.0616709 22.5268684)",,
2376737497,8869177729,0,229035382,,False,residential,True,95.813,2,,龙秋四街,"LINESTRING (114.0616787 22.5268297, 114.0617427 22.5264638, 114.0618154 22.5260479, 114.0618277 22.5259791)",,
