u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,ref,lanes,tunnel,access,maxspeed
1342323056,8889975157,0,961016501,False,residential,False,275.54799999999994,,"LINESTRING (114.0355062 22.5642736, 114.0349028 22.5641304, 114.0344805 22.5640302, 114.0342649 22.5639852, 114.0340416 22.5639387, 114.0338771 22.5639092, 114.0336699 22.5638879, 114.0335267 22.5638782, 114.0330642 22.5638684, 114.0329471 22.5638698, 114.032872 22.563872)",,,,,,
1476460478,549760799,0,45569111,True,trunk,False,93.9,北环大道,"LINESTRING (114.0214276 22.5601667, 114.0219675 22.5602274, 114.0223347 22.5602733)",,G107,,,,
1476460505,5273698041,0,25680279,True,trunk_link,False,131.94,,"LINESTRING (114.0238373 22.5607054, 114.0225639 22.5605471)",,,1,,,
1719396409,2529006349,0,245770381,False,residential,True,111.94300000000001,梅亭路,"LINESTRING (114.0271189 22.5685259, 114.0270662 22.5684112, 114.0270082 22.5681972, 114.0269653 22.567895, 114.026976 22.5675384)",,,,,,
1719396409,2535929907,0,246568355,False,residential,True,191.60399999999998,,"LINESTRING (114.0271189 22.5685259, 114.0265812 22.5686826, 114.0264173 22.5687362, 114.0260555 22.5677493)",,,,,,
1719396409,2529006297,0,"[1050511770, 1050511771, 868320846]",True,tertiary,False,125.23,梅山街,"LINESTRING (114.0271189 22.5685259, 114.0272795 22.5684782, 114.0276495 22.5683561, 114.0277142 22.5683347, 114.0281388 22.5681946, 114.0282691 22.5681516)",,,2,,,
2528818909,8324496464,0,996207974,True,primary,False,51.497,北环大道辅路,"LINESTRING (114.0368015 22.5633537, 114.036306 22.5632822)",,,1,,,
2528818941,7979925037,0,"[245746035, 245746036, 245746030]",False,residential,"[False, True]",100.008,,"LINESTRING (114.0375128 22.5635409, 114.0375227 22.5634945, 114.0376701 22.5627978, 114.037696 22.5626576)",,,,yes,,
2528818941,8324496464,0,245746033,True,residential,False,128.014,,"LINESTRING (114.0375128 22.5635409, 114.0365577 22.5633766, 114.0364974 22.5633657, 114.0364374 22.5633501, 114.0363845 22.563329, 114.0363454 22.5633099, 114.036306 22.5632822)",,,,,,
2529006269,8095426122,0,1052079689,True,primary,False,135.588,北环大道辅路,"LINESTRING (114.0269029 22.5617206, 114.0256094 22.5614756)",,,1,,,
2529006269,8095426132,0,245770390,False,unclassified,True,138.67499999999998,,"LINESTRING (114.0269029 22.5617206, 114.0268437 22.5617604, 114.0266289 22.5628258, 114.02661 22.56292)",,,,,,
2529006292,2529006357,0,245770386,False,residential,False,295.503,,"LINESTRING (114.0292922 22.5689524, 114.0294541 22.5689276, 114.0304572 22.568784, 114.030704 22.568779, 114.0321422 22.5689625)",,,,,,
2529006292,8093679979,0,245770386,False,residential,True,137.57799999999997,,"LINESTRING (114.0292922 22.5689524, 114.0291107 22.5688979, 114.0289391 22.5687889, 114.028721 22.5687427, 114.0286667 22.56871, 114.0286145 22.5686641, 114.0284694 22.568486, 114.0283866 22.5683695, 114.0283506 22.5683107, 114.0283246 22.5682633, 114.0283002 22.5682156)",,,,,,
2529006297,8093679979,0,868320847,False,residential,False,7.8,,"LINESTRING (114.0282691 22.5681516, 114.0283002 22.5682156)",,,,,,
2529006297,2529006405,0,245770380,False,residential,True,161.315,,"LINESTRING (114.0282691 22.5681516, 114.0282404 22.568089, 114.0282253 22.5680519, 114.0282139 22.5680198, 114.0282018 22.5679795, 114.0281887 22.5679292, 114.0281714 22.567853, 114.0281621 22.5677917, 114.0281576 22.5677348, 114.0281548 22.5676701, 114.0281577 22.567606, 114.0281648 22.5675374, 114.0281728 22.5674819, 114.0281861 22.5674314, 114.0282634 22.5673055, 114.0283171 22.5671371, 114.0283815 22.5669935, 114.0285283 22.5667985)",,,,,,
2529006297,8093680014,0,868320846,True,tertiary,False,235.319,梅山街,"LINESTRING (114.0282691 22.5681516, 114.0283586 22.568122, 114.0303132 22.5674768, 114.0304271 22.5674392)",,,2,,,
2529006312,2529006404,0,245770385,False,residential,True,173.273,,"LINESTRING (114.0336868 22.567179, 114.0335091 22.5673047, 114.0330748 22.567612, 114.0329478 22.5678416, 114.0324318 22.568187)",,,,,,
2529006312,8096983762,0,916581526,True,secondary,False,82.20700000000001,梅林路,"LINESTRING (114.0336868 22.567179, 114.0336413 22.5671377, 114.033591 22.5670904, 114.033534 22.5670343, 114.0334758 22.5669729, 114.0334139 22.5669017, 114.033356 22.56683, 114.033306 22.5667629, 114.0332581 22.5666927, 114.0332208 22.5666291, 114.0332029 22.5665948)",,,2,,,
2529006349,2535929907,0,246568331,False,residential,False,97.383,,"LINESTRING (114.026976 22.5675384, 114.0260555 22.5677493)",,,,,,
2529006349,1719396409,0,245770381,False,residential,False,111.943,梅亭路,"LINESTRING (114.026976 22.5675384, 114.0269653 22.567895, 114.0270082 22.5681972, 114.0270662 22.5684112, 114.0271189 22.5685259)",,,,,,
2529006349,2529006379,0,245770381,False,residential,True,177.35,梅亭路,"LINESTRING (114.026976 22.5675384, 114.0270354 22.5672053, 114.0270994 22.566934, 114.0272265 22.5666146, 114.0273837 22.5663693, 114.0276236 22.5660927)",,,,,,
2529006357,2529006404,0,245770385,False,residential,False,91.215,,"LINESTRING (114.0321422 22.5689625, 114.0322007 22.5688038, 114.0324318 22.568187)",,,,,,
2529006357,2529006390,0,245770386,False,residential,False,185.425,,"LINESTRING (114.0321422 22.5689625, 114.0326137 22.5691208, 114.0337158 22.5697647)",,,,,,
2529006357,2529006292,0,245770386,False,residential,True,295.503,,"LINESTRING (114.0321422 22.5689625, 114.030704 22.568779, 114.0304572 22.568784, 114.0294541 22.5689276, 114.0292922 22.5689524)",,,,,,
2529006379,2529006349,0,245770381,False,residential,False,177.35000000000002,梅亭路,"LINESTRING (114.0276236 22.5660927, 114.0273837 22.5663693, 114.0272265 22.5666146, 114.0270994 22.566934, 114.0270354 22.5672053, 114.026976 22.5675384)",,,,,,
2529006379,8093680008,0,245770381,False,residential,True,212.87099999999998,梅亭路,"LINESTRING (114.0276236 22.5660927, 114.027786 22.5659383, 114.028022 22.5657749, 114.0283278 22.5656064, 114.0286497 22.5654677, 114.0289501 22.5653835, 114.0293306 22.565324, 114.0294082 22.5653139, 114.0294633 22.5653076)",,,,,,
2529006379,2529006405,0,246568775,False,residential,True,121.61,,"LINESTRING (114.0276236 22.5660927, 114.0280785 22.5664475, 114.0285283 22.5667985)",,,,,,
2529006390,8090185981,0,245770386,False,residential,False,8.534,,"LINESTRING (114.0337158 22.5697647, 114.0337864 22.5698052)",,,,,,
2529006390,8090186075,0,27104763,True,tertiary,False,231.714,梅丽路,"LINESTRING (114.0337158 22.5697647, 114.033763 22.5697069, 114.0337971 22.569665, 114.0345205 22.5687775, 114.0346075 22.5686707, 114.0350728 22.5680997)",,,,,,
2529006390,2529006357,0,245770386,False,residential,True,185.425,,"LINESTRING (114.0337158 22.5697647, 114.0326137 22.5691208, 114.0321422 22.5689625)",,,,,,
2529006404,2529006312,0,245770385,False,residential,False,173.27300000000002,,"LINESTRING (114.0324318 22.568187, 114.0329478 22.5678416, 114.0330748 22.567612, 114.0335091 22.5673047, 114.0336868 22.567179)",,,,,,
2529006404,2529006357,0,245770385,False,residential,True,91.215,,"LINESTRING (114.0324318 22.568187, 114.0322007 22.5688038, 114.0321422 22.5689625)",,,,,,
2529006404,8093679968,0,246568332,False,residential,False,226.073,,"LINESTRING (114.0324318 22.568187, 114.0306825 22.5678299, 114.0305313 22.5674778)",,,,,,
2529006405,2529006297,0,245770380,False,residential,False,161.315,,"LINESTRING (114.0285283 22.5667985, 114.0283815 22.5669935, 114.0283171 22.5671371, 114.0282634 22.5673055, 114.0281861 22.5674314, 114.0281728 22.5674819, 114.0281648 22.5675374, 114.0281577 22.567606, 114.0281548 22.5676701, 114.0281576 22.5677348, 114.0281621 22.5677917, 114.0281714 22.567853, 114.0281887 22.5679292, 114.0282018 22.5679795, 114.0282139 22.5680198, 114.0282253 22.5680519, 114.0282404 22.568089, 114.0282691 22.5681516)",,,,,,
2529006405,8093679996,0,245770380,False,residential,True,131.706,,"LINESTRING (114.0285283 22.5667985, 114.0287031 22.5666688, 114.0287835 22.5665588, 114.0291655 22.5663823, 114.0295299 22.5662779, 114.0296235 22.5662319)",,,,,,
2529006405,2529006379,0,246568775,False,residential,False,121.61,,"LINESTRING (114.0285283 22.5667985, 114.0280785 22.5664475, 114.0276236 22.5660927)",,,,,,
2530244828,1116534561,0,545681203,True,primary,False,254.221,北环大道辅路,"LINESTRING (114.0340656 22.5619789, 114.0363742 22.5623768, 114.036498 22.5624041)",,,,,,
2530244828,7985225963,0,856409083,False,residential,True,136.093,富景路,"LINESTRING (114.0340656 22.5619789, 114.0344833 22.5612003, 114.0346907 22.5609014)",,,,,,
2530612293,1116534795,0,545681203,True,primary,False,76.523,北环大道辅路,"LINESTRING (114.0271691 22.5608555, 114.0279001 22.5609893)",,,,,,
2530612316,7983583606,0,545681203,True,primary,False,160.549,北环大道辅路,"LINESTRING (114.0255797 22.5605439, 114.0271091 22.5608438)",,,,,,
2535929907,2529006349,0,246568331,False,residential,True,97.383,,"LINESTRING (114.0260555 22.5677493, 114.026976 22.5675384)",,,,,,
2535929907,4549561622,0,246568331,False,residential,False,298.96299999999997,,"LINESTRING (114.0260555 22.5677493, 114.0253963 22.5679003, 114.0249732 22.5679893, 114.0253626 22.5690539, 114.0248096 22.5692203)",,,,,,
2535929907,1719396409,0,246568355,False,residential,False,191.604,,"LINESTRING (114.0260555 22.5677493, 114.0264173 22.5687362, 114.0265812 22.5686826, 114.0271189 22.5685259)",,,,,,
2535929916,2535930003,0,246568358,False,unclassified,True,882.6820000000001,,"LINESTRING (114.0219309 22.56926, 114.0220113 22.5690495, 114.0220194 22.5687424, 114.022132 22.5680291, 114.0221803 22.567878, 114.0224754 22.5673405, 114.0225612 22.5672241, 114.0226175 22.5671622, 114.0229769 22.566964, 114.0230601 22.5668972, 114.0233739 22.56659, 114.0235456 22.5664563, 114.0236341 22.5664117, 114.0237311 22.5663952, 114.0240284 22.5663448, 114.024133 22.5663523, 114.0256109 22.5668253, 114.0257128 22.5668749, 114.0259891 22.5671894, 114.0261071 22.5673058, 114.0261786 22.5673343, 114.0265765 22.567286, 114.0266542 22.5672637, 114.0267052 22.5672315, 114.0267374 22.5671597, 114.0268008 22.5667201, 114.0268062 22.5665888, 114.0267928 22.5664996, 114.0266077 22.5660959, 114.0265679 22.5659444)",,,,,permit,
2535930003,2535929916,0,246568358,False,unclassified,False,882.6820000000001,,"LINESTRING (114.0265679 22.5659444, 114.0266077 22.5660959, 114.0267928 22.5664996, 114.0268062 22.5665888, 114.0268008 22.5667201, 114.0267374 22.5671597, 114.0267052 22.5672315, 114.0266542 22.5672637, 114.0265765 22.567286, 114.0261786 22.5673343, 114.0261071 22.5673058, 114.0259891 22.5671894, 114.0257128 22.5668749, 114.0256109 22.5668253, 114.024133 22.5663523, 114.0240284 22.5663448, 114.0237311 22.5663952, 114.0236341 22.5664117, 114.0235456 22.5664563, 114.0233739 22.56659, 114.0230601 22.5668972, 114.0229769 22.566964, 114.0226175 22.5671622, 114.0225612 22.5672241, 114.0224754 22.5673405, 114.0221803 22.567878, 114.022132 22.5680291, 114.0220194 22.5687424, 114.0220113 22.5690495, 114.0219309 22.56926)",,,,,permit,
2535930003,8093727827,0,246568358,False,unclassified,True,367.899,,"LINESTRING (114.0265679 22.5659444, 114.0265684 22.5658519, 114.0265899 22.5657578, 114.0266891 22.565634, 114.0268313 22.5655324, 114.0271665 22.5654036, 114.0272729 22.5653578, 114.0274454 22.5651369, 114.027581 22.5649615, 114.0276762 22.5648513, 114.0277325 22.5648339, 114.0278263 22.5648339, 114.0279954 22.5648141, 114.0286713 22.5649504, 114.0294077 22.5650999, 114.0294443 22.565107, 114.0295067 22.565119)",,,,,permit,
2535930003,2552496838,0,248454522,False,unclassified,False,89.45599999999999,,"LINESTRING (114.0265679 22.5659444, 114.0264745 22.5659073, 114.0264049 22.5658344, 114.0263752 22.5657661, 114.0264101 22.5657017, 114.0264798 22.5656125, 114.0267829 22.5653896)",,,,,,
2535930025,3000208860,0,1077629923,True,primary,False,23.563,北环大道辅路,"LINESTRING (114.0240118 22.5611155, 114.0237859 22.5610783)",,,1,,,
2535930025,5273698041,0,364718973,True,trunk_link,False,162.40300000000002,,"LINESTRING (114.0240118 22.5611155, 114.0232274 22.5607318, 114.0230583 22.5606696, 114.0225639 22.5605471)",,,,,,
2535936964,2535937039,0,246568779,False,residential,False,96.137,,"LINESTRING (114.0373339 22.5675597, 114.0382677 22.5674969)",,,,,,
2535936964,8090185958,0,246568779,False,residential,True,160.17399999999998,,"LINESTRING (114.0373339 22.5675597, 114.0365131 22.567317, 114.0360786 22.5671423, 114.0358795 22.5670472)",,,,,,
2535936964,8090185889,0,867935341,False,residential,True,113.706,,"LINESTRING (114.0373339 22.5675597, 114.0370827 22.5681883, 114.0369037 22.5684997)",,,,,,
2535937005,2535937045,0,246568768,False,residential,False,61.825,,"LINESTRING (114.0389032 22.5674293, 114.0391372 22.566917)",,,,,,
2535937005,2535937039,0,246568779,False,residential,True,65.685,,"LINESTRING (114.0389032 22.5674293, 114.0382677 22.5674969)",,,,,,
2535937039,2535937085,0,246568772,False,residential,False,165.625,,"LINESTRING (114.0382677 22.5674969, 114.0378632 22.566055)",,,,,,
2535937039,2535937005,0,246568779,False,residential,False,65.685,,"LINESTRING (114.0382677 22.5674969, 114.0389032 22.5674293)",,,,,,
2535937039,2535936964,0,246568779,False,residential,True,96.137,,"LINESTRING (114.0382677 22.5674969, 114.0373339 22.5675597)",,,,,,
2535937045,2535937005,0,246568768,False,residential,True,61.825,,"LINESTRING (114.0391372 22.566917, 114.0389032 22.5674293)",,,,,,
2535937085,2535937039,0,246568772,False,residential,True,165.625,,"LINESTRING (114.0378632 22.566055, 114.0382677 22.5674969)",,,,,,
2552496838,2535930003,0,248454522,False,unclassified,True,89.456,,"LINESTRING (114.0267829 22.5653896, 114.0264798 22.5656125, 114.0264101 22.5657017, 114.0263752 22.5657661, 114.0264049 22.5658344, 114.0264745 22.5659073, 114.0265679 22.5659444)",,,,,,
3000208860,5273689777,0,377719593,True,primary,False,20.879,北环大道辅路,"LINESTRING (114.0237859 22.5610783, 114.023588 22.5610352)",,,1,,,
3000208860,7983583641,0,"[868501784, 364718020, 245770382]",True,"['tertiary_link', 'tertiary']",False,255.95,下梅林一街,"LINESTRING (114.0237859 22.5610783, 114.0237465 22.5611061, 114.0237141 22.5611438, 114.0237005 22.5611761, 114.0235238 22.5621426, 114.0235205 22.5621657, 114.0235181 22.5621905, 114.0235187 22.5622105, 114.0235205 22.562232, 114.0235245 22.5622504, 114.0235298 22.5622671, 114.0235368 22.5622854, 114.0235467 22.5623048, 114.023559 22.5623204, 114.0235742 22.5623345, 114.0235893 22.5623458, 114.0236063 22.562356, 114.0236238 22.5623647, 114.0236442 22.5623727, 114.0236641 22.5623803, 114.023681 22.5623853, 114.023698 22.5623892, 114.0244193 22.562499, 114.02445 22.5625009, 114.024491 22.5624973, 114.0245214 22.5624869, 114.0245479 22.5624675, 114.024564 22.5624465, 114.0245783 22.5624188)",,,,,,
3434031587,8096983815,0,"[996597682, 996597685]",True,secondary,False,200.272,梅林路,"LINESTRING (114.0331117 22.5663238, 114.0330749 22.5661384, 114.0330528 22.5660193, 114.033035 22.5658806, 114.0329965 22.5655546, 114.0328895 22.5646499, 114.0328827 22.5645932, 114.032876 22.5645365)",,,2,,,
3687655984,3687656000,0,364718564,True,secondary_link,False,31.041000000000004,,"LINESTRING (114.0253632 22.5602912, 114.0253119 22.5603123, 114.0252521 22.5603158, 114.0252121 22.5603059, 114.0251711 22.560275, 114.0251493 22.5602415, 114.0251415 22.5601963)",,,,,,
3687655984,3687655987,0,1051842286,True,secondary_link,False,35.301,,"LINESTRING (114.0253632 22.5602912, 114.0253532 22.5603244, 114.0253508 22.5603491, 114.0253537 22.5603803, 114.0253596 22.560408, 114.0253709 22.5604316, 114.0253905 22.5604572, 114.0254131 22.5604765, 114.0254376 22.5604926, 114.025476 22.5605116, 114.0255198 22.5605315)",,,,,,
3687655987,2530612316,0,545681203,True,primary,False,6.304,北环大道辅路,"LINESTRING (114.0255198 22.5605315, 114.0255797 22.5605439)",,,,,,
3687655988,3687655987,0,545681203,True,primary,False,69.991,北环大道辅路,"LINESTRING (114.0248525 22.5604035, 114.0249644 22.5604237, 114.0252461 22.5604746, 114.0255198 22.5605315)",,,,,,
3687655988,3687656000,0,1051842285,True,secondary_link,False,42.573,,"LINESTRING (114.0248525 22.5604035, 114.0249294 22.5604003, 114.0249824 22.5603919, 114.0250354 22.5603766, 114.0250642 22.5603571, 114.0250919 22.5603244, 114.0251136 22.5602813, 114.0251415 22.5601963)",,,,,,
3687802030,8090185958,0,"[867935347, 996207973]",True,secondary,False,377.80499999999995,"['梅华路', '梅丽路']","LINESTRING (114.0388038 22.5659258, 114.0368531 22.5658058, 114.0368145 22.5658064, 114.0367735 22.5658118, 114.0367327 22.5658227, 114.0366988 22.5658364, 114.0366598 22.5658547, 114.0366234 22.5658765, 114.0365851 22.565904, 114.0365475 22.5659366, 114.0365146 22.5659711, 114.0364872 22.5660055, 114.0364582 22.566046, 114.0364359 22.5660811, 114.0358795 22.5670472)",,,2,,,
