u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
1116534680,2429850304,0,1052079671,True,,北环大道辅路,primary,False,218.48899999999998,,"LINESTRING (114.0165234 22.5598053, 114.017293 22.5597871, 114.0177759 22.5597872, 114.0184127 22.5597786, 114.0186505 22.5597673)",,
1116534703,1116534558,0,96336942,True,,,primary_link,False,209.838,,"LINESTRING (114.0147694 22.5590404, 114.0149012 22.5580892, 114.0149911 22.5574402, 114.0150414 22.5571703)",,
1116534705,5273698182,0,545681211,True,2,香蜜湖路,secondary,False,101.13300000000001,,"LINESTRING (114.0168869 22.5536998, 114.0165496 22.5541811, 114.0164894 22.5542739, 114.0164337 22.5543635, 114.0163681 22.5544725)",,
1116534740,3811078865,0,377719590,True,,,primary_link,False,46.379,,"LINESTRING (114.0151336 22.5587629, 114.0151341 22.55918)",,
1116534789,9906874992,0,1051307463,True,2,农园路,secondary,False,54.895,,"LINESTRING (114.0110013 22.5523996, 114.010495 22.552558)",,
1116534789,7987093010,0,856642326,True,,润田路,residential,False,37.872,,"LINESTRING (114.0110013 22.5523996, 114.0109307 22.5524536, 114.0108873 22.5525069, 114.0108592 22.5525706, 114.0108521 22.5526322, 114.0108576 22.5526905)",,
1116534798,1116534854,0,1052425740,True,,香蜜湖路辅路,secondary,False,257.077,,"LINESTRING (114.0157494 22.5547724, 114.0158522 22.5545648, 114.015959 22.5543639, 114.0160156 22.5542615, 114.0160713 22.5541679, 114.0161422 22.5540536, 114.0162278 22.5539196, 114.0163172 22.5537962, 114.0166132 22.5533813, 114.0167409 22.5532023, 114.0170298 22.55279)",,
1116534854,1116534625,0,96336955,True,,香蜜湖路,primary_link,False,69.619,,"LINESTRING (114.0170298 22.55279, 114.0175106 22.5523486)",,
1116534854,1116534511,0,1052425740,True,,香蜜湖路辅路,secondary,False,233.173,,"LINESTRING (114.0170298 22.55279, 114.0172355 22.5524874, 114.0173917 22.5522578, 114.0182251 22.5510632, 114.0182529 22.5510233)",,
1116534892,1116534522,0,393889262,False,,农园路,secondary,False,19.392,,"LINESTRING (114.0092038 22.5529324, 114.0093603 22.5528348)",,
1116534892,7283556629,0,393889283,False,,安托山七路,tertiary,False,44.122,,"LINESTRING (114.0092038 22.5529324, 114.0090747 22.5530324, 114.0088747 22.5531875)",,
1116534892,7283556643,0,1067522789,True,,侨香路,primary,False,45.642,,"LINESTRING (114.0092038 22.5529324, 114.0091167 22.5527884, 114.0090297 22.5526548, 114.0089764 22.5525799)",,
1116534913,1116534581,0,545681211,True,2,香蜜湖路,secondary,False,353.06999999999994,,"LINESTRING (114.0192459 22.5503288, 114.0184043 22.551511, 114.0177569 22.552466, 114.0176863 22.5525652, 114.0176139 22.5526676, 114.0175419 22.5527684, 114.0173785 22.5529946)",,
1342322910,8986992833,0,119460311,False,,侨香四道,residential,False,6.666,,"LINESTRING (114.0039809 22.5516573, 114.003916 22.5516563)",,
