u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
2883526616,2883525887,0,972309920,True,,洪湖路,tertiary,False,109.06899999999999,"LINESTRING (114.1161614 22.5664437, 114.116257 22.5666404, 114.1163088 22.566742, 114.1163605 22.5668735, 114.1165185 22.5673654)",,
2883526625,3068084319,0,45586091,True,G205,文锦北路,trunk,False,88.502,"LINESTRING (114.1180997 22.5658799, 114.11824 22.5650946)",,
2883526625,3068084267,0,302560115,False,,,residential,False,83.201,"LINESTRING (114.1180997 22.5658799, 114.1172977 22.5659866)",,
2883526633,2883526625,0,45586091,True,G205,文锦北路,trunk,False,322.618,"LINESTRING (114.117719 22.5687597, 114.1177831 22.5682545, 114.1178904 22.5673332, 114.1180997 22.5658799)",,
2883526633,6080174706,0,647431568,True,,,trunk_link,False,148.379,"LINESTRING (114.117719 22.5687597, 114.1176998 22.5686292, 114.117651 22.5685054, 114.117529 22.5684077, 114.1171997 22.5683852, 114.1168867 22.5683177, 114.1165539 22.5682281)",,
2883526638,2883526625,0,284630248,True,,,trunk_link,False,62.83,"LINESTRING (114.1179085 22.5664165, 114.1179414 22.5663078, 114.1180997 22.5658799)",,
2885151974,3068097606,0,284811727,True,,,tertiary,False,116.861,"LINESTRING (114.1016837 22.5615193, 114.1028215 22.5615414)",,
2885151974,2885151986,0,1050747508,True,,梨园路,tertiary,False,8.598,"LINESTRING (114.1016837 22.5615193, 114.1016816 22.5615966)",2,
2885151975,2885151994,0,996519931,True,,宝岗路,secondary,False,8.676,"LINESTRING (114.1067933 22.5623452, 114.1067981 22.5622673)",,
2885151975,3068097575,0,284811730,True,,,tertiary,False,290.71400000000006,"LINESTRING (114.1067933 22.5623452, 114.1067013 22.5623216, 114.106654 22.5623095, 114.1040653 22.561646)",,
2885151986,3068385796,0,284811730,True,,,tertiary,False,8.503,"LINESTRING (114.1016816 22.5615966, 114.1015988 22.5615958)",,
2885151986,2885232829,0,1050747508,True,,梨园路,tertiary,False,171.295,"LINESTRING (114.1016816 22.5615966, 114.1016631 22.563137)",2,
2885151987,2885151975,0,284811730,True,,,tertiary,False,8.068,"LINESTRING (114.1068691 22.5623261, 114.1067933 22.5623452)",,
2885151987,7088478164,0,758944550,False,,,unclassified,False,33.771,"LINESTRING (114.1068691 22.5623261, 114.1071362 22.5625033)",,
2885151987,9201427139,0,996519933,True,,宝岗路,secondary,False,432.802,"LINESTRING (114.1068691 22.5623261, 114.1068617 22.5624706, 114.1068592 22.5625177, 114.1068275 22.5644411, 114.1068365 22.5645556, 114.1068514 22.5646735, 114.1068774 22.5647988, 114.1069044 22.5649189, 114.1069214 22.564983, 114.1072641 22.5661686)",,
2885151994,2885151987,0,284811727,True,,,tertiary,False,9.793,"LINESTRING (114.1067981 22.5622673, 114.1068691 22.5623261)",,
