u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes
598723872,598723874,0,916588751,True,金花路,residential,False,144.15,"LINESTRING (114.03938 22.5090731, 114.0380177 22.5093841)",
598723872,8872362725,0,46898392,True,广兰道,unclassified,False,208.35500000000002,"LINESTRING (114.03938 22.5090731, 114.0391701 22.5082381, 114.0389627 22.5074127, 114.0389221 22.5072477)",
598723874,598723876,0,916588751,True,金花路,residential,False,198.35,"LINESTRING (114.0380177 22.5093841, 114.0361482 22.5098304)",
598723876,8872362726,0,"[958849680, 916588753, 958849682, 217564558]",False,"['桃花路', '金葵道']",residential,True,400.706,"LINESTRING (114.0361482 22.5098304, 114.0358081 22.509255, 114.0357447 22.5091586, 114.0354086 22.5086477, 114.0353793 22.5085888, 114.0353695 22.508546, 114.0353695 22.5085074, 114.0353793 22.5084673, 114.0353991 22.5084314, 114.0354354 22.5083981, 114.0354795 22.508374, 114.0355017 22.5083662, 114.0356015 22.508331, 114.0362123 22.5081318, 114.0364958 22.5080393, 114.0369401 22.5079024, 114.0374379 22.5077491)",2
8872362725,8872362726,0,916588753,False,桃花路,residential,False,162.341,"LINESTRING (114.0389221 22.5072477, 114.0387142 22.5073155, 114.0384991 22.5073886, 114.0374379 22.5077491)",2
8872362726,598723874,0,46898391,True,香樟道,unclassified,False,191.315,"LINESTRING (114.0374379 22.5077491, 114.0374724 22.5078387, 114.0380177 22.5093841)",
8872362726,598723876,0,"[958849680, 916588753, 958849682, 217564558]",False,"['桃花路', '金葵道']",residential,False,400.706,"LINESTRING (114.0374379 22.5077491, 114.0369401 22.5079024, 114.0364958 22.5080393, 114.0362123 22.5081318, 114.0356015 22.508331, 114.0355017 22.5083662, 114.0354795 22.508374, 114.0354354 22.5083981, 114.0353991 22.5084314, 114.0353793 22.5084673, 114.0353695 22.5085074, 114.0353695 22.508546, 114.0353793 22.5085888, 114.0354086 22.5086477, 114.0357447 22.5091586, 114.0358081 22.509255, 114.0361482 22.5098304)",2
8872362726,8872362725,0,916588753,False,桃花路,residential,True,162.341,"LINESTRING (114.0374379 22.5077491, 114.0384991 22.5073886, 114.0387142 22.5073155, 114.0389221 22.5072477)",2
