u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes
2312616841,8259776111,0,888419182,False,residential,True,69.896,"LINESTRING (114.0810727 22.5778309, 114.0808892 22.5775155, 114.0808486 22.5774667, 114.0808038 22.5774264, 114.0807603 22.577395, 114.0807134 22.5773657, 114.0806676 22.577343)",,,,
2312616852,2312616833,0,222277674,False,residential,False,230.373,"LINESTRING (114.0812229 22.5772835, 114.0812927 22.577125, 114.0815073 22.5769244, 114.0822341 22.5762359, 114.0829457 22.5762517)",,,,
2312616865,2312616899,0,222277671,False,residential,False,144.638,"LINESTRING (114.0820705 22.5773545, 114.0828215 22.578455)",,,,
2312616865,2312616816,0,888419182,False,residential,False,159.54000000000002,"LINESTRING (114.0820705 22.5773545, 114.082151 22.5771324, 114.0822529 22.5769294, 114.0823817 22.5768055, 114.082505 22.5767609, 114.0832432 22.5767208)",,,,
2312616865,2312616841,0,888419182,False,residential,True,250.71699999999998,"LINESTRING (114.0820705 22.5773545, 114.0816628 22.5784797, 114.0815877 22.578559, 114.0814858 22.5785887, 114.0813892 22.5785293, 114.0810727 22.5778309)",,,,
2312616872,2312616839,0,222277673,False,residential,False,24.432,"LINESTRING (114.0822636 22.5798444, 114.0824019 22.5796656)",,,,
2312616872,2312616886,0,222277673,False,residential,True,303.39500000000004,"LINESTRING (114.0822636 22.5798444, 114.0824031 22.5799855, 114.0824863 22.5800251, 114.0826365 22.580045, 114.0827142 22.5800871, 114.0827598 22.5804932, 114.0827867 22.5805551, 114.0828966 22.5805799, 114.0830066 22.5805551, 114.0830361 22.5805056, 114.0830039 22.5799583, 114.0829717 22.5798889, 114.082851 22.5797329, 114.0828215 22.5796462, 114.0829905 22.5790865)",,,,
2312616874,2312616899,0,222277671,False,residential,True,97.137,"LINESTRING (114.0831863 22.5777318, 114.083079 22.5778358, 114.0830522 22.5782767, 114.0829637 22.5783955, 114.0828215 22.578455)",,,,
2312616886,2312616872,0,222277673,False,residential,False,303.395,"LINESTRING (114.0829905 22.5790865, 114.0828215 22.5796462, 114.082851 22.5797329, 114.0829717 22.5798889, 114.0830039 22.5799583, 114.0830361 22.5805056, 114.0830066 22.5805551, 114.0828966 22.5805799, 114.0827867 22.5805551, 114.0827598 22.5804932, 114.0827142 22.5800871, 114.0826365 22.580045, 114.0824863 22.5800251, 114.0824031 22.5799855, 114.0822636 22.5798444)",,,,
2312616887,2312616816,0,222277670,False,residential,True,85.146,"LINESTRING (114.0835994 22.5774123, 114.0832432 22.5767208)",,,,
2312616899,2312616865,0,222277671,False,residential,True,144.638,"LINESTRING (114.0828215 22.578455, 114.0820705 22.5773545)",,,,
2312616899,2312616874,0,222277671,False,residential,False,97.13699999999999,"LINESTRING (114.0828215 22.578455, 114.0829637 22.5783955, 114.0830522 22.5782767, 114.083079 22.5778358, 114.0831863 22.5777318)",,,,
2312616899,2312616839,0,222277673,False,residential,True,144.545,"LINESTRING (114.0828215 22.578455, 114.0828376 22.5785813, 114.0828215 22.5787324, 114.0827277 22.5790964, 114.0826526 22.5792747, 114.0825184 22.579515, 114.0824019 22.5796656)",,,,
2312634414,8259797231,0,222278887,False,tertiary,False,399.6569999999999,"LINESTRING (114.0874483 22.5719985, 114.087352 22.5720251, 114.0866375 22.5722331, 114.0865729 22.572254, 114.0865111 22.5722758, 114.0864508 22.5723005, 114.0846266 22.5730706, 114.0845909 22.5730856, 114.0845543 22.5730996, 114.0845157 22.5731131, 114.0844766 22.573126, 114.0844345 22.5731379, 114.0843982 22.5731477, 114.0843617 22.5731573, 114.0838203 22.5732696)",,金湖路,,
2312634414,8280341128,0,222278887,False,tertiary,True,353.721,"LINESTRING (114.0874483 22.5719985, 114.0875282 22.571979, 114.0876133 22.5719614, 114.0877051 22.5719448, 114.0882533 22.571857, 114.0884283 22.5718304, 114.0885773 22.5718098, 114.0887061 22.5717937, 114.0902826 22.5716312, 114.0904511 22.5716168, 114.0906141 22.5716044, 114.0907516 22.5715969, 114.0908619 22.5715922)",,金湖路,,
2312634414,2323494857,0,223453063,False,residential,False,174.012,"LINESTRING (114.0874483 22.5719985, 114.0875801 22.5727711, 114.0875559 22.5729098, 114.0873232 22.5735151)",,,,
2312634419,7460143707,0,797641299,True,primary_link,False,60.552,"LINESTRING (114.0827093 22.5721282, 114.0825617 22.5722497, 114.0823984 22.5723841, 114.0823287 22.5724516, 114.0822815 22.5725021)",,,,
2312634419,2787061286,0,996207930,True,primary,False,91.46000000000001,"LINESTRING (114.0827093 22.5721282, 114.0824952 22.5722168, 114.0823112 22.5722895, 114.0821094 22.5723646, 114.0818871 22.5724442)",,北环大道辅路,,
2312634442,8280341086,0,890912667,True,tertiary,False,96.983,"LINESTRING (114.0852507 22.5700238, 114.0852476 22.5700441, 114.085248 22.5700603, 114.0852524 22.5700774, 114.0852621 22.5700962, 114.0852804 22.5701152, 114.0853097 22.5701353, 114.0854796 22.5702257, 114.0860007 22.570506)",,金碧路,,
2312634442,8280341060,0,996207940,True,primary,False,26.673000000000002,"LINESTRING (114.0852507 22.5700238, 114.0852355 22.5700575, 114.0852211 22.5700936, 114.0852087 22.5701291, 114.085193 22.5701734, 114.0851791 22.5702076, 114.0851595 22.5702482)",,北环大道辅路,,
2312634464,8887790538,0,797641286,True,tertiary,False,129.42100000000002,"LINESTRING (114.0832816 22.5718772, 114.0831986 22.571953, 114.0831561 22.5720026, 114.0831193 22.5720616, 114.0830932 22.5721186, 114.0830711 22.5721883, 114.0830611 22.5722494, 114.0830606 22.5723071, 114.0830666 22.5723634, 114.0830795 22.5724245, 114.0830981 22.5724784, 114.0831247 22.5725355, 114.0832543 22.5727781, 114.0832695 22.572814, 114.0832785 22.5728517, 114.0832987 22.5729352)",,银湖路,,
2312634464,2312634419,0,996207930,True,primary,False,65.075,"LINESTRING (114.0832816 22.5718772, 114.0830891 22.5719694, 114.0828842 22.5720542, 114.0827093 22.5721282)",,北环大道辅路,,
2312634475,3842643273,0,380977108,False,residential,False,22.653,"LINESTRING (114.0963575 22.5730428, 114.0962462 22.5732187)",,,,
2312634475,8272800653,0,894257283,False,tertiary,False,263.386,"LINESTRING (114.0963575 22.5730428, 114.0962949 22.57301, 114.0962471 22.5729865, 114.096202 22.5729661, 114.0961533 22.5729456, 114.0961007 22.5729267, 114.0939217 22.5723105)",,金湖路,,
2312634475,2312634477,0,894257283,False,tertiary,True,389.227,"LINESTRING (114.0963575 22.5730428, 114.0966439 22.5732017, 114.0967087 22.5732426, 114.0967735 22.5732877, 114.0968832 22.5733766, 114.0970469 22.5735255, 114.0971882 22.5736559, 114.0973216 22.5737858, 114.0974324 22.5738981, 114.0978773 22.5744058, 114.0979309 22.5744738, 114.0979742 22.5745357, 114.09802 22.574618, 114.098051 22.5746836, 114.0980851 22.5747586, 114.098118 22.5748414, 114.098143 22.5749113, 114.0981654 22.5749874, 114.0981848 22.5750785, 114.0982012 22.5751856, 114.0982153 22.5753137, 114.0982265 22.5754525, 114.0982454 22.5758683)",,金湖路,,
