u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,ref
2659087246,598153492,0,46829121,True,罗沙仙湖立交,primary_link,False,116.69500000000001,"LINESTRING (114.1580136 22.5610387, 114.1581844 22.561079, 114.1583036 22.5610825, 114.1584259 22.5610449, 114.1585345 22.5609691, 114.1586191 22.5608616, 114.1586495 22.5607562, 114.1586667 22.5606248, 114.1586479 22.5604683)",1,,
2659087246,2659087248,0,1054988470,True,罗沙路辅路,primary,False,166.793,"LINESTRING (114.1580136 22.5610387, 114.1582704 22.5611705, 114.1584857 22.561274, 114.1587459 22.561383, 114.1590383 22.561492, 114.1594906 22.5616581)",,,
2663269066,2663269111,0,996766357,True,国威路,tertiary,False,7.384,"LINESTRING (114.1573461 22.5666835, 114.157418 22.5666846)",2,,
2663269066,598153437,0,271420751,True,鹏兴路,tertiary,False,276.78099999999995,"LINESTRING (114.1573461 22.5666835, 114.1573482 22.5665633, 114.157385 22.5644413, 114.1573862 22.5643939, 114.1573913 22.5641947)",,,
2663269111,598153445,0,996766356,True,鹏兴路,tertiary,False,6.934,"LINESTRING (114.157418 22.5666846, 114.1573804 22.5667364)",,,
2663269111,2663269154,0,513597388,True,国威路,tertiary,False,101.588,"LINESTRING (114.157418 22.5666846, 114.157537 22.5666865, 114.157577 22.5666872, 114.1584072 22.5667004)",2,,
2663269154,598153453,0,46829118,False,,residential,False,152.398,"LINESTRING (114.1584072 22.5667004, 114.1584189 22.5653299)",,,
2795062382,2659084359,0,274836823,False,,residential,True,119.836,"LINESTRING (114.1548581 22.5607143, 114.1559013 22.5611974)",,,
2795062382,2795062472,0,274836836,False,,residential,False,24.523,"LINESTRING (114.1548581 22.5607143, 114.1548149 22.5609312)",,,
2795062415,2795062480,0,46829132,True,罗沙仙湖立交,primary_link,False,80.423,"LINESTRING (114.1573493 22.5628541, 114.1573329 22.5626445, 114.1573286 22.5621314)",,,
2795062415,2795062467,0,260417755,False,,residential,True,258.89099999999996,"LINESTRING (114.1573493 22.5628541, 114.1563203 22.562835, 114.1557123 22.5616381, 114.155735 22.5615864)",,,
2795062467,2795062481,0,260417755,False,,residential,True,24.712,"LINESTRING (114.155735 22.5615864, 114.1558234 22.5613797)",,,
