u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
2552479927,2552479935,0,248452024,False,,residential,False,480.24799999999993,"LINESTRING (114.00357 22.5655746, 114.0035094 22.5656769, 114.0033002 22.5659073, 114.0031983 22.5660484, 114.0030373 22.5665661, 114.0030105 22.5667593, 114.0030346 22.5668509, 114.0030776 22.5668683, 114.0031151 22.5668435, 114.00315 22.5667742, 114.003217 22.5667172, 114.0034718 22.5666478, 114.0035657 22.5666503, 114.0036408 22.566685, 114.0036998 22.5667296, 114.0036998 22.5667692, 114.0036677 22.5668138, 114.0035282 22.5669178, 114.0034584 22.5669748, 114.0032734 22.5672249, 114.0030722 22.5674181, 114.0029569 22.5674999, 114.0028979 22.5675147, 114.0028844 22.567537, 114.0029086 22.5675692, 114.0029569 22.5675791, 114.0030642 22.5675519, 114.0033029 22.5675123, 114.003732 22.5674479, 114.0039842 22.5674429)",,,,
2552479927,2552479944,0,248452024,False,,residential,True,246.903,"LINESTRING (114.00357 22.5655746, 114.0035942 22.5654981, 114.003606 22.5653203, 114.0036596 22.5652038, 114.0037615 22.5651147, 114.0040995 22.5645698, 114.0042416 22.5644236, 114.004475 22.5642057, 114.0046225 22.564067, 114.0048482 22.5637479)",,,,
2552479935,2552479927,0,248452024,False,,residential,True,480.24800000000005,"LINESTRING (114.0039842 22.5674429, 114.003732 22.5674479, 114.0033029 22.5675123, 114.0030642 22.5675519, 114.0029569 22.5675791, 114.0029086 22.5675692, 114.0028844 22.567537, 114.0028979 22.5675147, 114.0029569 22.5674999, 114.0030722 22.5674181, 114.0032734 22.5672249, 114.0034584 22.5669748, 114.0035282 22.5669178, 114.0036677 22.5668138, 114.0036998 22.5667692, 114.0036998 22.5667296, 114.0036408 22.566685, 114.0035657 22.5666503, 114.0034718 22.5666478, 114.003217 22.5667172, 114.00315 22.5667742, 114.0031151 22.5668435, 114.0030776 22.5668683, 114.0030346 22.5668509, 114.0030105 22.5667593, 114.0030373 22.5665661, 114.0031983 22.5660484, 114.0033002 22.5659073, 114.0035094 22.5656769, 114.00357 22.5655746)",,,,
2552479944,2552479842,0,248452024,False,,residential,True,34.927,"LINESTRING (114.0048482 22.5637479, 114.0049081 22.5634387)",,,,
2552479944,2552479841,0,"[248452018, 248452027]",False,,residential,False,74.01,"LINESTRING (114.0048482 22.5637479, 114.0050678 22.5639679, 114.0052779 22.5642787)",,,,yes
2552479944,2552479927,0,248452024,False,,residential,False,246.90299999999996,"LINESTRING (114.0048482 22.5637479, 114.0046225 22.564067, 114.004475 22.5642057, 114.0042416 22.5644236, 114.0040995 22.5645698, 114.0037615 22.5651147, 114.0036596 22.5652038, 114.003606 22.5653203, 114.0035942 22.5654981, 114.00357 22.5655746)",,,,
2552479949,2552479977,0,248452017,False,,residential,True,188.97699999999998,"LINESTRING (114.0049202 22.5667494, 114.0050731 22.5667172, 114.0051536 22.5666701, 114.0052743 22.5665909, 114.0053923 22.5664423, 114.0054379 22.5663655, 114.0055452 22.5662862, 114.0056444 22.5662218, 114.0057169 22.5661228, 114.0058912 22.5658825, 114.0060146 22.5657165, 114.0061532 22.5655511)",,,,
2552479977,2552479949,0,248452017,False,,residential,False,188.97700000000003,"LINESTRING (114.0061532 22.5655511, 114.0060146 22.5657165, 114.0058912 22.5658825, 114.0057169 22.5661228, 114.0056444 22.5662218, 114.0055452 22.5662862, 114.0054379 22.5663655, 114.0053923 22.5664423, 114.0052743 22.5665909, 114.0051536 22.5666701, 114.0050731 22.5667172, 114.0049202 22.5667494)",,,,
2552479977,2552479792,0,248452027,False,,residential,False,212.24699999999999,"LINESTRING (114.0061532 22.5655511, 114.0060629 22.565833, 114.0058751 22.5665141, 114.0058241 22.5666776, 114.0057812 22.5667321, 114.0057088 22.5667766, 114.0054889 22.5668633, 114.0054218 22.5669203, 114.0052475 22.5671605)",,,,
2552479977,2552479841,0,248452027,False,,residential,True,189.61100000000002,"LINESTRING (114.0061532 22.5655511, 114.006197 22.5654144, 114.0062211 22.5653302, 114.0062104 22.5652583, 114.0061487 22.5651766, 114.0058885 22.5649933, 114.0054755 22.5647927, 114.0053923 22.5647184, 114.0053709 22.5645326, 114.0053762 22.5644509, 114.0052779 22.5642787)",,,,
