u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
3066529092,3066529988,0,302394742,False,,residential,False,113.632,"LINESTRING (114.1345883 22.5655731, 114.1337765 22.5648786)",,
3066529092,3066529095,0,302394740,False,,residential,False,143.93400000000003,"LINESTRING (114.1345883 22.5655731, 114.1342692 22.5659972, 114.1341568 22.5661466, 114.134045 22.5662952, 114.1339295 22.5664487, 114.1337945 22.5665852, 114.1337628 22.5666172)",,
3066529094,3066530010,0,302394740,False,,residential,False,63.17,"LINESTRING (114.132548 22.5682471, 114.1322691 22.5684849, 114.1320921 22.5686285)",,
3066529094,3066529095,0,302394740,False,,residential,True,220.284,"LINESTRING (114.132548 22.5682471, 114.1326929 22.5680836, 114.1331483 22.5674872, 114.1334898 22.5670333, 114.1336306 22.5668461, 114.1337628 22.5666172)",,
3066529094,3066529945,0,"[302394746, 302394750]",False,,residential,False,284.142,"LINESTRING (114.132548 22.5682471, 114.1324882 22.5680918, 114.1324601 22.5679387, 114.1324402 22.5677547, 114.1323921 22.5675318, 114.1323315 22.5673482, 114.1322413 22.5671901, 114.1321157 22.5670438, 114.1318238 22.5667833, 114.1316697 22.5666516, 114.1322226 22.5661772)",,
3066529095,3066529949,0,302394747,False,,residential,True,77.118,"LINESTRING (114.1337628 22.5666172, 114.1343563 22.5670422)",,
3066529095,3066529094,0,302394740,False,,residential,False,220.28399999999996,"LINESTRING (114.1337628 22.5666172, 114.1336306 22.5668461, 114.1334898 22.5670333, 114.1331483 22.5674872, 114.1326929 22.5680836, 114.132548 22.5682471)",,
3066529095,3066529092,0,302394740,False,,residential,True,143.934,"LINESTRING (114.1337628 22.5666172, 114.1337945 22.5665852, 114.1339295 22.5664487, 114.134045 22.5662952, 114.1341568 22.5661466, 114.1342692 22.5659972, 114.1345883 22.5655731)",,
3066529098,3066529946,0,31420408,False,黄贝路,tertiary,False,66.77600000000001,"LINESTRING (114.1387934 22.5641087, 114.138908 22.5642896, 114.1390446 22.5644393, 114.1392006 22.564571)",,2
3066529098,4472714272,0,31420408,False,黄贝路,tertiary,True,205.39999999999998,"LINESTRING (114.1387934 22.5641087, 114.1387123 22.5639828, 114.1377213 22.5625493)",,2
3066529102,1145409828,0,996321278,True,爱国路,trunk,False,171.042,"LINESTRING (114.1357722 22.5665842, 114.1347298 22.5653844)",G107,4
3066529102,3066529959,0,302394738,False,,residential,True,143.20499999999998,"LINESTRING (114.1357722 22.5665842, 114.1356055 22.5667173, 114.1354622 22.5668318, 114.1351156 22.5670967, 114.1350558 22.5671424, 114.1351322 22.5672323, 114.1348842 22.5674382)",,
3066529115,3066529992,0,302394748,False,罗湖新泰街,residential,True,181.923,"LINESTRING (114.1358434 22.5672966, 114.1355328 22.5675442, 114.1354125 22.5676774, 114.1347715 22.5685852)",,
3066529115,3066529957,0,302394753,False,,residential,False,58.862,"LINESTRING (114.1358434 22.5672966, 114.1358068 22.5671598, 114.1358118 22.5670562, 114.1358439 22.566977, 114.1359087 22.5668873, 114.1359766 22.5668195)",,
3066529115,3066529132,0,302394753,False,,residential,True,154.46699999999998,"LINESTRING (114.1358434 22.5672966, 114.1359217 22.5674104, 114.1367478 22.5684061)",,
3066529130,3066529945,0,302394744,False,,residential,True,72.239,"LINESTRING (114.1316576 22.5657901, 114.1322226 22.5661772)",,
3066529130,3066529086,0,302394751,False,,residential,True,71.559,"LINESTRING (114.1316576 22.5657901, 114.1310943 22.566169)",,
3066529130,3066529956,0,302394751,False,,residential,False,265.203,"LINESTRING (114.1316576 22.5657901, 114.1323335 22.5652957, 114.1326119 22.5650921, 114.1328645 22.5648711, 114.1331113 22.5645987, 114.1335074 22.564143)",,
3066529131,3066529956,0,564227353,True,爱国路辅路,primary,False,78.341,"LINESTRING (114.1339834 22.5646936, 114.1335074 22.564143)",,1
3066529131,3066529988,0,302394750,False,,residential,True,29.579,"LINESTRING (114.1339834 22.5646936, 114.1339419 22.5647276, 114.1337765 22.5648786)",,
3066529132,3066529115,0,302394753,False,,residential,False,154.46699999999998,"LINESTRING (114.1367478 22.5684061, 114.1359217 22.5674104, 114.1358434 22.5672966)",,
3066529945,3066529130,0,302394744,False,,residential,False,72.239,"LINESTRING (114.1322226 22.5661772, 114.1316576 22.5657901)",,
3066529945,3066529988,0,302394750,False,,residential,False,215.196,"LINESTRING (114.1322226 22.5661772, 114.1327143 22.5657663, 114.1328503 22.5656526, 114.133004 22.5655242, 114.1331542 22.5653987, 114.1333025 22.5652748, 114.1337765 22.5648786)",,
3066529945,3066529094,0,"[302394746, 302394750]",False,,residential,True,284.142,"LINESTRING (114.1322226 22.5661772, 114.1316697 22.5666516, 114.1318238 22.5667833, 114.1321157 22.5670438, 114.1322413 22.5671901, 114.1323315 22.5673482, 114.1323921 22.5675318, 114.1324402 22.5677547, 114.1324601 22.5679387, 114.1324882 22.5680918, 114.132548 22.5682471)",,
3066529946,4472714139,0,"[31420408, 996762411]",False,黄贝路,tertiary,False,78.359,"LINESTRING (114.1392006 22.564571, 114.1393181 22.564662, 114.1393862 22.5647158, 114.139789 22.5650197)",,2
3066529946,3066529098,0,31420408,False,黄贝路,tertiary,True,66.776,"LINESTRING (114.1392006 22.564571, 114.1390446 22.5644393, 114.138908 22.5642896, 114.1387934 22.5641087)",,2
3066529946,9761601806,0,302394749,True,沿河北路辅路,primary,False,39.641999999999996,"LINESTRING (114.1392006 22.564571, 114.1390256 22.5646696, 114.1389091 22.5647976)",S360,
3066529949,3066529095,0,302394747,False,,residential,False,77.118,"LINESTRING (114.1343563 22.5670422, 114.1337628 22.5666172)",,
3066529949,9303224675,0,1008380379,False,,residential,False,27.538,"LINESTRING (114.1343563 22.5670422, 114.1341473 22.5671974)",,
