u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,access,tunnel
2657841795,3175001956,0,394141076,False,,新秀路,tertiary,True,185.807,"LINESTRING (114.1431167 22.5503417, 114.1449104 22.5505609)",,,,,
2657841795,2657841790,0,"[260315002, 390427947, 260314998]",False,,新秀路,secondary,False,155.974,"LINESTRING (114.1431167 22.5503417, 114.1426212 22.5502457, 114.1421151 22.5501634, 114.1417212 22.5501112, 114.1416213 22.5500993)",,yes,,,
2657841795,2760252165,0,996625953,False,,罗芳路,secondary,True,234.321,"LINESTRING (114.1431167 22.5503417, 114.1431396 22.5504234, 114.1431544 22.5505052, 114.1434505 22.5524258)",40,,,,
2659084367,7849488930,0,260417752,False,,,residential,False,137.954,"LINESTRING (114.1543672 22.5587708, 114.1542338 22.5588515, 114.1541459 22.5588961, 114.1540064 22.5589803, 114.1537039 22.5591887, 114.1532536 22.5589141)",,,,,
2659084367,6384755794,0,815469514,True,S360,罗沙公路,trunk,False,424.904,"LINESTRING (114.1543672 22.5587708, 114.1539775 22.5584618, 114.1531537 22.5577849, 114.1527611 22.5574724, 114.1524872 22.5572577, 114.1522688 22.557105, 114.151991 22.5569202, 114.1517712 22.5567974, 114.1515348 22.5566831, 114.1513158 22.5565876, 114.1511736 22.5565357, 114.1510724 22.5564988)",,,,,
2659534435,2659084367,0,815469514,True,S360,罗沙公路,trunk,False,134.122,"LINESTRING (114.1553583 22.5595564, 114.1543672 22.5587708)",,,,,
2659534466,2659534558,0,1049621109,True,,罗沙路辅路,trunk_link,False,59.846,"LINESTRING (114.1546193 22.5584532, 114.1548915 22.5589291)",,,,,
2659534466,9202584158,0,"[840875192, 1049508302]",True,,,residential,False,597.7869999999999,"LINESTRING (114.1546193 22.5584532, 114.1547684 22.5584573, 114.1549479 22.5584363, 114.1550407 22.5583982, 114.1550985 22.5583049, 114.1551129 22.5582401, 114.1550943 22.5581487, 114.154985 22.5579639, 114.1545849 22.5574477, 114.1536436 22.5562755, 114.1533183 22.5558704, 114.1530973 22.5556955, 114.1528156 22.5555386, 114.1525177 22.5553985, 114.1516369 22.5550145, 114.1515245 22.5549526)",,,2,,
2659534558,598153554,0,996635480,True,S360,罗沙公路,trunk,False,171.501,"LINESTRING (114.1548915 22.5589291, 114.1561509 22.5599421)",,,,,
2760252002,2760252066,0,271072779,False,,,unclassified,False,197.183,"LINESTRING (114.1463265 22.5539179, 114.1466296 22.5536355, 114.1466805 22.5536083, 114.1467422 22.5535934, 114.1470346 22.5535587, 114.1471419 22.553529, 114.1472679 22.5534695, 114.1479197 22.5531673, 114.1479868 22.5531128)",,,,,
2760252002,2760252029,0,271072785,False,,,unclassified,False,161.46800000000002,"LINESTRING (114.1463265 22.5539179, 114.1462648 22.5538411, 114.1452616 22.5528503)",,,,,
2760252002,2760252113,0,271072785,False,,,unclassified,True,31.052,"LINESTRING (114.1463265 22.5539179, 114.1463479 22.5539823, 114.1463479 22.5540393, 114.1462995 22.5541876)",,,,,
2760252029,2760252002,0,271072785,False,,,unclassified,True,161.46800000000002,"LINESTRING (114.1452616 22.5528503, 114.1462648 22.5538411, 114.1463265 22.5539179)",,,,,
2760252048,2760252165,0,309746081,False,,经一路,tertiary,False,94.244,"LINESTRING (114.1443682 22.5524333, 114.1434505 22.5524258)",,,,,
2760252048,2760252113,0,99005548,True,,经二路,tertiary,False,278.383,"LINESTRING (114.1443682 22.5524333, 114.14512 22.553052, 114.1462995 22.5541876)",,,2,,
2760252048,3175001956,0,271072782,False,,经二路,tertiary,True,223.327,"LINESTRING (114.1443682 22.5524333, 114.1444194 22.5523367, 114.1444807 22.5522313, 114.1445575 22.5521104, 114.1448995 22.5515919, 114.144921 22.551525, 114.1449104 22.5505609)",,,,,
2760252066,2760252002,0,271072779,False,,,unclassified,True,197.183,"LINESTRING (114.1479868 22.5531128, 114.1479197 22.5531673, 114.1472679 22.5534695, 114.1471419 22.553529, 114.1470346 22.5535587, 114.1467422 22.5535934, 114.1466805 22.5536083, 114.1466296 22.5536355, 114.1463265 22.5539179)",,,,,
2760252093,5471167569,0,271072777,False,,,residential,True,146.541,"LINESTRING (114.1458195 22.5519981, 114.1458047 22.5506803)",,,,,
2760252113,6507282443,0,99005548,True,,经二路,tertiary,False,92.035,"LINESTRING (114.1462995 22.5541876, 114.1463679 22.5542768, 114.1463989 22.5543617, 114.1464028 22.5544766, 114.1463315 22.5549446, 114.1463269 22.5549856)",,,2,,
2760252113,2760252151,0,271072780,False,,,unclassified,False,90.99000000000001,"LINESTRING (114.1462995 22.5541876, 114.1464606 22.5540566, 114.1465276 22.5540343, 114.1466296 22.5540194, 114.1471258 22.5540442)",,,,,
2760252113,2760252002,0,271072785,False,,,unclassified,False,31.052,"LINESTRING (114.1462995 22.5541876, 114.1463479 22.5540393, 114.1463479 22.5539823, 114.1463265 22.5539179)",,,,,
2760252151,2760252113,0,271072780,False,,,unclassified,True,90.99000000000001,"LINESTRING (114.1471258 22.5540442, 114.1466296 22.5540194, 114.1465276 22.5540343, 114.1464606 22.5540566, 114.1462995 22.5541876)",,,,,
2760252165,6514668391,0,97234470,False,,罗芳路,secondary,True,294.052,"LINESTRING (114.1434505 22.5524258, 114.1438554 22.5550437)",40,,,,
2760252165,2760252048,0,309746081,False,,经一路,tertiary,True,94.244,"LINESTRING (114.1434505 22.5524258, 114.1443682 22.5524333)",,,,,
2760252165,2657841795,0,996625953,False,,罗芳路,secondary,False,234.32100000000003,"LINESTRING (114.1434505 22.5524258, 114.1431544 22.5505052, 114.1431396 22.5504234, 114.1431167 22.5503417)",40,,,,
2794076472,2657841790,0,274729215,False,,秀东街,residential,True,323.90000000000003,"LINESTRING (114.1419946 22.5529913, 114.141936 22.5524008, 114.1417774 22.551136, 114.1416213 22.5500993)",,,2,,
2795062366,2795062383,0,274836813,False,,,residential,False,38.297,"LINESTRING (114.1513257 22.5524203, 114.1509533 22.552402)",,,,,
2795062366,2795062562,0,228827370,False,,延芳路,secondary,False,245.59499999999997,"LINESTRING (114.1513257 22.5524203, 114.1513428 22.5522383, 114.1513461 22.5521132, 114.1513309 22.5519724, 114.151291 22.5518481, 114.1512245 22.551726, 114.1511467 22.5516158, 114.1510222 22.5514848, 114.1509049 22.5514023, 114.1507488 22.551322, 114.1506123 22.5512738, 114.1502752 22.5511634, 114.1501422 22.5511036, 114.1500094 22.5510331, 114.1498888 22.550944)",30,,,,
2795062366,9202584179,0,228827370,False,,延芳路,secondary,True,242.812,"LINESTRING (114.1513257 22.5524203, 114.151306 22.5526215, 114.1512918 22.5528106, 114.1512954 22.5529612, 114.1513637 22.5540679, 114.1513629 22.5541679, 114.1513531 22.5543253, 114.1513383 22.5544653, 114.1512769 22.5545874)",30,,,,
2795062383,2795062366,0,274836813,False,,,residential,True,38.297,"LINESTRING (114.1509533 22.552402, 114.1513257 22.5524203)",,,,,
2795062383,2795062508,0,274836808,False,,,residential,True,381.73500000000007,"LINESTRING (114.1509533 22.552402, 114.1508231 22.5522011, 114.1507575 22.5521444, 114.1506797 22.5521023, 114.15061 22.552075, 114.1505188 22.5520701, 114.1504383 22.5520874, 114.1502076 22.5521865, 114.150146 22.5522286, 114.1501111 22.5522757, 114.1500843 22.5523401, 114.1500628 22.5524069, 114.1500145 22.5524515, 114.1498923 22.5524909, 114.1498294 22.5525159, 114.1497919 22.5525605, 114.1497758 22.552615, 114.1497731 22.5526869, 114.150115 22.5536973, 114.1501567 22.5538115, 114.1501954 22.5538533, 114.1502571 22.5538707, 114.1503364 22.5538709, 114.1504651 22.5538288, 114.1508326 22.5536653)",,,,,
2795062383,2795062508,1,274836824,False,,,residential,False,142.096,"LINESTRING (114.1509533 22.552402, 114.150933 22.5525603, 114.1508004 22.5532194, 114.1507936 22.5533529, 114.1508326 22.5536653)",,,,,
