u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,access,tunnel
7849488930,2659084367,0,260417752,False,,,residential,True,137.954,"LINESTRING (114.1532536 22.5589141, 114.1537039 22.5591887, 114.1540064 22.5589803, 114.1541459 22.5588961, 114.1542338 22.5588515, 114.1543672 22.5587708)",,,,,
8240661889,6919349645,0,288610549,False,,延芳路,secondary,True,718.1700000000001,"LINESTRING (114.1493062 22.5577249, 114.1492756 22.557812, 114.1492439 22.5579361, 114.1492273 22.5580862, 114.1492635 22.5589321, 114.1492576 22.5590547, 114.1492345 22.5591796, 114.1491943 22.5592722, 114.1491157 22.5593718, 114.1490342 22.5594454, 114.1487016 22.5596529, 114.1485811 22.5597052, 114.1484586 22.5597337, 114.148332 22.5597386, 114.1482088 22.559721, 114.1481139 22.559671, 114.1480224 22.5595856, 114.1479717 22.5594781, 114.1479495 22.5593381, 114.1479237 22.5585257, 114.1478986 22.558364, 114.1478341 22.5581992, 114.1477051 22.558085, 114.1464972 22.5574057, 114.1459417 22.5570849, 114.1458531 22.5570044)",,,,,
8240661889,6507282459,0,996937235,False,,延芳路,secondary,False,161.269,"LINESTRING (114.1493062 22.5577249, 114.1495159 22.5572277, 114.1495896 22.5571105, 114.1496886 22.5570075, 114.1497997 22.5569233, 114.1498739 22.5568755, 114.1499767 22.5568179, 114.1500927 22.5567701, 114.1501929 22.5567255, 114.1502794 22.556672)",,,,,
8643657818,1778957435,0,"[97234074, 166444178, 166444170]",False,,延芳路,tertiary,False,131.405,"LINESTRING (114.1431829 22.5564169, 114.1437635 22.556551, 114.1442727 22.5566642, 114.1444255 22.5566991)",,yes,2,,
8643657818,1778957432,0,97234074,False,,延芳路,tertiary,True,120.17099999999999,"LINESTRING (114.1431829 22.5564169, 114.1427524 22.5563174, 114.1426174 22.5562862, 114.1420586 22.5561193)",,,2,,
9202584158,9202584164,0,228827371,False,,贝莲路,tertiary,True,131.865,"LINESTRING (114.1515245 22.5549526, 114.1515121 22.5551523, 114.151498 22.5552688, 114.1514659 22.5553988, 114.1514243 22.5555052, 114.1511332 22.5560663)",,,2,,
9202584158,9202584179,0,996635474,True,,贝莲路,tertiary,False,47.916,"LINESTRING (114.1515245 22.5549526, 114.1514783 22.5548885, 114.1513495 22.5546945, 114.1512769 22.5545874)",,,2,,
9202584160,9202584164,0,996635472,True,,贝莲路,trunk_link,False,44.714,"LINESTRING (114.1507491 22.5562292, 114.1508544 22.5562156, 114.1509569 22.5561864, 114.1510349 22.5561528, 114.1511332 22.5560663)",,,1,,
9202584160,598153548,0,996635477,True,S360,罗沙公路,trunk,False,50.228,"LINESTRING (114.1507491 22.5562292, 114.1508626 22.5562586, 114.1510131 22.5562983, 114.1512185 22.5563561)",,,,,
9202584164,9202584158,0,228827371,False,,贝莲路,tertiary,False,131.86499999999998,"LINESTRING (114.1511332 22.5560663, 114.1514243 22.5555052, 114.1514659 22.5553988, 114.151498 22.5552688, 114.1515121 22.5551523, 114.1515245 22.5549526)",,,2,,
9202584164,598153548,0,996635473,True,,贝莲路,trunk_link,False,35.095,"LINESTRING (114.1511332 22.5560663, 114.1511265 22.5561506, 114.1511312 22.5562196, 114.151158 22.556294, 114.1512185 22.5563561)",,,1,,
9202584179,2795062490,0,996635475,False,,延芳路,secondary,True,15.67,"LINESTRING (114.1512769 22.5545874, 114.1512126 22.5547152)",30,,,,
9202584179,2795062366,0,228827370,False,,延芳路,secondary,False,242.81199999999998,"LINESTRING (114.1512769 22.5545874, 114.1513383 22.5544653, 114.1513531 22.5543253, 114.1513629 22.5541679, 114.1513637 22.5540679, 114.1512954 22.5529612, 114.1512918 22.5528106, 114.151306 22.5526215, 114.1513257 22.5524203)",30,,,,
9202584179,9202584158,0,996635476,True,,贝莲路,tertiary,False,52.088,"LINESTRING (114.1512769 22.5545874, 114.1514129 22.554659, 114.1515341 22.5548538, 114.1515245 22.5549526)",,,2,,
