u,v,key,osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes
7983583799,7983583815,0,856212684,True,景田北四街,residential,False,258.07800000000003,"LINESTRING (114.0306622 22.5578521, 114.0307299 22.5577944, 114.0324253 22.5563313, 114.0324979 22.5562669)",,
7983583800,7983583797,0,245962647,True,景田北四街,residential,False,9.785,"LINESTRING (114.0307054 22.5578963, 114.030635 22.5579556)",,
7983583800,7983578054,0,996657792,True,景田北街,tertiary,False,84.759,"LINESTRING (114.0307054 22.5578963, 114.0311951 22.5583992, 114.0312573 22.5584631)",40,
7983583807,7983583808,0,627546518,True,香梅路,primary,False,6.386,"LINESTRING (114.0314041 22.5551524, 114.031356 22.5551888)",,
7983583807,7983583822,0,245962635,True,景田北二街,residential,False,134.85399999999998,"LINESTRING (114.0314041 22.5551524, 114.0314815 22.5552229, 114.0323221 22.5560196)",,
7983583808,7979925123,0,627546518,True,香梅路,primary,False,126.712,"LINESTRING (114.031356 22.5551888, 114.0304009 22.5559103)",,
7983583809,7983583811,0,364729976,True,景田西路,tertiary,False,6.296,"LINESTRING (114.0330636 22.5568036, 114.033107 22.5567636)",20,
7983583809,7983583816,0,856212685,True,景田北二街,residential,False,74.905,"LINESTRING (114.0330636 22.5568036, 114.0325548 22.5563209)",,
7983583810,7983583809,0,856212685,True,景田北二街,residential,False,9.171,"LINESTRING (114.0331259 22.5568627, 114.0330636 22.5568036)",,
7983583810,7985225702,0,364729973,True,景田西路,tertiary,False,149.812,"LINESTRING (114.0331259 22.5568627, 114.0330616 22.5569219, 114.0321605 22.5577514, 114.0320927 22.5578139)",20,
7983583811,7983583812,0,245962635,True,景田北二街,residential,False,9.179,"LINESTRING (114.033107 22.5567636, 114.0331694 22.5568227)",,
7983583811,7983583855,0,364729976,True,景田西路,tertiary,False,129.024,"LINESTRING (114.033107 22.5567636, 114.0331797 22.5566967, 114.0339269 22.5560081, 114.0339964 22.555944)",20,
7983583812,7983583810,0,364729973,True,景田西路,tertiary,False,6.304,"LINESTRING (114.0331694 22.5568227, 114.0331259 22.5568627)",20,
7983583812,7983583867,0,245962635,True,景田北二街,residential,False,277.06,"LINESTRING (114.0331694 22.5568227, 114.0349987 22.5585566, 114.0350524 22.5586072)",,
7983583813,7983583814,0,245962635,True,景田北二街,residential,False,8.325,"LINESTRING (114.0325418 22.5562279, 114.0325984 22.5562815)",,
7983583814,7983583811,0,245962635,True,景田北二街,residential,False,74.843,"LINESTRING (114.0325984 22.5562815, 114.033107 22.5567636)",,
7983583814,7983583816,0,245962647,True,景田北四街,residential,False,6.264,"LINESTRING (114.0325984 22.5562815, 114.0325548 22.5563209)",,
7983583815,7983583813,0,856212684,True,景田北四街,residential,False,6.255,"LINESTRING (114.0324979 22.5562669, 114.0325418 22.5562279)",,
7983583815,7983583820,0,856212685,True,景田北二街,residential,False,25.603,"LINESTRING (114.0324979 22.5562669, 114.032324 22.5561019)",,
