u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
7959603173,7959603216,0,996208009,True,tertiary,False,269.521,"LINESTRING (114.0533214 22.5394668, 114.0534395 22.5394688, 114.0534939 22.5394696, 114.0541457 22.5394802, 114.0554921 22.5395021, 114.0557826 22.5395068, 114.0558253 22.5395075, 114.0559113 22.5395089, 114.0559453 22.5395096)",,福华一路,,,,,
7959603196,7959603266,0,31560815,True,secondary,False,79.186,"LINESTRING (114.0525887 22.5373696, 114.0530944 22.5373778, 114.0531774 22.5373791, 114.0533596 22.537382)",,福华路,3,,,,
7959603196,7959990736,0,853286957,False,unclassified,False,216.30100000000002,"LINESTRING (114.0525887 22.5373696, 114.0525902 22.5372505, 114.0526013 22.5364135, 114.0526136 22.5354979, 114.0526143 22.5354245)",,中心三路,,,,,
7959603210,7959603216,0,853286961,False,tertiary,True,7.384,"LINESTRING (114.0559444 22.539576, 114.0559453 22.5395096)",,中心五路,,,,,
7959603210,2044316564,0,853286926,True,tertiary,False,269.51199999999994,"LINESTRING (114.0559444 22.539576, 114.0558247 22.539574, 114.0534953 22.5395412, 114.0534385 22.5395402, 114.0533205 22.5395383)",,福华一路,,,,,
7959603216,7959603210,0,853286961,False,tertiary,False,7.384,"LINESTRING (114.0559453 22.5395096, 114.0559444 22.539576)",,中心五路,,,,,
7959603216,7959603232,0,853286961,False,tertiary,True,214.812,"LINESTRING (114.0559453 22.5395096, 114.0559464 22.5394324, 114.0559471 22.5393797, 114.0559569 22.5386728, 114.0559694 22.5377664, 114.0559704 22.5376957, 114.055972 22.5375779)",,中心五路,,,,,
7959603216,7959603243,0,996208009,True,tertiary,False,171.478,"LINESTRING (114.0559453 22.5395096, 114.056061 22.5395114, 114.0561226 22.5395124, 114.0576146 22.5395426)",,福华一路,,,,,
7959603232,7959603233,0,853286961,False,tertiary,True,17.159,"LINESTRING (114.055972 22.5375779, 114.0559741 22.5374236)",,中心五路,,,,,
7959603232,7959603216,0,853286961,False,tertiary,False,214.81200000000004,"LINESTRING (114.055972 22.5375779, 114.0559704 22.5376957, 114.0559694 22.5377664, 114.0559569 22.5386728, 114.0559471 22.5393797, 114.0559464 22.5394324, 114.0559453 22.5395096)",,中心五路,,,,,
7959603232,7959602898,0,1050532719,True,secondary,False,268.626,"LINESTRING (114.055972 22.5375779, 114.0559406 22.5375773, 114.055839 22.5375759, 114.0557485 22.5375745, 114.0535585 22.5375413, 114.0534853 22.5375402, 114.0533568 22.5375383)",,福华路,3,,,,
7959603233,7959603232,0,853286961,False,tertiary,False,17.159,"LINESTRING (114.0559741 22.5374236, 114.055972 22.5375779)",,中心五路,,,,,
