u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
2312585143,2312585228,1,222273973,residential,False,True,154.523,"LINESTRING (114.0771057 22.5861323, 114.0768643 22.5865459, 114.0768483 22.5866227, 114.0768858 22.5866821, 114.0770521 22.5867787, 114.0771218 22.5867911, 114.0771862 22.5867613, 114.0775188 22.5864196)",,,
2312585143,2312585010,0,222273973,residential,False,False,69.579,"LINESTRING (114.0771057 22.5861323, 114.0771835 22.5855107)",,,
2312585166,2312585201,0,222273975,residential,False,False,248.13699999999997,"LINESTRING (114.0692612 22.5870864, 114.0699625 22.5868311, 114.0705098 22.586606, 114.0709724 22.5863372, 114.0710663 22.5862765, 114.0711427 22.586253, 114.071187 22.586258, 114.0712339 22.5862728, 114.0712849 22.5863004, 114.0713171 22.5863478, 114.0713741 22.5864328)",,,
2312585192,2312585087,0,222273961,residential,False,True,65.20599999999999,"LINESTRING (114.0764003 22.5848891, 114.0765264 22.5849015, 114.0768027 22.5850055, 114.0769877 22.5850971)",,,
2312585201,2312585107,0,222273950,residential,False,True,234.08300000000003,"LINESTRING (114.0713741 22.5864328, 114.0706831 22.5868601, 114.0706484 22.5868924, 114.0706336 22.5869274, 114.0706437 22.5870505, 114.0706828 22.5872315, 114.0706783 22.587294, 114.0706562 22.5873597, 114.0706161 22.5874126, 114.0705549 22.5874637, 114.0703505 22.5875701, 114.0703152 22.5875973, 114.0702844 22.5876394, 114.0701249 22.5879724)",,,
2312585201,2312585132,0,222273975,residential,False,False,124.81500000000001,"LINESTRING (114.0713741 22.5864328, 114.0714324 22.5865304, 114.0714351 22.5865762, 114.0714217 22.5866245, 114.0711105 22.5870108, 114.0710716 22.587061, 114.0710569 22.5871211, 114.0710745 22.5871966, 114.0710921 22.5872809, 114.0711274 22.5874247)",,,
2312585201,2312585166,0,222273975,residential,False,True,248.137,"LINESTRING (114.0713741 22.5864328, 114.0713171 22.5863478, 114.0712849 22.5863004, 114.0712339 22.5862728, 114.071187 22.586258, 114.0711427 22.586253, 114.0710663 22.5862765, 114.0709724 22.5863372, 114.0705098 22.586606, 114.0699625 22.5868311, 114.0692612 22.5870864)",,,
2312585222,2312585121,0,222273973,residential,False,False,123.652,"LINESTRING (114.0774286 22.5841993, 114.0774008 22.5844805, 114.0774303 22.5845969, 114.0775134 22.5847207, 114.0779265 22.5851368)",,,
2312585227,2312585087,0,222273973,residential,False,True,108.95500000000001,"LINESTRING (114.0769243 22.5841572, 114.0770736 22.5846836, 114.077095 22.5847826, 114.0770816 22.5848916, 114.0770011 22.5850327, 114.0769877 22.5850971)",,,
2312585227,8278552524,0,222278113,residential,True,False,522.217,"LINESTRING (114.0769243 22.5841572, 114.0767768 22.5842612, 114.0766695 22.5843132, 114.0765344 22.5843121, 114.0763154 22.5841497, 114.0762269 22.5841175, 114.0761465 22.5841275, 114.0756288 22.5845435, 114.0755644 22.5846525, 114.0755537 22.5847515, 114.075889 22.5852865, 114.0759265 22.5853558, 114.0759283 22.5854339, 114.0758566 22.5854748, 114.0757333 22.58545, 114.0755466 22.5854973, 114.0748165 22.5849751, 114.0747781 22.5849529, 114.0747448 22.5849377, 114.0747084 22.5849258, 114.0746709 22.5849169, 114.0746358 22.5849117, 114.0746013 22.5849095, 114.0745742 22.58491, 114.0745462 22.5849117, 114.0745182 22.5849159, 114.0744916 22.584921, 114.074461 22.5849285, 114.0744324 22.5849368, 114.0742852 22.5849863, 114.0742539 22.5849957, 114.0742165 22.5850051, 114.0741776 22.585013, 114.0741384 22.5850186, 114.0740978 22.5850226, 114.0740578 22.5850249, 114.0740135 22.5850259, 114.0739703 22.5850248, 114.0739309 22.5850224, 114.0738875 22.5850189, 114.0738441 22.5850139, 114.0738018 22.5850067, 114.0737583 22.5849959)",环湖一路,1,
2312585228,2312585143,0,222273959,residential,False,True,53.097,"LINESTRING (114.0775188 22.5864196, 114.0771057 22.5861323)",,,
2312585228,2312585143,1,222273973,residential,False,False,154.523,"LINESTRING (114.0775188 22.5864196, 114.0771862 22.5867613, 114.0771218 22.5867911, 114.0770521 22.5867787, 114.0768858 22.5866821, 114.0768483 22.5866227, 114.0768643 22.5865459, 114.0771057 22.5861323)",,,
