u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name
5435914390,5435914370,0,222976657,tertiary,True,False,210.023,"LINESTRING (114.0638612 22.518965, 114.0639945 22.518965, 114.06412 22.5189718, 114.0658915 22.5191792)",2,裕亨路
5435914402,5435914522,0,564122759,unclassified,True,False,38.962,"LINESTRING (114.0638268 22.5191388, 114.0637942 22.5191291, 114.0637719 22.5191276, 114.0637511 22.5191287, 114.063732 22.5191357, 114.063712 22.5191498, 114.0635763 22.5192653, 114.0635224 22.5193089)",,
5435914402,5435914390,0,996181417,residential,True,False,20.354000000000003,"LINESTRING (114.0638268 22.5191388, 114.0638168 22.5191222, 114.063817 22.5191034, 114.0638267 22.5190792, 114.0638433 22.5190458, 114.0638517 22.5190212, 114.0638575 22.5189923, 114.0638612 22.518965)",,
5435914522,1492216674,0,564122750,residential,True,False,23.739,"LINESTRING (114.0635224 22.5193089, 114.0634971 22.5192864, 114.0633548 22.5191619)",,
6316672407,5435723365,0,222976873,tertiary,False,True,20.07,"LINESTRING (114.061344 22.51776, 114.0614946 22.517875)",2,桂花路
6316672407,5435723371,0,238041646,secondary,True,False,16.281,"LINESTRING (114.061344 22.51776, 114.0614078 22.517702, 114.0614446 22.5176481)",,
7626252415,1492216750,0,816544582,residential,True,False,7.038,"LINESTRING (114.0616091 22.5196515, 114.0615625 22.5196051)",2,菩提路
7656278440,7656278447,0,816544582,residential,True,False,62.255,"LINESTRING (114.0614275 22.5194966, 114.0613252 22.5194144, 114.0609736 22.5191256)",2,菩提路
7656278447,7626252407,0,816544582,residential,True,False,68.553,"LINESTRING (114.0609736 22.5191256, 114.0604675 22.5187237)",2,菩提路
7701169497,1492216674,0,222976657,tertiary,True,False,16.033,"LINESTRING (114.0632002 22.5191818, 114.0633548 22.5191619)",2,裕亨路
7701169497,9198650558,0,1051282789,tertiary,True,False,7.612,"LINESTRING (114.0632002 22.5191818, 114.0632567 22.5192261)",,
7701169497,3084657054,0,996181415,tertiary,True,False,37.763000000000005,"LINESTRING (114.0632002 22.5191818, 114.0634252 22.5190197, 114.0634924 22.5189758)",2,裕亨路
8146911905,5435914354,0,"[875261245, 135960878]",secondary_link,True,False,88.824,"LINESTRING (114.0620715 22.5181402, 114.0625944 22.5185681, 114.0626158 22.5186167, 114.0626279 22.5186654, 114.0626324 22.5187163)",,
8146911911,8146911905,0,1064264081,secondary,True,False,356.174,"LINESTRING (114.0602228 22.5157304, 114.0603097 22.5157357, 114.0603823 22.5157513, 114.0604416 22.5157814, 114.0605037 22.5158227, 114.0614205 22.5164702, 114.0615646 22.5165776, 114.0617054 22.5167075, 114.0617784 22.5167967, 114.0618299 22.516884, 114.0618664 22.5169652, 114.0618942 22.5170425, 114.0619479 22.517217, 114.0619865 22.517441, 114.0619865 22.5176273, 114.0619865 22.5178017, 114.0620015 22.5179504, 114.0620273 22.5180376, 114.0620715 22.5181402)",,
