u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry
1116784763,7831068716,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,True,708.178,"LINESTRING (114.1136577 22.5175837, 114.1132188 22.5170318, 114.1129088 22.5166902, 114.112842 22.5166146, 114.1127672 22.5165701, 114.1123921 22.5164801, 114.112001 22.516342, 114.1111589 22.5160113, 114.1109902 22.5159761, 114.11064 22.5159376, 114.1103376 22.5158908, 114.110104 22.515769, 114.1099695 22.5156415, 114.1097672 22.5154709, 114.1096629 22.5153829, 114.1096439 22.5153669, 114.1094944 22.5151919, 114.1092816 22.5149464, 114.1088869 22.5145172, 114.1085912 22.51421, 114.1084672 22.5140619, 114.1084012 22.5139725, 114.1083708 22.5139454, 114.1083529 22.5139336)"
1362224361,7831068716,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,False,467.64300000000003,"LINESTRING (114.1052971 22.5118487, 114.1053531 22.5121495, 114.1054668 22.5129019, 114.1054845 22.5130191, 114.1055448 22.5131169, 114.1056588 22.51319, 114.1057317 22.5132147, 114.1057639 22.5132256, 114.105998 22.513212, 114.1060801 22.5131825, 114.1064094 22.5130347, 114.1064916 22.513013, 114.1065633 22.5130084, 114.1066202 22.5130245, 114.1066938 22.5130583, 114.1069003 22.5131517, 114.1071814 22.5132952, 114.107526 22.5134883, 114.107697 22.5135805, 114.1083421 22.5139266, 114.1083529 22.5139336)"
7831068712,7831068716,0,839193316,,河上鄉排峰路 Ho Sheung Heung Pai Fung Road,residential,False,False,179.35199999999998,"LINESTRING (114.1083847 22.5123528, 114.1083647 22.5124027, 114.1083414 22.5124715, 114.1083222 22.5125399, 114.1083165 22.51257, 114.1083125 22.5126028, 114.1083092 22.5126703, 114.1083149 22.512759, 114.1083209 22.5128009, 114.1083381 22.5128801, 114.1083921 22.5132099, 114.1084346 22.5135252, 114.1084217 22.5137173, 114.1084121 22.5138191, 114.1083823 22.5138956, 114.1083529 22.5139336)"
7831068716,1116784763,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,False,708.178,"LINESTRING (114.1083529 22.5139336, 114.1083708 22.5139454, 114.1084012 22.5139725, 114.1084672 22.5140619, 114.1085912 22.51421, 114.1088869 22.5145172, 114.1092816 22.5149464, 114.1094944 22.5151919, 114.1096439 22.5153669, 114.1096629 22.5153829, 114.1097672 22.5154709, 114.1099695 22.5156415, 114.110104 22.515769, 114.1103376 22.5158908, 114.11064 22.5159376, 114.1109902 22.5159761, 114.1111589 22.5160113, 114.112001 22.516342, 114.1123921 22.5164801, 114.1127672 22.5165701, 114.112842 22.5166146, 114.1129088 22.5166902, 114.1132188 22.5170318, 114.1136577 22.5175837)"
7831068716,1362224361,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,True,467.6430000000001,"LINESTRING (114.1083529 22.5139336, 114.1083421 22.5139266, 114.107697 22.5135805, 114.107526 22.5134883, 114.1071814 22.5132952, 114.1069003 22.5131517, 114.1066938 22.5130583, 114.1066202 22.5130245, 114.1065633 22.5130084, 114.1064916 22.513013, 114.1064094 22.5130347, 114.1060801 22.5131825, 114.105998 22.513212, 114.1057639 22.5132256, 114.1057317 22.5132147, 114.1056588 22.51319, 114.1055448 22.5131169, 114.1054845 22.5130191, 114.1054668 22.5129019, 114.1053531 22.5121495, 114.1052971 22.5118487)"
7831068716,7831068712,0,839193316,,河上鄉排峰路 Ho Sheung Heung Pai Fung Road,residential,False,True,179.35199999999998,"LINESTRING (114.1083529 22.5139336, 114.1083823 22.5138956, 114.1084121 22.5138191, 114.1084217 22.5137173, 114.1084346 22.5135252, 114.1083921 22.5132099, 114.1083381 22.5128801, 114.1083209 22.5128009, 114.1083149 22.512759, 114.1083092 22.5126703, 114.1083125 22.5126028, 114.1083165 22.51257, 114.1083222 22.5125399, 114.1083414 22.5124715, 114.1083647 22.5124027, 114.1083847 22.5123528)"
