u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
564083714,2368586397,0,27164823,True,莲花路,primary,False,199.69600000000003,"LINESTRING (114.0516858 22.5626819, 114.0513985 22.5626225, 114.0511067 22.5625512, 114.0508063 22.562464, 114.0505402 22.562353, 114.0502398 22.5621945, 114.0499112 22.561991)",,
564083714,2369336749,0,228278347,False,,residential,False,160.637,"LINESTRING (114.0516858 22.5626819, 114.0516858 22.5628717, 114.0526342 22.562897, 114.0526219 22.5632755)",,
6043430915,4899192485,0,45569111,True,北环大道,trunk,False,17.45,"LINESTRING (114.0591339 22.5667452, 114.0592833 22.56682)",G107,
2368579077,2369336820,0,44419698,True,北环大道辅路,primary,False,34.864,"LINESTRING (114.0544059 22.5646102, 114.0547349 22.5646877)",,
2369336838,2377190325,0,228227579,False,雨田路,tertiary,False,33.271,"LINESTRING (114.0493141 22.563589, 114.0494174 22.5633054)",,
2369336838,2369336806,0,228227579,False,雨田路,tertiary,True,7.74,"LINESTRING (114.0493141 22.563589, 114.0492895 22.5636548)",,
2369336838,2369336879,0,228278338,False,,residential,False,100.37700000000001,"LINESTRING (114.0493141 22.563589, 114.0500191 22.5635707, 114.0501078 22.563333)",,
6317320202,564083165,0,160131328,True,莲花路,primary,False,7.601,"LINESTRING (114.0542347 22.562302, 114.0543085 22.5622967)",,
2369336843,2369336701,0,228227569,True,宏威路,tertiary,False,90.085,"LINESTRING (114.0542908 22.5631246, 114.0542737 22.5639346)",,
2369336843,6317320204,0,228278324,False,,residential,True,7.889,"LINESTRING (114.0542908 22.5631246, 114.054214 22.5631228)",,
6317320204,2369336843,0,228278324,False,,residential,False,7.889,"LINESTRING (114.054214 22.5631228, 114.0542908 22.5631246)",,
6317320204,6317320206,0,674567457,True,宏威路,tertiary,False,24.152,"LINESTRING (114.054214 22.5631228, 114.0542158 22.5629056)",,
6317320204,2369336813,0,228278324,False,,residential,True,131.812,"LINESTRING (114.054214 22.5631228, 114.0537439 22.5631104, 114.0537504 22.5638615)",,
6317320205,2369336813,0,228278333,False,,residential,False,46.821,"LINESTRING (114.0542063 22.5638691, 114.0537504 22.5638615)",,
6317320205,6317320204,0,674567457,True,宏威路,tertiary,False,82.989,"LINESTRING (114.0542063 22.5638691, 114.054214 22.5631228)",,
6317320206,6317320203,0,674567457,True,宏威路,tertiary,False,47.381,"LINESTRING (114.0542158 22.5629056, 114.0542289 22.5626423, 114.0542318 22.5624798)",,
6317320206,6317320214,0,674567458,True,,primary_link,False,72.012,"LINESTRING (114.0542158 22.5629056, 114.0541936 22.5628302, 114.054165 22.5627695, 114.0541278 22.5627087, 114.0540892 22.5626599, 114.0540292 22.5626163, 114.0539591 22.5625833, 114.0538633 22.5625555, 114.0537179 22.5625277)",,
