u,v,key,osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,access,bridge
2623155417,2623155422,0,256679117,,primary_link,True,False,141.208,"LINESTRING (114.1214895 22.5573517, 114.1215623 22.5573143, 114.121643 22.5572861, 114.1216996 22.557276, 114.1217655 22.5572693, 114.1218441 22.5572667, 114.1219142 22.5572698, 114.1219908 22.5572842, 114.1220571 22.5573039, 114.1221343 22.5573337, 114.1222254 22.5573795, 114.1227297 22.5576755)",,,,,yes
2623155417,1931784216,0,742388690,文锦中路,primary,True,False,177.07999999999998,"LINESTRING (114.1214895 22.5573517, 114.1217841 22.5570929, 114.1219055 22.5569768, 114.1220131 22.5568677, 114.1224858 22.5563592, 114.1226468 22.5561735)",,,,no,yes
2623155422,2623148626,0,742388691,,primary_link,True,False,71.27900000000001,"LINESTRING (114.1227297 22.5576755, 114.1230491 22.5578467, 114.1231287 22.557898, 114.1232045 22.5579648, 114.1232791 22.5580551)",,,,no,
2632289232,349974439,0,996531099,黄贝路,tertiary,False,True,9.084,"LINESTRING (114.1350239 22.5586793, 114.1349762 22.5586105)",,2,,,
2881798524,2881798587,0,284433364,,trunk_link,True,False,66.218,"LINESTRING (114.1372939 22.551403, 114.136845 22.5509755)",,,,,
2881798587,2881798710,0,595870096,沿河北路辅路,primary,True,False,100.332,"LINESTRING (114.136845 22.5509755, 114.1363606 22.5501919)",,,,,
2883507440,2883507644,0,685048793,华丽路,tertiary,False,False,11.99,"LINESTRING (114.1282478 22.5565779, 114.1283367 22.556508)",,1,,,
2883507440,9230074568,0,685048794,爱国路,trunk,True,False,39.297,"LINESTRING (114.1282478 22.5565779, 114.128157 22.556439, 114.128135 22.5564052, 114.1280501 22.5562753)",G107,,,,
2883507440,6376760102,0,685048796,华丽路,tertiary,False,True,32.783,"LINESTRING (114.1282478 22.5565779, 114.1281116 22.5566896, 114.1280097 22.5567743)",,1,,,
2883507450,2310681436,0,684940095,文锦中路,trunk,True,False,8.022,"LINESTRING (114.1258404 22.5527723, 114.1258072 22.5528376)",G107,,,,
2883507450,6376760086,0,996519957,爱国路,trunk,True,False,41.164,"LINESTRING (114.1258404 22.5527723, 114.1259417 22.5528527, 114.1260235 22.552953, 114.1260962 22.553054)",G107,,,,
2883507644,6376760089,0,685048790,爱国路,trunk,True,False,28.488,"LINESTRING (114.1283367 22.556508, 114.1284803 22.5567272)",G107,,,,
2883507644,2883507440,0,685048793,华丽路,tertiary,False,True,11.99,"LINESTRING (114.1283367 22.556508, 114.1282478 22.5565779)",,1,,,
2883507644,3066592187,0,685048791,华丽路,tertiary,False,False,23.447,"LINESTRING (114.1283367 22.556508, 114.1283923 22.5564611, 114.1285053 22.5563658)",,1,,,
2921645905,3066385418,0,288610543,,residential,False,True,143.019,"LINESTRING (114.1318184 22.5580272, 114.130534 22.5585246)",,,,,
2921645905,3066592193,0,288610551,,residential,False,False,56.317,"LINESTRING (114.1318184 22.5580272, 114.1321011 22.5584612)",,,,,
2921645905,8486054848,0,288610551,,residential,False,True,6.107,"LINESTRING (114.1318184 22.5580272, 114.1317938 22.5579772)",,,,,
2921645908,3066385707,0,288610543,,residential,False,False,52.544,"LINESTRING (114.1298348 22.5587954, 114.1303067 22.5586127)",,,,,
2921645909,8486054848,0,288610551,,residential,False,False,28.711,"LINESTRING (114.1316782 22.5577421, 114.1317938 22.5579772)",,,,,
2921645909,3066385681,0,288610551,,residential,False,True,32.167,"LINESTRING (114.1316782 22.5577421, 114.1316199 22.5576708, 114.1314696 22.5575269)",,,,,
2921645909,3066385420,0,302380149,,residential,False,False,286.045,"LINESTRING (114.1316782 22.5577421, 114.1324136 22.5570965, 114.1325129 22.5569528, 114.1325826 22.5567547, 114.1326175 22.5565268, 114.1326176 22.5562835, 114.1325747 22.5560804, 114.1324968 22.5558828, 114.1323843 22.5556841, 114.1322831 22.5555775)",,,,,
2921645915,2921645969,0,288610552,,residential,False,True,72.084,"LINESTRING (114.1359743 22.5575546, 114.1354353 22.5571393)",,,,,
2921645915,588498520,0,31416523,怡景路,primary,True,False,136.01,"LINESTRING (114.1359743 22.5575546, 114.1367086 22.5567778, 114.1368509 22.5566378)",,,60,,
2921645921,3066385416,0,288610542,,residential,False,False,188.157,"LINESTRING (114.1363191 22.5550648, 114.1375184 22.5537855)",,,,,
2921645935,3066385646,0,288610551,,residential,False,True,47.244,"LINESTRING (114.1330779 22.559965, 114.1328426 22.5595999)",,,,,
2921645935,3066592216,0,302401692,,residential,False,False,105.479,"LINESTRING (114.1330779 22.559965, 114.1337602 22.5592559)",,,,,
2921645966,6210847899,0,685048789,爱国路,trunk,True,False,203.619,"LINESTRING (114.1300134 22.5593099, 114.1289975 22.5577373)",G107,,,,
2921645969,2921645915,0,288610552,,residential,False,False,72.084,"LINESTRING (114.1354353 22.5571393, 114.1359743 22.5575546)",,,,,
2921645969,10141948878,0,1108434439,,unclassified,False,False,97.788,"LINESTRING (114.1354353 22.5571393, 114.1348158 22.5578072)",,,,,
