u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
1116501325,7986450947,0,96334029,False,香蜜南三街,residential,,True,275.87399999999997,"LINESTRING (114.0298678 22.5456232, 114.0300918 22.5456913, 114.0309179 22.5459403, 114.0310131 22.5459663, 114.0311048 22.5459866, 114.0311884 22.546002, 114.031286 22.5460178, 114.0322249 22.5461569, 114.0324744 22.5461938)",,,
1116501325,5771508512,0,245816200,False,,unclassified,,False,189.193,"LINESTRING (114.0298678 22.5456232, 114.0298623 22.5453989, 114.0297459 22.5450638, 114.0297423 22.545011, 114.0297568 22.5449623, 114.0298346 22.5448382, 114.0298576 22.5447846, 114.0298696 22.5447099, 114.0298632 22.5446387, 114.0297602 22.5439717)",,,
1116534605,5771508454,0,609310239,True,香蜜湖路,primary_link,,False,69.0,"LINESTRING (114.021058 22.5477013, 114.0209998 22.5477752, 114.0209447 22.5478359, 114.0208336 22.5479467, 114.0207841 22.547997, 114.0207366 22.5480445, 114.0206196 22.5481709)",,,
2323667261,2323667297,0,223463852,False,,residential,,False,52.881,"LINESTRING (114.0330033 22.5482562, 114.0328528 22.548711)",,,
2323667261,1116501321,0,223463855,False,,residential,,True,95.692,"LINESTRING (114.0330033 22.5482562, 114.0321107 22.5480092)",,,
2323667297,2323667261,0,223463852,False,,residential,,True,52.881,"LINESTRING (114.0328528 22.548711, 114.0330033 22.5482562)",,,
2529328480,8298792568,0,245816209,False,,unclassified,,False,381.96799999999996,"LINESTRING (114.0321003 22.542158, 114.0325673 22.5423055, 114.0327429 22.5423867, 114.0328851 22.5424808, 114.0330594 22.5426393, 114.0333142 22.5428871, 114.0334376 22.5429663, 114.0335277 22.5430079, 114.0336643 22.543071, 114.0342369 22.5433379, 114.0343821 22.5433955, 114.0344847 22.5434316, 114.0345793 22.5434621, 114.0349404 22.5435401, 114.0350114 22.5435552, 114.0350252 22.5437407, 114.0351592 22.5437633, 114.0352041 22.5437698)",,,
2529328502,8223739814,0,884282289,False,,unclassified,,False,34.062,"LINESTRING (114.0255892 22.5454975, 114.0256669 22.5451997)",,,
2529328502,7986471585,0,996188211,True,红荔路,primary,,False,400.68100000000004,"LINESTRING (114.0255892 22.5454975, 114.02583 22.5455166, 114.0260251 22.5455576, 114.0262026 22.5455993, 114.0264057 22.5456511, 114.026625 22.5457128, 114.026837 22.5457765, 114.0293201 22.5465303)",,,
2529328516,5771508512,0,245816200,False,,unclassified,,True,75.276,"LINESTRING (114.0296538 22.5433019, 114.0297602 22.5439717)",,,
2529328516,8522713176,0,245816214,False,,unclassified,,False,52.542,"LINESTRING (114.0296538 22.5433019, 114.0293801 22.5433663, 114.029158 22.5434185)",,,
2529328516,5771508507,0,245816214,False,,unclassified,,True,40.489999999999995,"LINESTRING (114.0296538 22.5433019, 114.0299118 22.5432484, 114.0300401 22.54323)",,,
2529328533,5771508506,0,609310251,False,,unclassified,,False,195.899,"LINESTRING (114.0317492 22.5439309, 114.0316149 22.543908, 114.0308697 22.5437828, 114.0298722 22.543617)",,,
2530244857,7979256883,0,245925450,True,,residential,,False,7.725,"LINESTRING (114.0362567 22.5495803, 114.0363298 22.5495967)",,,
2530244857,7979256862,0,393889360,True,景田西路,tertiary,,False,92.09700000000001,"LINESTRING (114.0362567 22.5495803, 114.0363794 22.5490608, 114.0364187 22.548893, 114.0364246 22.5488654, 114.036427 22.5488472, 114.0364274 22.5488298, 114.0364259 22.5488145, 114.036422 22.5487999, 114.0364159 22.548786, 114.0364071 22.5487727)",,,
2530284924,8076307493,0,"[1050921376, 1080860979]",True,深南大道辅路,secondary,,False,191.576,"LINESTRING (114.0270741 22.5403299, 114.0259637 22.5401375, 114.0252407 22.5400123)",2,,
2530284957,7975286329,0,245930178,True,景田南七街,residential,,False,245.137,"LINESTRING (114.0380968 22.543714, 114.0357444 22.5433402)",,,
2530284957,7975286341,0,245930183,False,,residential,,True,7.45,"LINESTRING (114.0380968 22.543714, 114.038097 22.543647)",,,
2530284958,7973099532,0,536764372,True,深南大道辅路,secondary,,False,45.65,"LINESTRING (114.0350896 22.5417035, 114.0348753 22.5416671, 114.0346524 22.5416294)",2,,
2530284959,7975286330,0,892901028,True,香梅路,secondary,,False,6.434,"LINESTRING (114.0354448 22.5432924, 114.0354556 22.5432354)",2,,
2530284966,7227357853,0,855206664,False,景田南七街支路,residential,,False,7.426,"LINESTRING (114.0384289 22.5437658, 114.0384392 22.5436997)",,,
2530284966,7975286500,0,855206664,False,景田南七街支路,residential,,True,56.34,"LINESTRING (114.0384289 22.5437658, 114.0383375 22.5442654)",,,
2530284966,2530284957,0,245930178,True,景田南七街,residential,,False,34.59,"LINESTRING (114.0384289 22.5437658, 114.0383639 22.5437565, 114.0380968 22.543714)",,,
3687651958,7975286522,0,627546517,True,香梅路,secondary,,False,21.689,"LINESTRING (114.0343708 22.5482585, 114.0344098 22.5480668)",,,
3687651958,7975286536,0,891126142,True,红荔路,primary,,False,33.79600000000001,"LINESTRING (114.0343708 22.5482585, 114.0342733 22.5482323, 114.0342257 22.5482185, 114.0340567 22.5481679)",,,
3687652014,3687652015,0,1050921371,True,香梅路,secondary,,False,21.065,"LINESTRING (114.0344984 22.5480928, 114.0344624 22.5482793)",,,
