u,v,key,osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes,junction,access,tunnel
1126313609,2377869264,0,97232713,锦星路,tertiary,False,False,214.718,,"LINESTRING (114.1260501 22.5438805, 114.1276071 22.5438546, 114.1278534 22.5434175)",,,,,,
1126328614,2794076324,0,"[166444177, 166444172, 327755325]",延芳路,secondary,False,False,146.247,,"LINESTRING (114.1380678 22.5441222, 114.1375313 22.5441915, 114.137397 22.5442338, 114.1372383 22.5443262, 114.136894 22.5445806, 114.1368043 22.5446424)",yes,30,,,,
2278166423,3989296404,0,396115617,,residential,False,True,44.623,,"LINESTRING (114.1242267 22.5420903, 114.1238146 22.5419631)",,,,,,
2278166423,2881809580,0,525273355,新安路,residential,False,False,68.99000000000001,,"LINESTRING (114.1242267 22.5420903, 114.1244959 22.5416645, 114.1245654 22.5415545)",,,,,,
2278166423,349132274,0,525273355,新安路,residential,False,True,93.94,,"LINESTRING (114.1242267 22.5420903, 114.1240782 22.5423347, 114.1240445 22.5424106, 114.1240244 22.5424802, 114.1240172 22.5425552, 114.1240154 22.5428904)",,,,,,
2278166512,267602106,0,31311798,湖贝路,tertiary,False,True,17.927,,"LINESTRING (114.1258055 22.5494435, 114.125966 22.5495069)",,,,,,
2278166512,8258828708,0,685048798,湖贝路,tertiary,False,False,180.30900000000003,,"LINESTRING (114.1258055 22.5494435, 114.125615 22.5493741, 114.1255574 22.5493528, 114.1241492 22.5489061)",,,2,,,
2278166512,2278166610,0,685048799,文锦中路,trunk,True,False,107.142,G107,"LINESTRING (114.1258055 22.5494435, 114.1258102 22.5492868, 114.1258235 22.5484801)",,,,,,
2278166610,5568556465,0,582185328,,trunk_link,True,False,82.57499999999999,,"LINESTRING (114.1258235 22.5484801, 114.1257971 22.5483545, 114.1257684 22.5482659, 114.1257231 22.5481725, 114.1256688 22.5480936, 114.1255885 22.5480209, 114.1255114 22.5479662, 114.1253848 22.5479034)",,,,,,
2278166610,2278166627,0,996519955,文锦中路,trunk,True,False,56.278999999999996,G107,"LINESTRING (114.1258235 22.5484801, 114.1258271 22.5481707, 114.1258295 22.547974)",,,,,,
2278166627,2456776548,0,284628346,文锦南路,trunk,True,False,16.803,G107,"LINESTRING (114.1258295 22.547974, 114.1258313 22.5478229)",,,,,,
2278166627,5568556465,0,996519956,深南东路,primary,True,False,46.338,,"LINESTRING (114.1258295 22.547974, 114.1253848 22.5479034)",,,,,,
2278166642,2881798533,0,769531023,文锦南路,trunk,True,False,10.075,G107,"LINESTRING (114.1258585 22.5451501, 114.1258598 22.5450595)",,,,,,
2278166642,8234507592,0,996519902,春风路,tertiary,True,False,33.747,,"LINESTRING (114.1258585 22.5451501, 114.1257418 22.5451508, 114.1255299 22.5451491)",,,,,,
2278193428,348421123,0,218583682,凤凰路,tertiary,False,False,80.061,,"LINESTRING (114.1336249 22.5499626, 114.1337105 22.5497189, 114.133757 22.5495476, 114.1338228 22.5492669)",,,,,,
2377869264,8536814051,0,674741204,沿河南路,primary,True,False,151.579,,"LINESTRING (114.1278534 22.5434175, 114.1265319 22.5428104)",,,,,,
2377869264,1126313609,0,97232713,锦星路,tertiary,False,True,214.718,,"LINESTRING (114.1278534 22.5434175, 114.1276071 22.5438546, 114.1260501 22.5438805)",,,,,,
2377869267,8536814043,0,973549784,文锦南路,trunk,True,False,47.096,G107,"LINESTRING (114.1261744 22.5426479, 114.1261422 22.5426748, 114.1261171 22.542712, 114.126106 22.5427508, 114.1260832 22.5428652, 114.1260759 22.5429124, 114.1260713 22.5429674, 114.1260694 22.5430477)",,,,,,
2377869267,2377869280,0,1050674543,文锦渡口岸环岛,trunk,True,False,31.269,G107,"LINESTRING (114.1261744 22.5426479, 114.1261137 22.5426527, 114.1260534 22.542645, 114.1259965 22.5426251, 114.1259457 22.542594, 114.1259037 22.5425533)",,,,circular,,
