u,v,key,osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,maxspeed
498494428,498497402,0,40932797,True,福田立交,motorway_link,False,365.998,"LINESTRING (114.0142705 22.5347764, 114.0140739 22.5350265, 114.0140325 22.5350882, 114.0137189 22.5356059, 114.0136588 22.535682, 114.0135934 22.5357594, 114.0135051 22.5358344, 114.0134122 22.5358827, 114.0133174 22.535918, 114.013218 22.5359339, 114.0131009 22.5359361, 114.0129978 22.5359194, 114.0129192 22.5358918, 114.0123088 22.5356203, 114.0122036 22.5355462, 114.0121092 22.5354655, 114.0120487 22.5353975, 114.0119671 22.5352878, 114.0118946 22.5351541, 114.0117951 22.5349681)",,,,
498497387,498497395,0,40933273,True,,motorway_link,False,238.767,"LINESTRING (114.0106931 22.5382437, 114.0107555 22.5381691, 114.0108176 22.5380829, 114.011017 22.5377887, 114.0111253 22.537609, 114.0112283 22.537441, 114.0114553 22.5370307, 114.0115383 22.5368653, 114.0116193 22.5366991, 114.0116801 22.5365673, 114.0117703 22.5363475)",yes,,,
498497395,498497460,0,"[40933276, 40933275, 40933132]",True,福田立交,motorway_link,False,255.56599999999997,"LINESTRING (114.0117703 22.5363475, 114.011786 22.5362539, 114.0117875 22.536182, 114.0117763 22.5361158, 114.0117575 22.5360641, 114.0117306 22.5360181, 114.0116956 22.5359746, 114.0116516 22.5359394, 114.0115909 22.5359152, 114.0115234 22.5359045, 114.0114526 22.5359041, 114.0113903 22.5359176, 114.0113334 22.5359409, 114.0112707 22.5359843, 114.0112127 22.536047, 114.0110259 22.5362915, 114.0108799 22.5364849, 114.0108069 22.5366006, 114.0107905 22.5366488, 114.0107834 22.5366933, 114.0107831 22.5367394, 114.0107911 22.5367871, 114.0108139 22.536836, 114.0108492 22.5368849, 114.0109033 22.5369388, 114.0109676 22.5369854, 114.011037 22.5370205, 114.0111273 22.5370553, 114.0112349 22.5370909)",yes,,,
498497395,498497402,0,40933274,True,福田立交,motorway_link,False,156.773,"LINESTRING (114.0117703 22.5363475, 114.0118447 22.5361358, 114.0118923 22.5359506, 114.0119134 22.5358077, 114.0119212 22.5356751, 114.0119219 22.5355619, 114.0119032 22.5353875, 114.0118832 22.5352882, 114.0118584 22.5351746, 114.0117951 22.5349681)",,,,
498497402,498497426,0,996750291,True,福田立交,motorway_link,False,16.793,"LINESTRING (114.0117951 22.5349681, 114.0117304 22.5348294)",,,,
498497407,498497460,0,1049968029,True,深南大道辅路,secondary,False,136.696,"LINESTRING (114.0099263 22.5368664, 114.0112349 22.5370909)",,,2,
498497407,498497426,0,"[40933128, 40933268, 40933277]",True,福田立交,motorway_link,False,318.8719999999999,"LINESTRING (114.0099263 22.5368664, 114.010131 22.5368665, 114.0102264 22.5368602, 114.0103164 22.5368427, 114.010403 22.5368142, 114.010491 22.5367679, 114.0105712 22.5367145, 114.0106201 22.5366665, 114.0107042 22.536568, 114.0107904 22.5364669, 114.0109518 22.5362628, 114.0116371 22.5353812, 114.0116872 22.53531, 114.0117258 22.5352387, 114.011743 22.5351782, 114.0117502 22.5350881, 114.0117516 22.5350061, 114.0117441 22.5349092, 114.0117304 22.5348294)",yes,,,
498497426,498493303,0,996750291,True,福田立交,motorway_link,False,46.272999999999996,"LINESTRING (114.0117304 22.5348294, 114.0116052 22.5345674, 114.0115562 22.5344458)",,,,
498497460,5981068398,0,1051282761,True,深南大道辅路,secondary,False,140.038,"LINESTRING (114.0112349 22.5370909, 114.0125742 22.5373272)",,,2,
498497463,498497464,0,40933135,True,,trunk_link,False,99.52000000000001,"LINESTRING (114.0083083 22.5367299, 114.0085338 22.5367405, 114.0090194 22.5367474, 114.0092768 22.5367555)",,,,
498497463,5981068415,0,633620757,True,深南大道,primary,False,444.533,"LINESTRING (114.0083083 22.5367299, 114.0096711 22.5369705, 114.0125607 22.5374754)",,,3,
498497464,498497407,0,1049968029,True,深南大道辅路,secondary,False,67.836,"LINESTRING (114.0092768 22.5367555, 114.0098589 22.5368549, 114.0099263 22.5368664)",,,2,
498497466,498493327,0,1051282761,True,深南大道辅路,secondary,False,104.281,"LINESTRING (114.0127584 22.5373632, 114.0137571 22.5375324)",,,2,
498497466,498497645,0,"[40933141, 40933462, 40933463]",True,福田立交,motorway_link,False,206.90700000000004,"LINESTRING (114.0127584 22.5373632, 114.0130544 22.5373189, 114.0131611 22.5372797, 114.0132534 22.5372286, 114.0133184 22.5371632, 114.0133569 22.5370904, 114.0133773 22.5370037, 114.01344 22.5366818, 114.0134449 22.5365674, 114.0134338 22.5364782, 114.0134079 22.5364005, 114.0133696 22.5363363, 114.013301 22.5362899, 114.0132298 22.5362671, 114.0131429 22.5362679, 114.0130462 22.5362862, 114.0129359 22.536338)",yes,,,
498497467,8393169811,0,238028138,True,,primary_link,False,65.133,"LINESTRING (114.014627 22.537688, 114.0152029 22.5379333)",,,,
498497467,1491785843,0,1051282761,True,深南大道辅路,secondary,False,431.777,"LINESTRING (114.014627 22.537688, 114.0155681 22.5378574, 114.0158421 22.5379057, 114.0187559 22.5384194)",,,2,
498497488,498497519,0,"[40933457, 40933138, 40933458]",True,福田立交,motorway_link,False,256.565,"LINESTRING (114.0112056 22.5385794, 114.011182 22.5386595, 114.0111659 22.5387462, 114.0111682 22.5388141, 114.0111807 22.5388676, 114.0112138 22.5389207, 114.0112568 22.5389608, 114.0113242 22.5390026, 114.0114 22.5390178, 114.0114757 22.5390162, 114.0115491 22.538997, 114.0115966 22.5389715, 114.0117198 22.5388787, 114.0119613 22.5386563, 114.0121275 22.5385059, 114.0122135 22.5384146, 114.0122616 22.538361, 114.0122911 22.5383052, 114.0123114 22.5382436, 114.0123208 22.5381787, 114.012318 22.5381083, 114.0123072 22.5380533, 114.0122671 22.5379769, 114.0122091 22.53792, 114.0121266 22.5378658, 114.0120121 22.5378182)",yes,,,
498497488,498497483,0,40933469,True,福田立交,motorway_link,False,124.822,"LINESTRING (114.0112056 22.5385794, 114.0109976 22.5388454, 114.0108217 22.5390703, 114.0104956 22.5394905)",,,,
498497519,498499239,0,633620708,True,深南大道辅路,secondary,False,248.881,"LINESTRING (114.0120121 22.5378182, 114.0096265 22.5374249)",,,2,
498497533,498493255,0,40932389,True,竹子林立交桥,motorway_link,False,166.357,"LINESTRING (114.0122388 22.5325343, 114.0126238 22.5310811)",,,,
498497533,498497596,0,"[40933139, 40933269, 40933270]",True,竹子林立交桥,motorway_link,False,344.877,"LINESTRING (114.0122388 22.5325343, 114.0122378 22.5324189, 114.0122319 22.5323421, 114.0122212 22.5322744, 114.012094 22.5317629, 114.0120552 22.5316459, 114.0120225 22.5315571, 114.0119785 22.531458, 114.0119434 22.5313879, 114.0118906 22.5313146, 114.0118107 22.5312386, 114.0117507 22.5311561, 114.0117163 22.5310654, 114.0116972 22.5309603, 114.0116874 22.5308763, 114.0116725 22.5308177, 114.0116459 22.5307554, 114.0116104 22.5306996, 114.0115526 22.5306346, 114.011487 22.5305799, 114.0113892 22.5305108, 114.0112272 22.5304267, 114.0109025 22.5302784, 114.0108041 22.5302399, 114.0105404 22.5301531)",yes,,,
498497596,498489666,0,40932390,True,滨河大道辅路,primary,False,37.348,"LINESTRING (114.0105404 22.5301531, 114.0101848 22.5300829)",,,,
498497645,498497488,0,"[25421048, 40933466]",True,福田立交,motorway_link,False,306.13,"LINESTRING (114.0129359 22.536338, 114.0128609 22.536426, 114.0127629 22.5365458, 114.012504 22.5368744, 114.0113796 22.5383568, 114.0112056 22.5385794)",yes,,,
498497707,498497645,0,25421048,True,福田立交,motorway_link,False,108.867,"LINESTRING (114.0137605 22.5357306, 114.0136698 22.5358204, 114.013588 22.5358861, 114.0134857 22.5359556, 114.013286 22.5360709, 114.0131782 22.5361315, 114.0130805 22.5362066, 114.0129359 22.536338)",,,,
498497707,498493327,0,"[40933460, 40933461, 40932542]",True,福田立交,motorway_link,False,215.87,"LINESTRING (114.0137605 22.5357306, 114.0137257 22.5358239, 114.0136985 22.5359043, 114.0136761 22.536005, 114.0135379 22.5367074, 114.0134787 22.5370082, 114.0134686 22.5371198, 114.0134699 22.5371843, 114.0134807 22.5372585, 114.0135074 22.5373226, 114.0135585 22.5373948, 114.0136198 22.5374452, 114.0137571 22.5375324)",yes,,,
498497772,498497775,0,40933160,True,,primary_link,False,68.896,"LINESTRING (114.0154917 22.5382574, 114.0148209 22.538263)",,,,
498497772,5981068406,0,892901021,True,深南大道,primary,False,164.524,"LINESTRING (114.0154917 22.5382574, 114.0140438 22.538023, 114.0139138 22.538002)",,,3,
498497775,5433694685,0,996247115,True,深南大道辅路,secondary,False,52.683,"LINESTRING (114.0148209 22.538263, 114.0143159 22.5381798)",,,2,
498497854,5659860843,0,892901021,True,深南大道,primary,False,458.892,"LINESTRING (114.0092203 22.5372276, 114.0081051 22.537037, 114.0048268 22.5364765)",,,3,
498499194,498499229,0,"[40933282, 40933283, 40933279]",True,福田立交,motorway_link,False,299.844,"LINESTRING (114.0096998 22.5392118, 114.0097802 22.5390014, 114.0098152 22.5388904, 114.0098349 22.538811, 114.0098477 22.5387226, 114.0098501 22.5386517, 114.0098376 22.5385893, 114.0098092 22.5385252, 114.009772 22.5384742, 114.0097252 22.5384275, 114.0096692 22.5383962, 114.0096027 22.5383732, 114.0095308 22.538355, 114.0093129 22.5383104, 114.0092314 22.5382904, 114.0091514 22.5382583, 114.0090879 22.5382209, 114.0090189 22.5381596, 114.0089696 22.5380955, 114.0089342 22.5380324, 114.0089111 22.5379775, 114.0088946 22.5379067, 114.0088859 22.5377583, 114.0088787 22.5376429, 114.0088669 22.5375621, 114.0088325 22.5374817, 114.0087828 22.5374073, 114.0087213 22.5373461, 114.0086512 22.5372959, 114.0085832 22.5372659, 114.0084778 22.5372259)",yes,,,
498499194,498497387,0,"[478220561, 996750290]",True,福田立交,motorway_link,False,148.45100000000002,"LINESTRING (114.0096998 22.5392118, 114.0098234 22.5390836, 114.0099195 22.5389901, 114.0104073 22.5385482, 114.0105289 22.5384321, 114.0106931 22.5382437)",yes,,,
498499229,9931665088,0,996750289,True,深南大道辅路,secondary,False,15.222,"LINESTRING (114.0084778 22.5372259, 114.0083321 22.5372008)",,,2,
498499239,498499229,0,996750289,True,深南大道辅路,secondary,False,120.032,"LINESTRING (114.0096265 22.5374249, 114.0084778 22.5372259)",,,2,
498499239,498497387,0,"[40933280, 40933281, 40933284, 40933479]",True,福田立交,motorway_link,False,290.392,"LINESTRING (114.0096265 22.5374249, 114.0094939 22.537429, 114.0093757 22.5374475, 114.0092926 22.5374711, 114.0092195 22.5375004, 114.0091555 22.5375398, 114.0091031 22.5375887, 114.0090604 22.5376413, 114.0090315 22.5377059, 114.0090168 22.53777, 114.0090188 22.5378613, 114.0090362 22.5379409, 114.0090641 22.5380024, 114.0091138 22.5380779, 114.0091778 22.5381351, 114.0092596 22.5381808, 114.0093414 22.5382104, 114.0094589 22.5382399, 114.010209 22.5383586, 114.0103159 22.5383708, 114.0104095 22.5383749, 114.0105006 22.5383631, 114.0105692 22.5383402, 114.0106189 22.5383106, 114.0106931 22.5382437)",yes,,,
498499239,498497854,0,636701253,True,,trunk_link,False,47.25299999999999,"LINESTRING (114.0096265 22.5374249, 114.009531 22.5373812, 114.0093725 22.5372892, 114.0093115 22.5372611, 114.0092203 22.5372276)",,,1,
