u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
2367043526,1116457119,0,228054092,True,,,trunk_link,False,280.04200000000003,"LINESTRING (113.9835684 22.5580698, 113.9837841 22.5580669, 113.9839371 22.5580386, 113.9840856 22.5579793, 113.9841848 22.5579099, 113.9842492 22.5578232, 113.9843109 22.5577192, 113.9843324 22.5576176, 113.9843297 22.5575186, 113.9843109 22.557417, 113.9842653 22.5573253, 113.9841926 22.5572358, 113.9840853 22.557164, 113.9839646 22.557112, 113.98382 22.5570826, 113.9836884 22.5570946, 113.9835448 22.5571428, 113.9834117 22.5572334, 113.9833347 22.5573264, 113.9832906 22.557426, 113.9832554 22.5575683)",1,,
2367043526,2367043550,0,228054095,True,,北环大道辅路,primary,False,154.017,"LINESTRING (113.9835684 22.5580698, 113.9842833 22.5581929, 113.9846913 22.5582726, 113.98504 22.558337)",,,
2367043550,5717328752,0,601620104,True,,北环大道辅路,primary,False,61.579,"LINESTRING (113.98504 22.558337, 113.9855144 22.5584493, 113.9856207 22.5584752)",,,
2367048480,7517333578,0,228054560,False,,,residential,False,80.59,"LINESTRING (113.9884545 22.5576908, 113.9885364 22.5576958, 113.9886038 22.5577039, 113.9887061 22.5577229, 113.9888354 22.5577652, 113.9889412 22.5577816, 113.9890457 22.557792, 113.9892018 22.5577893, 113.9892258 22.5577838)",,,
2367048480,2367048558,0,228054560,False,,,residential,True,378.976,"LINESTRING (113.9884545 22.5576908, 113.9882862 22.557717, 113.9881563 22.5577591, 113.9880352 22.5578216, 113.9879107 22.5579159, 113.9878583 22.5579689, 113.9878051 22.5579923, 113.9877453 22.5579927, 113.9876959 22.5579821, 113.9875959 22.557975, 113.9873585 22.5579654, 113.9872106 22.5579825, 113.9871467 22.5579938, 113.9870984 22.5579972, 113.9870354 22.5579762, 113.9869356 22.5579019, 113.9868432 22.5578573, 113.9867253 22.5578426, 113.9866853 22.5578378, 113.9866465 22.5578416, 113.9865337 22.5579031, 113.9864586 22.5579477, 113.9863818 22.5579679, 113.9862862 22.557966, 113.9862239 22.5579532, 113.9861733 22.5579337, 113.9861237 22.5578988, 113.98606 22.5578718, 113.9859873 22.5578496, 113.9858319 22.5578146, 113.9856968 22.557799, 113.9856009 22.5577864, 113.985504 22.5577846, 113.9853753 22.5577871, 113.9853152 22.5577842, 113.9852641 22.5577673, 113.9851875 22.5577376, 113.9851112 22.5576769, 113.9850471 22.5576099)",,,
2367048480,2367048567,0,228054566,False,,,residential,False,45.994,"LINESTRING (113.9884545 22.5576908, 113.9884391 22.5576215, 113.9884069 22.5575698, 113.988373 22.5575216, 113.9883202 22.5575022, 113.9881368 22.5574655)",,,
2367048494,7517355918,0,228054558,False,,,residential,False,567.5360000000001,"LINESTRING (113.9881362 22.5584389, 113.9876787 22.558485, 113.9875591 22.558489, 113.9874449 22.5584836, 113.9862971 22.5583705, 113.9860303 22.5583428, 113.9855096 22.5582342, 113.9849994 22.5581179, 113.9848718 22.5580897, 113.984761 22.5580224, 113.98468 22.557984, 113.9846387 22.5579246, 113.9846158 22.5578519, 113.9846014 22.5577779, 113.9845415 22.5575079, 113.9844689 22.5572624, 113.9844626 22.5572045, 113.9844772 22.5571482, 113.9845135 22.5571021, 113.9845844 22.5570568, 113.9847304 22.5570332, 113.984784 22.5570254, 113.9848197 22.5570076, 113.9848542 22.556979, 113.9848926 22.5569027, 113.9849232 22.5567615, 113.9850102 22.5564827, 113.9850312 22.5564333)",,,
2367048494,2367048614,0,228054558,False,,,residential,True,466.40000000000003,"LINESTRING (113.9881362 22.5584389, 113.9888304 22.5583659, 113.9889579 22.5583409, 113.9891624 22.5582751, 113.990119 22.5580006, 113.9902687 22.5579442, 113.9909724 22.5576203, 113.9910749 22.5575721, 113.9911274 22.5575344, 113.9911472 22.5574749, 113.9911533 22.5573832, 113.9911498 22.5573241, 113.9911291 22.5572813, 113.991089 22.5572409, 113.9908595 22.5571071, 113.9907268 22.5570276, 113.990648 22.5569521, 113.9904627 22.5568288, 113.9902466 22.5567081)",,,
2367048545,2367048558,0,228054560,False,,,residential,False,209.29000000000002,"LINESTRING (113.9862657 22.5570972, 113.9862189 22.5570372, 113.986166 22.5570024, 113.9861031 22.5569854, 113.9859605 22.5569742, 113.9858215 22.55696, 113.9857421 22.5569488, 113.9856837 22.5569212, 113.9855637 22.556862, 113.9855058 22.5568356, 113.9854233 22.556822, 113.9853261 22.5568208, 113.9852486 22.5568356, 113.9851987 22.5568771, 113.9851841 22.5569326, 113.9851752 22.5569689, 113.9851579 22.5570008, 113.9850756 22.5570879, 113.9850162 22.5571668, 113.9849804 22.5572813, 113.9849724 22.55739, 113.9849722 22.5574374, 113.9849926 22.5575038, 113.9850134 22.5575559, 113.9850471 22.5576099)",,,
2367048545,2367048717,0,228054569,False,,,residential,False,20.747,"LINESTRING (113.9862657 22.5570972, 113.9863065 22.5570924, 113.9863367 22.5570973, 113.9863732 22.5571144, 113.9863914 22.5571297, 113.9864131 22.5571619, 113.9864199 22.5571828)",,,
