u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,lanes
2184437866,9649087666,0,208124056,True,primary_link,False,238.35899999999998,,"LINESTRING (113.9953754 22.5350791, 113.9949453 22.5351997, 113.9945573 22.5352926, 113.9931121 22.5355435)",,
2184437866,277183713,0,"[238026494, 1049968051, 985389862]",True,secondary,False,474.425,,"LINESTRING (113.9953754 22.5350791, 113.9949455 22.5350555, 113.9946583 22.5350611, 113.9942654 22.5350765, 113.9938322 22.5351106, 113.9933904 22.5351508, 113.9929648 22.5352117, 113.9925205 22.5352976, 113.992205 22.5353681, 113.9915234 22.5355488, 113.9908385 22.5357254)",yes,
2184437867,2184437866,0,985389862,True,secondary,False,22.121,,"LINESTRING (113.9955898 22.5350981, 113.9953754 22.5350791)",,
2184437883,2217490320,0,208124057,True,secondary,False,193.44799999999998,,"LINESTRING (113.9893283 22.5356471, 113.9895552 22.5355942, 113.9896049 22.5355826, 113.99059 22.5353252, 113.9911384 22.5351671)",,
2184437884,2184437883,0,672979259,True,primary_link,False,57.53,,"LINESTRING (113.9888487 22.5359144, 113.9893283 22.5356471)",,
2184437884,2184437863,0,"[572963457, 51190861, 633620761]",True,primary,False,949.9849999999999,深南大道,"LINESTRING (113.9888487 22.5359144, 113.989585 22.5357185, 113.9896387 22.5357042, 113.9918691 22.5350938, 113.992242 22.5350028, 113.992582 22.534928, 113.9930072 22.5348523, 113.9934538 22.5347903, 113.9939056 22.5347385, 113.9947639 22.534689, 113.9957188 22.5347088, 113.9968239 22.5348277, 113.9979056 22.5350044)",yes,3
2184437887,9021794178,0,1049950448,True,secondary,False,6.5,,"LINESTRING (113.9889058 22.5362392, 113.9888449 22.5362551)",,
2184437887,2184437898,0,741581539,True,residential,False,321.182,恩平街,"LINESTRING (113.9889058 22.5362392, 113.9889015 22.53628, 113.9888974 22.5363193, 113.9888758 22.5366177, 113.9886984 22.5390722, 113.9886773 22.5391171)",,1
2184437892,6942404996,0,208124043,False,tertiary,False,76.417,汕头街,"LINESTRING (113.986625 22.5365471, 113.9865637 22.537232)",,
2184437892,2458958739,0,985389866,True,secondary,False,40.559,,"LINESTRING (113.986625 22.5365471, 113.9862301 22.5365442)",,
2184437898,2184437902,0,208124054,False,unclassified,True,89.028,恩平街,"LINESTRING (113.9886773 22.5391171, 113.987812 22.5390691)",,
2184437898,2184437899,0,996263611,False,residential,False,68.906,锦绣北街,"LINESTRING (113.9886773 22.5391171, 113.9893472 22.5391515)",,
2184437898,9021794178,0,974891658,True,residential,False,319.25200000000007,恩平街,"LINESTRING (113.9886773 22.5391171, 113.9886557 22.5390641, 113.9888227 22.5366152, 113.9888426 22.5363246, 113.9888437 22.5362918, 113.9888449 22.5362551)",,1
2184437899,2184437898,0,996263611,False,residential,True,68.906,锦绣北街,"LINESTRING (113.9893472 22.5391515, 113.9886773 22.5391171)",,
2184437902,2184437898,0,208124054,False,unclassified,False,89.028,恩平街,"LINESTRING (113.987812 22.5390691, 113.9886773 22.5391171)",,
2184437902,5169912110,0,532810316,False,residential,False,4.975,,"LINESTRING (113.987812 22.5390691, 113.9877714 22.5390447)",,
2184437902,5169911625,0,208124054,False,unclassified,True,103.434,恩平街,"LINESTRING (113.987812 22.5390691, 113.9877947 22.5393416, 113.9877529 22.5399977)",,
2217490310,5504300439,0,572963451,True,primary,False,139.262,侨城东路,"LINESTRING (113.9930199 22.5327836, 113.9932163 22.5315444)",,
2217490310,8328222727,0,211793881,False,residential,False,253.968,云天路,"LINESTRING (113.9930199 22.5327836, 113.9928697 22.5327607, 113.9905802 22.5324114)",,
2217490320,2184437853,0,208124058,True,primary_link,False,139.73899999999998,,"LINESTRING (113.9911384 22.5351671, 113.9913292 22.5350126, 113.9913637 22.5349848, 113.9915831 22.5348315, 113.9917297 22.5347594, 113.9918811 22.5347045, 113.9923238 22.5345989)",,
2217490320,8328222727,0,211793882,False,residential,False,318.86499999999995,云浩路,"LINESTRING (113.9911384 22.5351671, 113.9909144 22.5345741, 113.990521 22.5335928, 113.990483 22.5334807, 113.9904708 22.5333903, 113.9904714 22.5332999, 113.9905156 22.5329615, 113.9905802 22.5324114)",,
2217490320,2184437851,0,"[572963456, 238157316, 208124048]",True,secondary,False,473.148,,"LINESTRING (113.9911384 22.5351671, 113.9918086 22.5349871, 113.9922532 22.5348923, 113.9925998 22.5348197, 113.9930032 22.534744, 113.993474 22.5346754, 113.9938509 22.534635, 113.9942812 22.5346105, 113.9946663 22.5346003, 113.9950904 22.5345956, 113.9956794 22.5345987)",yes,
2363414883,2402263752,0,895941566,False,tertiary,False,16.994,,"LINESTRING (113.9885381 22.5301011, 113.988473 22.5302416)",,
2363414883,5255299481,0,895941563,True,primary,False,29.948,白石路,"LINESTRING (113.9885381 22.5301011, 113.9886422 22.5301198, 113.9888243 22.5301526)",,
2402263604,2402263734,0,895941564,True,primary,False,16.527,白石路,"LINESTRING (113.9934364 22.5311738, 113.9932813 22.5311342)",,
2402263604,5504300020,0,1049950443,True,primary,False,41.001,侨城东路,"LINESTRING (113.9934364 22.5311738, 113.9934238 22.5312565, 113.9933805 22.5315389)",,
2402263734,1116415381,0,572963454,True,primary,False,17.768,侨城东路,"LINESTRING (113.9932813 22.5311342, 113.9933064 22.5309761)",,
2402263734,5504300431,0,895941564,True,primary,False,48.451,白石路,"LINESTRING (113.9932813 22.5311342, 113.9931202 22.5310951, 113.9928221 22.5310348)",,
2402263752,2363414883,0,895941566,False,tertiary,True,16.994,,"LINESTRING (113.988473 22.5302416, 113.9885381 22.5301011)",,
2402263752,8328222727,0,211793881,False,residential,True,461.5640000000001,云天路,"LINESTRING (113.988473 22.5302416, 113.9884143 22.5303501, 113.9884039 22.5303694, 113.9883487 22.530459, 113.9883277 22.5305085, 113.9883124 22.5305513, 113.9883094 22.5306084, 113.988319 22.5306653, 113.9888117 22.5326053, 113.9888255 22.5326364, 113.9888436 22.5326634, 113.9888798 22.5326827, 113.9889191 22.5326869, 113.9905802 22.5324114)",,
