u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes
5834215792,5834215800,0,996188212,True,红荔路,primary,False,64.942,"LINESTRING (114.0472522 22.5508128, 114.0478824 22.5508614)",
5834215800,7962005295,0,996188212,True,红荔路,primary,False,318.82699999999994,"LINESTRING (114.0478824 22.5508614, 114.0497827 22.5510349, 114.050749 22.5511218, 114.0507841 22.5511234, 114.0508179 22.5511249, 114.0509729 22.5511331)",
7273811035,7967831812,0,996647537,True,新洲路,primary,False,24.11,"LINESTRING (114.0436026 22.5569194, 114.0436778 22.556714)",
7273811035,7979924900,0,1049968033,True,莲花路,primary,False,85.32600000000001,"LINESTRING (114.0436026 22.5569194, 114.0435243 22.5568921, 114.0434429 22.5568651, 114.0433466 22.5568377, 114.0432392 22.5568141, 114.0431085 22.5567906, 114.0429738 22.5567693, 114.0427963 22.5567431)",
7273811043,7967774265,0,245929521,True,,primary_link,False,54.474000000000004,"LINESTRING (114.0441408 22.5572018, 114.0440929 22.5571787, 114.0440605 22.55717, 114.0440224 22.5571644, 114.0439788 22.5571606, 114.0439386 22.5571623, 114.043899 22.5571668, 114.0438536 22.5571757, 114.0438159 22.5571867, 114.0437764 22.5572026, 114.043734 22.557226, 114.0436983 22.5572502, 114.0436551 22.5572852)",1
7273811043,7967774266,0,996647556,True,莲花路,primary,False,42.574000000000005,"LINESTRING (114.0441408 22.5572018, 114.0441106 22.5571783, 114.0440235 22.5571173, 114.0439268 22.557059, 114.043859 22.5570222, 114.0437949 22.5569926)",
7273823085,2530277078,0,245929523,False,,residential,True,71.947,"LINESTRING (114.0426254 22.5557999, 114.0426443 22.5551531)",
7961542885,5834215792,0,996188212,True,红荔路,primary,False,62.761,"LINESTRING (114.0466438 22.5507593, 114.0472522 22.5508128)",
7961771614,7967774274,0,393889385,True,,primary_link,False,71.562,"LINESTRING (114.0447712 22.5508129, 114.0446539 22.5508295, 114.0445544 22.55086, 114.0444806 22.5509085, 114.044418 22.5509718, 114.0443683 22.5510529, 114.0443371 22.5511269, 114.0443162 22.5512201)",
7961771614,7967774254,0,1050921368,True,红荔路,primary,False,46.132999999999996,"LINESTRING (114.0447712 22.5508129, 114.0445225 22.5507915, 114.044442 22.5507863, 114.0443237 22.5507766)",
7961771617,7961771620,0,1051517021,True,红荔路,primary,False,600.882,"LINESTRING (114.051487 22.5511411, 114.0573373 22.5512388)",
7961771620,7961786863,0,616988530,True,,primary_link,False,70.116,"LINESTRING (114.0573373 22.5512388, 114.057478 22.5512035, 114.0575977 22.5511403, 114.0576924 22.551046, 114.0577485 22.5509432, 114.0577858 22.5508232)",1
7961771620,7962005389,0,1052079664,True,红荔路,primary,False,45.388000000000005,"LINESTRING (114.0573373 22.5512388, 114.0576653 22.5512437, 114.0577792 22.551246)",
7961786793,7961542885,0,996188212,True,红荔路,primary,False,195.537,"LINESTRING (114.0447484 22.5505915, 114.0466438 22.5507593)",
7961786868,7962005352,0,1051517025,True,红荔路,primary,False,68.832,"LINESTRING (114.0582826 22.551253, 114.058884 22.5512614, 114.0589528 22.5512624)",
7962005295,7962005299,0,996625945,True,红荔路,primary,False,12.079,"LINESTRING (114.0509729 22.5511331, 114.0510905 22.5511353)",
7962005299,503465656,0,996625944,True,益田路,secondary,False,23.986,"LINESTRING (114.0510905 22.5511353, 114.0510165 22.5513399)",3
7962005299,7961771617,0,996625945,True,红荔路,primary,False,40.724000000000004,"LINESTRING (114.0510905 22.5511353, 114.0512547 22.5511388, 114.051487 22.5511411)",
7962005389,7962005395,0,1052079664,True,红荔路,primary,False,11.923,"LINESTRING (114.0577792 22.551246, 114.0578953 22.5512472)",
7962005389,7961786863,0,1052079663,True,金田路,secondary,False,47.018,"LINESTRING (114.0577792 22.551246, 114.0577824 22.5510454, 114.0577831 22.5509962, 114.0577858 22.5508232)",3
7962005395,503465977,0,1051517022,True,金田路,secondary,False,23.689,"LINESTRING (114.0578953 22.5512472, 114.0578369 22.5514533)",3
7962005395,7961786868,0,1052079664,True,红荔路,primary,False,39.778,"LINESTRING (114.0578953 22.5512472, 114.0582826 22.551253)",
7967774254,7967774274,0,245389547,True,新洲路,primary,False,49.322,"LINESTRING (114.0443237 22.5507766, 114.044323 22.5509147, 114.0443162 22.5512201)",
7967774254,7967831807,0,1050921368,True,红荔路,primary,False,20.537,"LINESTRING (114.0443237 22.5507766, 114.0442173 22.55076, 114.0441271 22.5507429)",
7967774259,7967774254,0,245389547,True,新洲路,primary,False,24.63,"LINESTRING (114.0443248 22.5505551, 114.0443237 22.5507766)",
7967774259,7961786793,0,996188212,True,红荔路,primary,False,43.689,"LINESTRING (114.0443248 22.5505551, 114.0444467 22.5505653, 114.0445307 22.5505723, 114.0447484 22.5505915)",
7967774265,7967774270,0,996188195,True,新洲路,primary,False,338.656,"LINESTRING (114.0436551 22.5572852, 114.043512 22.5575552, 114.0434464 22.5576687, 114.0433807 22.5577787, 114.0433101 22.5578869, 114.0421183 22.5599795)",
7967774266,7273811035,0,996750283,True,莲花路,primary,False,21.359,"LINESTRING (114.0437949 22.5569926, 114.0436026 22.5569194)",
7967774266,7967774265,0,996647557,True,新洲路,primary,False,35.595,"LINESTRING (114.0437949 22.5569926, 114.0437799 22.5570304, 114.0437359 22.5571327, 114.0436551 22.5572852)",
7967774274,2530277199,0,"[996755153, 996188196]",True,新洲路,primary,False,566.8130000000001,"LINESTRING (114.0443162 22.5512201, 114.0443053 22.5517139, 114.0443038 22.5517813, 114.0442561 22.5539402, 114.0442309 22.5550796, 114.0442213 22.5552139, 114.0442072 22.5553695, 114.044186 22.5555262, 114.0441599 22.5556713, 114.0441427 22.5557577, 114.0440858 22.5560444, 114.0440275 22.5563009)",
7967831807,7967831901,0,996188210,True,新洲路,primary,False,22.677,"LINESTRING (114.0441271 22.5507429, 114.0441315 22.550539)",
7967831807,7967831880,0,1050921368,True,红荔路,primary,False,28.627,"LINESTRING (114.0441271 22.5507429, 114.0440194 22.5507195, 114.0439112 22.5506929, 114.0438571 22.550679)",
7967831812,279077946,0,996647536,True,莲花路,primary,False,21.316,"LINESTRING (114.0436778 22.556714, 114.043872 22.5567817)",
7967831812,2530277198,0,996657795,True,新洲路,primary,False,46.204,"LINESTRING (114.0436778 22.556714, 114.0437264 22.556576, 114.0438168 22.5563188)",
