u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,maxspeed,access,junction
4786969355,4786969353,0,"[485940616, 510535000, 485940615]",False,,residential,"[False, True]",132.53599999999997,"LINESTRING (114.1550744 22.5448799, 114.155125 22.5447498, 114.1551583 22.5446722, 114.1551723 22.5446576, 114.1552248 22.5446414, 114.1552686 22.5446495, 114.1558066 22.5448081, 114.1558451 22.5448259, 114.1558819 22.5448583, 114.1558907 22.5448939, 114.1558959 22.5449359, 114.1558836 22.5449845, 114.1558591 22.5450185, 114.1558241 22.5450476, 114.1557873 22.5450622)",,,,,
4786969355,4786969353,1,"[510322085, 485940615]",False,,residential,False,76.05,"LINESTRING (114.1550744 22.5448799, 114.155754 22.5450605, 114.1557873 22.5450622)",,,,,
4786969355,4786969336,0,485940616,False,,residential,True,46.169,"LINESTRING (114.1550744 22.5448799, 114.1550601 22.5449165, 114.1550233 22.5450622, 114.1549983 22.5452877)",,,,,
4786969368,4786969345,0,485940616,False,,residential,False,35.98,"LINESTRING (114.1548734 22.5457512, 114.1549217 22.5457046, 114.1549585 22.5456237, 114.154976 22.5455541, 114.154976 22.5454878, 114.1549797 22.5454544)",,,,,
4786969368,1235363718,0,795505948,False,,unclassified,False,162.21999999999997,"LINESTRING (114.1548734 22.5457512, 114.1549778 22.5457604, 114.1550528 22.5457707, 114.1551377 22.5457835, 114.1553789 22.5459018, 114.1557523 22.545936, 114.155858 22.5459577, 114.1559444 22.5459644, 114.1560034 22.545969, 114.1561488 22.545969, 114.1562697 22.5459593, 114.1564132 22.5459641)",,,,,
4786969368,7328910162,0,795505948,False,,unclassified,True,240.17299999999994,"LINESTRING (114.1548734 22.5457512, 114.1546762 22.545739, 114.1545256 22.5457087, 114.15435 22.5456555, 114.1543379 22.5456518, 114.154005 22.5455126, 114.1538515 22.545463, 114.1537508 22.5454444, 114.153605 22.5454329, 114.1534967 22.5454418, 114.1534266 22.5454621, 114.1533211 22.5455135, 114.1531989 22.5456165, 114.1531758 22.5456359, 114.1531565 22.5456521, 114.1529087 22.5458608, 114.1528502 22.5458943, 114.1528406 22.5458997, 114.1527705 22.5459172)",,,,,
4841159961,6566050121,0,"[784508827, 538324206]",True,,motorway_link,False,441.209,"LINESTRING (114.1525962 22.5441893, 114.1525335 22.5443052, 114.152495 22.5443895, 114.1524536 22.5445231, 114.1524101 22.5447133, 114.1523644 22.5449856, 114.1523095 22.5452975, 114.1522954 22.545429, 114.1522612 22.5456867, 114.1522616 22.5458904, 114.1523166 22.546314, 114.1523943 22.5468478, 114.1524252 22.5470806, 114.1524346 22.5473048, 114.1524252 22.5474324, 114.1523945 22.5477305, 114.1523495 22.5479434, 114.1523303 22.5480078, 114.1523128 22.5480976)",yes,香園圍公路 Heung Yuen Wai Highway,,,
4841159961,6566015434,0,"[840898556, 691960437]",True,2,motorway,False,500.465,"LINESTRING (114.1525962 22.5441893, 114.1524858 22.5446447, 114.1524199 22.5450217, 114.1523964 22.5452441, 114.1523681 22.545517, 114.1523816 22.5457548, 114.1524182 22.5461132, 114.1524761 22.546654, 114.1525073 22.5470599, 114.1525073 22.5472894, 114.1524727 22.547616, 114.1524385 22.5477847, 114.1524189 22.5478618, 114.1524045 22.5479185, 114.1523633 22.5480687, 114.1523451 22.548124, 114.1522978 22.5482679, 114.1522671 22.5483364, 114.1522162 22.5484499, 114.1521074 22.5485984)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
4841226977,4841159961,0,328901369,True,2,motorway,False,661.3010000000002,"LINESTRING (114.1569943 22.5401139, 114.156808 22.5401604, 114.1564585 22.5402685, 114.156063 22.5404317, 114.1558568 22.5405323, 114.1556051 22.5406701, 114.1554053 22.5408002, 114.1551734 22.5410051, 114.1547624 22.5413983, 114.1540699 22.5420859, 114.1537221 22.5424434, 114.1533546 22.5428047, 114.1531634 22.5430606, 114.1529487 22.5434108, 114.1528419 22.5435983, 114.1527333 22.5438372, 114.1526605 22.5440068, 114.1525962 22.5441893)",yes,香園圍公路 Heung Yuen Wai Highway,80,,
5210763634,4841226986,0,691960438,True,2,motorway,False,668.374,"LINESTRING (114.1526249 22.5446468, 114.1526782 22.5444369, 114.152735 22.5442204, 114.1528803 22.5438604, 114.1529851 22.5436389, 114.1530951 22.5434321, 114.1533058 22.5431115, 114.1534747 22.5428899, 114.153791 22.5425332, 114.1541806 22.5421401, 114.1548561 22.5414636, 114.1551222 22.5412091, 114.1554242 22.54095, 114.1556003 22.5408246, 114.1558403 22.5406607, 114.1561126 22.5405401, 114.1562886 22.5404667, 114.1566564 22.5403464, 114.1567852 22.5403166)",yes,香園圍公路 Heung Yuen Wai Highway,80,,
5210763647,7328919703,0,"[538324201, 784508831]",True,"['1', '2']",motorway_link,False,290.19,"LINESTRING (114.1522519 22.5486277, 114.1524349 22.5484855, 114.1526126 22.5482452, 114.1527329 22.5480429, 114.1528561 22.5477882, 114.1529532 22.5474994, 114.1529902 22.5473542, 114.1530415 22.5471104, 114.1530928 22.5466397, 114.1530946 22.5465613, 114.1530716 22.5465008, 114.1530185 22.5464436, 114.1529618 22.5464142, 114.1529111 22.5464031, 114.152815 22.5463962)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
5210763647,5210763634,0,538335290,True,2,motorway,False,450.1019999999999,"LINESTRING (114.1522519 22.5486277, 114.1523237 22.5484842, 114.1523811 22.5483659, 114.1524041 22.5483026, 114.1524613 22.5481452, 114.152475 22.5480929, 114.1525173 22.547931, 114.1525312 22.5478777, 114.1525506 22.5477998, 114.1525892 22.5476443, 114.1526107 22.5472859, 114.1525796 22.5466292, 114.1525053 22.5457695, 114.1524994 22.5455503, 114.1525015 22.5453153, 114.1525266 22.5450818, 114.1525625 22.5448619, 114.1526249 22.5446468)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
6478539346,7444965961,0,623701026,False,,residential,True,201.178,"LINESTRING (114.1568807 22.5443553, 114.156862 22.5443875, 114.1568372 22.5444055, 114.1567493 22.5444693, 114.1566313 22.5444792, 114.1564864 22.5444594, 114.1562316 22.5443529, 114.156182 22.5443474, 114.156119 22.5443405, 114.1560519 22.5443504, 114.1560453 22.5443857, 114.1560628 22.5444747, 114.1561314 22.5446015, 114.1561719 22.5446763, 114.1561719 22.5448175, 114.1561409 22.5448794, 114.1560378 22.5450281, 114.1559063 22.5451519, 114.1558468 22.5451727)",,,,,
6478643699,6478643705,0,690523443,True,,tertiary,False,9.925,"LINESTRING (114.1524338 22.5482377, 114.1524573 22.5482173, 114.1524723 22.548191, 114.1524772 22.5481616)",,蓮麻坑路交匯處 Lin Ma Hang Road Interchange,,,roundabout
6478643704,6478643699,0,690523443,True,,tertiary,False,13.194,"LINESTRING (114.1523143 22.5482295, 114.1523411 22.5482454, 114.1523724 22.5482526, 114.1524045 22.5482499, 114.1524206 22.5482432, 114.1524338 22.5482377)",,蓮麻坑路交匯處 Lin Ma Hang Road Interchange,,,roundabout
6478643704,6491425394,0,690882238,True,,tertiary,False,40.364,"LINESTRING (114.1523143 22.5482295, 114.1523236 22.5482743, 114.1523224 22.5483181, 114.1523062 22.5483846, 114.1522943 22.5484567, 114.1522914 22.5485073, 114.1523064 22.5485354, 114.1523262 22.5485508, 114.1523501 22.5485656)",,,,,
6478643705,6566050121,0,690523443,True,,tertiary,False,23.049000000000003,"LINESTRING (114.1524772 22.5481616, 114.1524714 22.5481324, 114.1524556 22.5481065, 114.1524316 22.5480867, 114.1524019 22.5480753, 114.15237 22.5480734, 114.1523392 22.5480811, 114.1523128 22.5480976)",,蓮麻坑路交匯處 Lin Ma Hang Road Interchange,,,roundabout
6478643705,5210763634,0,"[692434556, 784508842, 784508828]",True,,motorway_link,False,399.49199999999996,"LINESTRING (114.1524772 22.5481616, 114.1525585 22.5480755, 114.1525971 22.5480267, 114.1526142 22.5479875, 114.1526682 22.5478634, 114.152716 22.5477254, 114.1527607 22.5475217, 114.1527802 22.5473874, 114.1527914 22.5472071, 114.1527852 22.5470008, 114.1527567 22.5467092, 114.1527276 22.5464771, 114.1526604 22.5460333, 114.1525941 22.5455513, 114.1525817 22.5453328, 114.1525833 22.5451079, 114.1526249 22.5446468)",yes,香園圍公路 Heung Yuen Wai Highway,,,
