u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
598635647,1606824271,0,147463704,彩發街 Choi Fat Street,residential,False,False,55.688,"LINESTRING (114.121805 22.5056115, 114.121457 22.5052275)",,,
598635647,1606824309,0,147463707,彩發街 Choi Fat Street,residential,False,True,97.912,"LINESTRING (114.121805 22.5056115, 114.1218005 22.5056937, 114.121763 22.5057694, 114.121732 22.5058119, 114.1212017 22.5062597)",,,
598635650,598635647,0,147463705,彩發街 Choi Fat Street,residential,True,False,133.247,"LINESTRING (114.1212278 22.506476, 114.1219356 22.5058666, 114.1219553 22.5058245, 114.1219447 22.5057757, 114.121805 22.5056115)",,,
598635650,1606824309,0,147463709,彩發街 Choi Fat Street,residential,True,False,27.381,"LINESTRING (114.1212278 22.506476, 114.1212659 22.5064247, 114.121265 22.5063401, 114.1212017 22.5062597)",,,
598635677,598635497,0,"[442562251, 31976678]",寶石湖路 Po Shek Wu Road,primary,True,False,35.886,"LINESTRING (114.1234392 22.5027956, 114.1234177 22.503025, 114.123412 22.5030545, 114.1234117 22.503117)",,,
598635677,1606824172,0,147463725,彩園路 Choi Yuen Road,primary_link,True,False,82.568,"LINESTRING (114.1234392 22.5027956, 114.1233661 22.5028832, 114.1233098 22.5029508, 114.1232825 22.5029773, 114.1232393 22.5030192, 114.1231589 22.503074, 114.1229926 22.5031533, 114.1228099 22.5032338)",,,
637864109,5226359228,0,50177982,新發街 San Fat Street,residential,True,False,58.996,"LINESTRING (114.1272589 22.5035615, 114.1272531 22.5035036, 114.1272532 22.5035027, 114.1272165 22.5031347, 114.1272051 22.5030333)",,,
637864109,7500821299,0,801925691,新樂街 San Lok Street,residential,False,True,178.256,"LINESTRING (114.1272589 22.5035615, 114.1272896 22.503557, 114.1273228 22.5035538, 114.1283767 22.503452, 114.1287464 22.5034174, 114.1287882 22.5034198, 114.1288159 22.503427, 114.1288398 22.5034391, 114.128943 22.5035287)",,,
637864167,637864319,0,50177992,新成路 San Shing Avenue,unclassified,True,False,128.083,"LINESTRING (114.1281244 22.5058101, 114.1280736 22.5058601, 114.127878 22.5060526, 114.1278551 22.5060716, 114.1278216 22.506084, 114.1271194 22.5061932, 114.1270692 22.506201, 114.1270129 22.5062091)",,,
637864175,637864167,0,50177979,巡撫街 Tsun Fu Street,residential,True,False,51.702999999999996,"LINESTRING (114.1277568 22.5054925, 114.1278005 22.5055305, 114.1280727 22.5057665, 114.1280818 22.5057741, 114.1281244 22.5058101)",,,
637864176,637864175,0,50177979,巡撫街 Tsun Fu Street,residential,True,False,30.028,"LINESTRING (114.1275386 22.5053128, 114.1275774 22.5053448, 114.1277004 22.5054461, 114.1277568 22.5054925)",,,
637864176,637864228,0,147463793,新康街 San Hong Street,unclassified,True,False,52.937000000000005,"LINESTRING (114.1275386 22.5053128, 114.127596 22.505258, 114.1278456 22.5050201, 114.1278972 22.5049709)",1,,
637864177,637864319,0,147463788,新豐路 San Fung Avenue,tertiary,False,True,53.719,"LINESTRING (114.1269371 22.5057311, 114.1270129 22.5062091)",,,
637864177,637864175,0,50177980,新健街 San Kin Street,residential,True,False,91.65299999999999,"LINESTRING (114.1269371 22.5057311, 114.127056 22.5057161, 114.1275455 22.5056545, 114.1275847 22.505643, 114.127692 22.5055458, 114.1276982 22.5055402, 114.1277568 22.5054925)",,,
